date,open,high,low,close,change,volume
23 Jun 2021,275.00,276.09,269.10,270.36,3.37,1.26
22 Jun 2021,266.25,272.10,264.60,266.99,2.82,1.07
21 Jun 2021,271.50,272.40,263.50,264.17,-6.48,-2.39
18 Jun 2021,259.00,276.00,257.11,270.65,12.40,4.80
17 Jun 2021,268.00,270.75,256.50,258.25,-11.83,-4.38
16 Jun 2021,266.50,272.29,264.75,270.08,4.85,1.83
15 Jun 2021,277.00,277.00,263.10,265.23,-14.36,-5.14
14 Jun 2021,287.37,287.37,276.50,279.59,12.26,4.59
11 Jun 2021,262.00,271.99,256.50,267.33,9.24,3.58
10 Jun 2021,249.74,260.00,249.10,258.09,10.72,4.33
09 Jun 2021,248.25,251.00,245.50,247.37,-0.43,-0.17
08 Jun 2021,252.89,254.00,246.00,247.80,-4.99,-1.97
07 Jun 2021,260.50,260.50,250.25,252.79,-3.35,-1.31
04 Jun 2021,255.50,259.95,255.50,256.14,1.78,0.70
03 Jun 2021,256.98,261.00,253.06,254.36,-1.14,-0.45
02 Jun 2021,254.98,259.50,251.72,255.50,2.90,1.15
01 Jun 2021,251.00,257.50,250.99,252.60,3.58,1.44
31 May 2021,244.00,250.90,243.50,249.02,6.61,2.73
28 May 2021,242.10,245.00,240.52,242.41,1.22,0.51
27 May 2021,247.00,248.00,240.25,241.19,-5.54,-2.25
26 May 2021,247.21,251.50,245.65,246.73,0.94,0.38
25 May 2021,240.55,249.40,239.00,245.79,6.41,2.68
24 May 2021,240.00,243.00,235.10,239.38,2.58,1.09
21 May 2021,228.39,243.98,227.58,236.80,9.22,4.05
20 May 2021,229.00,231.99,225.21,227.58,-0.53,-0.23
19 May 2021,228.66,233.79,224.99,228.11,-2.55,-1.11
18 May 2021,233.50,235.85,229.00,230.66,-2.30,-0.99
17 May 2021,226.00,234.50,224.00,232.96,10.81,4.87
06 May 2021,221.89,222.90,218.01,222.15,0.80,0.36
05 May 2021,226.80,228.00,219.80,221.35,-1.49,-0.67
04 May 2021,217.25,225.70,217.25,222.84,6.20,2.86
03 May 2021,215.40,222.74,209.98,216.64,-1.92,-0.88
30 Apr 2021,234.00,234.00,215.40,218.56,-14.19,-6.10
29 Apr 2021,240.00,241.98,231.00,232.75,-7.49,-3.12
28 Apr 2021,237.36,244.99,237.36,240.24,2.43,1.02
27 Apr 2021,240.00,241.39,234.60,237.81,-1.35,-0.56
26 Apr 2021,233.00,245.00,230.00,239.16,3.03,1.28
23 Apr 2021,233.75,239.45,228.11,236.13,-0.74,-0.31
22 Apr 2021,247.00,252.50,234.14,236.87,-7.01,-2.87
21 Apr 2021,250.49,253.00,242.00,243.88,-6.55,-2.62
20 Apr 2021,256.75,259.00,246.50,250.43,-0.56,-0.22
19 Apr 2021,253.99,260.40,249.00,250.99,-9.97,-3.82
16 Apr 2021,256.00,263.60,255.10,260.96,4.17,1.62
15 Apr 2021,255.00,261.25,249.25,256.79,3.22,1.27
14 Apr 2021,237.00,253.90,235.10,253.57,17.38,7.36
13 Apr 2021,231.97,243.97,228.15,236.19,1.43,0.61
12 Apr 2021,241.80,241.99,228.02,234.76,-7.34,-3.03
09 Apr 2021,230.50,245.50,229.02,242.10,11.87,5.16
08 Apr 2021,225.48,231.95,222.50,230.23,5.14,2.28
07 Apr 2021,235.00,238.40,217.02,225.09,-6.44,-2.78
06 Apr 2021,214.00,231.96,211.01,231.53,15.75,7.30
05 Apr 2021,234.49,236.00,215.78,215.78,-17.49,-7.50
02 Apr 2021,240.00,242.44,228.05,233.27,-3.90,-1.64
01 Apr 2021,260.00,263.00,236.23,237.17,-18.21,-7.13
31 Mar 2021,268.00,277.89,247.00,255.38,-3.13,-1.21
