date,open,high,low,close,change,volume
23 Jun 2021,71.50,71.50,70.50,70.59,-0.61,-0.86
22 Jun 2021,71.50,71.99,71.00,71.20,-0.38,-0.53
21 Jun 2021,72.32,72.32,70.85,71.58,-0.74,-1.02
18 Jun 2021,72.80,72.98,71.03,72.32,0.12,0.17
17 Jun 2021,72.20,72.84,72.10,72.20,-0.30,-0.41
16 Jun 2021,73.00,73.00,72.20,72.50,0.08,0.11
15 Jun 2021,72.51,72.95,72.20,72.42,-0.30,-0.41
14 Jun 2021,74.00,74.00,72.52,72.72,-0.18,-0.25
11 Jun 2021,72.15,73.25,72.15,72.90,-0.04,-0.05
10 Jun 2021,71.70,73.06,71.70,72.94,1.11,1.55
09 Jun 2021,72.55,72.77,71.60,71.83,-0.72,-0.99
08 Jun 2021,72.90,72.90,71.13,72.55,0.49,0.68
07 Jun 2021,72.00,73.00,71.53,72.06,0.36,0.50
04 Jun 2021,73.99,73.99,71.05,71.70,-1.49,-2.04
03 Jun 2021,74.07,74.50,73.05,73.19,-1.01,-1.36
02 Jun 2021,74.00,75.11,73.99,74.20,0.20,0.27
01 Jun 2021,73.43,74.25,72.25,74.00,0.57,0.78
31 May 2021,73.05,74.80,72.50,73.43,0.38,0.52
28 May 2021,70.49,73.40,70.48,73.05,2.76,3.93
27 May 2021,70.00,72.10,69.00,70.29,0.25,0.36
26 May 2021,69.25,70.10,68.20,70.04,1.36,1.98
25 May 2021,68.00,69.15,66.70,68.68,0.82,1.21
24 May 2021,67.00,68.00,66.67,67.86,0.90,1.34
21 May 2021,67.00,67.45,66.23,66.96,0.76,1.15
20 May 2021,66.99,66.99,66.00,66.20,0.00,0.00
19 May 2021,66.01,66.50,66.01,66.20,-0.16,-0.24
18 May 2021,67.95,67.95,66.10,66.36,-1.54,-2.27
17 May 2021,68.50,69.00,67.37,67.90,-0.16,-0.24
06 May 2021,69.00,69.00,67.12,68.06,0.72,1.07
05 May 2021,67.15,68.00,67.00,67.34,0.77,1.16
04 May 2021,65.84,67.40,65.00,66.57,0.37,0.56
03 May 2021,64.60,67.00,64.51,66.20,0.03,0.05
30 Apr 2021,65.27,66.59,65.27,66.17,1.11,1.71
29 Apr 2021,65.25,66.60,64.40,65.06,-1.57,-2.36
28 Apr 2021,66.34,67.39,66.10,66.63,0.30,0.45
27 Apr 2021,66.01,68.74,65.05,66.33,-0.16,-0.24
26 Apr 2021,64.93,67.00,63.01,66.49,2.45,3.83
23 Apr 2021,65.00,65.00,63.90,64.04,-0.58,-0.90
22 Apr 2021,64.13,65.80,64.02,64.62,0.50,0.78
21 Apr 2021,64.25,64.95,64.00,64.12,-0.33,-0.51
20 Apr 2021,64.25,64.50,63.99,64.45,0.90,1.42
19 Apr 2021,64.21,64.21,62.90,63.55,-0.83,-1.29
16 Apr 2021,64.07,64.97,64.07,64.38,0.31,0.48
15 Apr 2021,64.89,64.89,64.00,64.07,-0.85,-1.31
14 Apr 2021,64.00,65.00,63.50,64.92,0.96,1.50
13 Apr 2021,62.95,64.20,62.95,63.96,1.04,1.65
12 Apr 2021,63.01,63.95,62.87,62.92,-0.12,-0.19
09 Apr 2021,63.20,63.80,62.11,63.04,-0.40,-0.63
08 Apr 2021,62.50,63.50,62.30,63.44,1.77,2.87
07 Apr 2021,64.01,64.98,61.00,61.67,-2.77,-4.30
06 Apr 2021,62.90,64.85,62.90,64.44,1.18,1.87
05 Apr 2021,64.50,64.50,63.00,63.26,-0.98,-1.53
02 Apr 2021,64.67,65.69,64.02,64.24,0.03,0.05
01 Apr 2021,65.49,65.99,63.81,64.21,-0.83,-1.28
31 Mar 2021,65.99,66.50,64.75,65.04,-0.42,-0.64
30 Mar 2021,65.99,65.99,65.01,65.46,0.20,0.31
29 Mar 2021,65.23,66.85,64.50,65.26,-0.96,-1.45
26 Mar 2021,66.81,66.89,65.12,66.22,-1.47,-2.17
25 Mar 2021,67.99,67.99,66.75,67.69,0.47,0.70
24 Mar 2021,65.90,68.50,65.90,67.22,0.64,0.96
22 Mar 2021,65.98,67.49,65.06,66.58,1.32,2.02
19 Mar 2021,66.10,66.77,65.05,65.26,-0.83,-1.26
18 Mar 2021,67.25,68.09,65.90,66.09,-1.94,-2.85
17 Mar 2021,68.00,68.48,67.08,68.03,0.99,1.48
16 Mar 2021,67.98,67.98,66.21,67.04,-0.19,-0.28
15 Mar 2021,65.70,68.00,65.70,67.23,0.42,0.63
12 Mar 2021,66.94,69.00,64.50,66.81,1.79,2.75
11 Mar 2021,66.25,67.49,64.71,65.02,-1.10,-1.66
10 Mar 2021,70.00,71.84,70.00,70.62,0.61,0.87
09 Mar 2021,69.20,70.47,69.20,70.01,0.47,0.68
08 Mar 2021,70.60,70.78,69.05,69.54,-0.52,-0.74
05 Mar 2021,69.27,70.35,69.00,70.06,0.52,0.75
04 Mar 2021,69.01,70.25,69.01,69.54,-1.07,-1.52
03 Mar 2021,70.35,71.00,69.93,70.61,0.27,0.38
02 Mar 2021,69.79,71.40,69.53,70.34,0.88,1.27
01 Mar 2021,70.50,71.00,68.50,69.46,-1.10,-1.56
26 Feb 2021,71.20,73.20,70.17,70.56,-0.64,-0.90
25 Feb 2021,71.50,71.50,70.00,71.20,1.20,1.71
24 Feb 2021,70.00,70.05,69.01,70.00,-0.02,-0.03
23 Feb 2021,71.20,71.29,69.96,70.02,-0.66,-0.93
22 Feb 2021,72.20,72.50,70.50,70.68,-1.31,-1.82
19 Feb 2021,72.00,72.45,71.25,71.99,-0.12,-0.17
18 Feb 2021,73.00,73.01,72.00,72.11,-1.01,-1.38
17 Feb 2021,73.23,73.74,72.40,73.12,0.85,1.18
16 Feb 2021,72.06,72.50,71.90,72.27,-0.34,-0.47
15 Feb 2021,73.30,73.30,72.30,72.61,-0.01,-0.01
12 Feb 2021,73.40,73.40,72.00,72.62,-0.59,-0.81
11 Feb 2021,74.60,74.68,72.99,73.21,-1.00,-1.35
10 Feb 2021,74.60,75.09,73.50,74.21,-0.95,-1.26
09 Feb 2021,75.00,75.65,74.50,75.16,0.31,0.41
08 Feb 2021,74.80,75.35,74.25,74.85,0.18,0.24
04 Feb 2021,75.35,75.55,74.55,74.67,0.02,0.03
03 Feb 2021,74.30,75.25,74.30,74.65,0.37,0.50
02 Feb 2021,74.51,74.99,74.00,74.28,-0.28,-0.38
01 Feb 2021,75.25,75.99,74.50,74.56,-0.75,-1.00
29 Jan 2021,76.00,76.25,74.90,75.31,-0.58,-0.76
28 Jan 2021,77.20,77.47,75.50,75.89,-1.14,-1.48
27 Jan 2021,79.50,82.00,76.10,77.03,-2.07,-2.62
26 Jan 2021,79.45,79.50,78.50,79.10,-0.37,-0.47
25 Jan 2021,79.30,79.75,78.80,79.47,0.47,0.59
22 Jan 2021,79.77,79.77,78.65,79.00,-0.52,-0.65
21 Jan 2021,78.32,79.70,78.32,79.52,1.37,1.75
20 Jan 2021,78.50,78.80,77.50,78.15,-0.67,-0.85
19 Jan 2021,77.47,80.00,77.11,78.82,1.79,2.32
18 Jan 2021,77.85,77.85,76.71,77.03,0.09,0.12
15 Jan 2021,77.05,78.00,76.70,76.94,0.00,0.00
14 Jan 2021,78.26,78.80,76.50,76.94,-0.35,-0.45
13 Jan 2021,77.00,77.75,76.55,77.29,0.94,1.23
12 Jan 2021,76.58,76.90,76.05,76.35,0.31,0.41
11 Jan 2021,76.25,77.00,75.77,76.04,0.58,0.77
08 Jan 2021,73.99,76.20,73.98,75.46,1.51,2.04
07 Jan 2021,73.01,75.00,73.01,73.95,1.47,2.03
06 Jan 2021,72.00,72.85,71.95,72.48,0.63,0.88
05 Jan 2021,72.00,72.25,71.50,71.85,-0.17,-0.24
04 Jan 2021,71.99,72.55,71.03,72.02,1.18,1.67
01 Jan 2021,70.85,72.00,69.60,70.84,1.24,1.78
31 Dec 2020,71.20,71.50,69.00,69.60,-1.71,-2.40
30 Dec 2020,73.00,73.00,70.80,71.31,-1.61,-2.21
29 Dec 2020,74.00,75.00,72.75,72.92,-0.42,-0.57
28 Dec 2020,74.00,74.10,73.00,73.34,-0.40,-0.54
24 Dec 2020,73.45,73.80,72.50,73.74,1.24,1.71
23 Dec 2020,72.00,72.69,71.60,72.50,0.50,0.69
22 Dec 2020,72.00,73.49,71.90,72.00,0.40,0.56
21 Dec 2020,74.50,74.60,71.40,71.60,-1.76,-2.40
18 Dec 2020,74.50,74.50,73.10,73.36,-0.28,-0.38
17 Dec 2020,73.10,74.30,73.10,73.64,-0.27,-0.37
16 Dec 2020,72.01,75.50,72.01,73.91,1.41,1.94
15 Dec 2020,73.24,73.24,71.30,72.50,0.92,1.29
14 Dec 2020,70.30,72.00,70.30,71.58,0.99,1.40
11 Dec 2020,71.00,71.00,70.50,70.59,-0.29,-0.41
10 Dec 2020,69.06,71.49,69.05,70.88,0.93,1.33
09 Dec 2020,70.55,70.80,69.00,69.95,-0.53,-0.75
08 Dec 2020,70.74,71.00,70.02,70.48,-0.15,-0.21
07 Dec 2020,70.20,71.00,70.10,70.63,0.74,1.06
04 Dec 2020,70.00,70.85,69.50,69.89,0.13,0.19
03 Dec 2020,71.00,71.09,69.50,69.76,-0.26,-0.37
02 Dec 2020,67.60,70.50,67.60,70.02,2.55,3.78
01 Dec 2020,67.01,68.00,67.00,67.47,0.45,0.67
30 Nov 2020,67.50,67.99,66.75,67.02,-0.98,-1.44
27 Nov 2020,68.05,68.50,67.60,68.00,-0.05,-0.07
26 Nov 2020,67.50,68.50,67.49,68.05,0.70,1.04
25 Nov 2020,67.00,68.00,66.52,67.35,0.45,0.67
24 Nov 2020,62.00,67.50,62.00,66.90,-0.05,-0.07
23 Nov 2020,67.01,67.01,65.50,66.95,-0.73,-1.08
20 Nov 2020,67.50,68.10,67.49,67.68,-0.33,-0.49
19 Nov 2020,69.00,69.15,67.00,68.01,-1.35,-1.95
18 Nov 2020,69.39,69.39,68.50,69.36,0.15,0.22
17 Nov 2020,69.48,69.49,68.90,69.21,0.20,0.29
16 Nov 2020,69.30,69.50,69.00,69.01,0.01,0.01
13 Nov 2020,68.50,69.28,68.50,69.00,-0.02,-0.03
12 Nov 2020,69.90,69.90,68.50,69.02,-0.49,-0.70
11 Nov 2020,69.99,70.00,69.01,69.51,0.06,0.09
10 Nov 2020,69.50,70.00,68.00,69.45,0.95,1.39
09 Nov 2020,69.49,69.50,68.49,68.50,-0.12,-0.17
06 Nov 2020,69.98,69.98,68.51,68.62,-1.12,-1.61
05 Nov 2020,68.70,70.45,68.30,69.74,1.79,2.63
04 Nov 2020,69.90,70.89,67.75,67.95,-1.03,-1.49
03 Nov 2020,67.00,69.60,66.45,68.98,2.98,4.52
02 Nov 2020,65.56,66.95,65.50,66.00,-1.07,-1.60
29 Oct 2020,67.50,68.50,65.85,67.07,-0.87,-1.28
28 Oct 2020,68.90,69.00,67.60,67.94,0.00,0.00
27 Oct 2020,70.90,71.00,67.00,67.94,-2.83,-4.00
26 Oct 2020,71.48,71.50,70.00,70.77,0.31,0.44
23 Oct 2020,71.00,71.35,70.00,70.46,-1.41,-1.96
22 Oct 2020,68.45,72.19,68.45,71.87,4.52,6.71
21 Oct 2020,63.25,67.35,63.00,67.35,4.69,7.48
20 Oct 2020,62.60,63.50,62.50,62.66,0.16,0.26
19 Oct 2020,63.00,63.00,62.10,62.50,-0.09,-0.14
16 Oct 2020,62.30,63.30,62.10,62.59,-0.41,-0.65
15 Oct 2020,62.61,63.50,62.60,63.00,0.01,0.02
14 Oct 2020,62.00,63.60,62.00,62.99,0.34,0.54
13 Oct 2020,63.00,63.00,62.50,62.65,-0.22,-0.35
12 Oct 2020,63.48,63.48,62.42,62.87,0.26,0.42
09 Oct 2020,61.63,64.00,61.60,62.61,0.58,0.94
08 Oct 2020,63.48,63.49,61.54,62.03,-1.24,-1.96
07 Oct 2020,63.75,64.00,62.00,63.27,-0.14,-0.22
06 Oct 2020,64.01,64.99,63.00,63.41,-1.19,-1.84
05 Oct 2020,64.99,64.99,62.10,64.60,-0.37,-0.57
02 Oct 2020,64.00,65.00,63.51,64.97,0.98,1.53
01 Oct 2020,65.00,65.00,63.20,63.99,-0.58,-0.90
30 Sep 2020,64.50,65.50,64.00,64.57,-0.39,-0.60
29 Sep 2020,63.00,65.99,63.00,64.96,2.65,4.25
28 Sep 2020,65.00,65.00,61.16,62.31,-2.67,-4.11
25 Sep 2020,65.20,65.20,64.60,64.98,-0.02,-0.03
24 Sep 2020,64.70,65.00,64.20,65.00,0.25,0.39
23 Sep 2020,65.40,65.40,64.60,64.75,-0.28,-0.43
22 Sep 2020,65.00,65.40,64.80,65.03,-0.23,-0.35
21 Sep 2020,65.28,65.83,65.25,65.26,-0.57,-0.87
18 Sep 2020,65.50,66.00,65.00,65.83,0.66,1.01
17 Sep 2020,65.20,65.47,64.92,65.17,0.18,0.28
16 Sep 2020,65.50,65.50,64.88,64.99,-0.02,-0.03
15 Sep 2020,65.25,65.50,64.82,65.01,0.01,0.02
14 Sep 2020,65.35,65.35,64.50,65.00,0.10,0.15
11 Sep 2020,65.10,65.45,64.81,64.90,-0.15,-0.23
10 Sep 2020,65.80,66.46,65.00,65.05,-0.24,-0.37
09 Sep 2020,64.75,65.39,64.10,65.29,0.29,0.45
08 Sep 2020,65.50,65.50,64.50,65.00,-0.25,-0.38
07 Sep 2020,65.60,65.65,64.99,65.25,0.00,0.00
04 Sep 2020,65.30,65.88,64.25,65.25,0.53,0.82
03 Sep 2020,65.50,65.98,64.50,64.72,-0.78,-1.19
02 Sep 2020,66.00,66.25,65.35,65.50,0.23,0.35
01 Sep 2020,65.85,65.85,65.02,65.27,0.04,0.06
31 Aug 2020,65.11,65.90,65.00,65.23,0.03,0.05
28 Aug 2020,65.50,66.34,65.06,65.20,-0.39,-0.59
27 Aug 2020,66.45,66.79,65.50,65.59,-0.22,-0.33
26 Aug 2020,65.12,66.80,65.00,65.81,0.11,0.17
25 Aug 2020,65.60,65.97,64.98,65.70,0.41,0.63
24 Aug 2020,65.52,66.39,65.11,65.29,-0.23,-0.35
21 Aug 2020,66.49,66.49,65.26,65.52,-0.21,-0.32
20 Aug 2020,65.79,66.00,64.60,65.73,0.43,0.66
19 Aug 2020,65.01,65.90,65.01,65.30,-0.20,-0.31
18 Aug 2020,64.95,65.70,64.20,65.50,0.86,1.33
17 Aug 2020,64.99,65.25,63.70,64.64,0.00,0.00
13 Aug 2020,63.99,64.85,63.50,64.64,1.22,1.92
12 Aug 2020,63.83,64.40,63.08,63.42,0.18,0.28
11 Aug 2020,64.15,64.89,63.00,63.24,-0.93,-1.45
10 Aug 2020,63.50,64.75,63.50,64.17,0.67,1.06
07 Aug 2020,63.18,64.45,63.15,63.50,0.06,0.09
06 Aug 2020,63.70,64.80,63.01,63.44,-0.07,-0.11
05 Aug 2020,65.50,65.50,63.27,63.51,-0.84,-1.31
04 Aug 2020,64.99,66.00,64.11,64.35,-0.25,-0.39
03 Aug 2020,63.11,65.07,63.10,64.60,0.94,1.48
30 Jul 2020,64.35,64.35,63.01,63.66,0.60,0.95
29 Jul 2020,62.60,64.00,62.50,63.06,0.68,1.09
28 Jul 2020,61.80,62.75,59.56,62.38,1.88,3.11
27 Jul 2020,57.90,61.69,57.00,60.50,3.11,5.42
24 Jul 2020,57.29,58.25,55.63,57.39,1.31,2.34
23 Jul 2020,55.98,56.98,55.80,56.08,0.38,0.68
22 Jul 2020,55.90,56.00,55.20,55.70,0.58,1.05
21 Jul 2020,56.30,56.30,54.99,55.12,-0.22,-0.40
20 Jul 2020,55.50,55.75,55.00,55.34,0.09,0.16
17 Jul 2020,55.50,55.50,55.00,55.25,0.24,0.44
16 Jul 2020,55.00,55.30,54.36,55.01,0.22,0.40
15 Jul 2020,56.00,56.00,53.32,54.79,-0.59,-1.07
14 Jul 2020,55.75,55.85,55.00,55.38,-0.12,-0.22
13 Jul 2020,54.84,56.00,54.10,55.50,0.66,1.20
10 Jul 2020,54.80,55.00,54.00,54.84,0.57,1.05
09 Jul 2020,52.99,54.95,52.99,54.27,1.53,2.90
08 Jul 2020,52.47,52.90,52.26,52.74,0.52,1.00
07 Jul 2020,52.11,52.70,51.90,52.22,0.05,0.10
06 Jul 2020,52.80,52.80,51.97,52.17,-0.31,-0.59
03 Jul 2020,52.88,52.88,51.85,52.48,-0.03,-0.06
02 Jul 2020,51.50,52.75,51.50,52.51,1.10,2.14
01 Jul 2020,52.00,52.39,51.10,51.41,-0.89,-1.70
30 Jun 2020,52.95,53.00,51.00,52.30,0.51,0.98
29 Jun 2020,53.50,53.50,51.53,51.79,-1.07,-2.02
26 Jun 2020,52.00,53.00,51.50,52.86,0.23,0.44
25 Jun 2020,53.10,53.30,52.51,52.63,0.11,0.21
24 Jun 2020,53.87,53.87,52.50,52.52,-0.18,-0.34
23 Jun 2020,53.03,53.50,52.50,52.70,-0.32,-0.60
22 Jun 2020,52.90,53.50,52.26,53.02,0.34,0.65
19 Jun 2020,52.50,53.15,51.57,52.68,0.55,1.06
18 Jun 2020,54.15,54.90,52.00,52.13,-2.81,-5.11
17 Jun 2020,55.50,55.50,53.10,54.94,-0.21,-0.38
16 Jun 2020,55.50,55.50,54.50,55.15,0.09,0.16
15 Jun 2020,56.40,56.40,54.01,55.06,-0.51,-0.92
12 Jun 2020,54.01,56.00,54.01,55.57,-0.93,-1.65
11 Jun 2020,56.50,57.20,55.50,56.50,0.82,1.47
10 Jun 2020,54.85,56.20,54.15,55.68,1.18,2.17
09 Jun 2020,54.90,54.90,53.52,54.50,0.50,0.93
08 Jun 2020,54.97,55.00,54.00,54.00,-0.88,-1.60
05 Jun 2020,55.02,55.50,54.15,54.88,-0.14,-0.25
04 Jun 2020,55.85,55.90,54.99,55.02,-0.02,-0.04
03 Jun 2020,55.00,55.69,54.49,55.04,0.43,0.79
02 Jun 2020,52.50,55.45,52.50,54.61,1.54,2.90
01 Jun 2020,51.30,53.65,51.30,53.07,1.56,3.03
29 May 2020,50.30,51.97,50.30,51.51,0.96,1.90
28 May 2020,50.95,51.48,50.50,50.55,-0.47,-0.92
21 May 2020,51.00,52.00,51.00,51.02,-0.13,-0.25
20 May 2020,51.22,51.40,50.21,51.15,-0.07,-0.14
19 May 2020,51.00,51.80,51.00,51.22,0.24,0.47
18 May 2020,52.60,52.95,50.50,50.98,-1.59,-3.02
15 May 2020,52.83,53.87,51.25,52.57,-1.40,-2.59
14 May 2020,54.50,54.50,53.20,53.97,-0.61,-1.12
13 May 2020,54.25,55.00,54.10,54.58,0.06,0.11
12 May 2020,55.80,55.80,54.00,54.52,-0.55,-1.00
11 May 2020,55.40,55.95,55.01,55.07,-0.01,-0.02
08 May 2020,55.94,55.95,54.80,55.08,-0.23,-0.42
07 May 2020,57.75,57.75,54.52,55.31,-1.69,-2.96
06 May 2020,56.30,57.40,56.10,57.00,0.00,0.00
05 May 2020,57.10,57.75,56.80,57.00,-0.06,-0.11
04 May 2020,56.50,58.00,56.50,57.06,-0.47,-0.82
30 Apr 2020,56.02,58.99,56.02,57.53,0.47,0.82
29 Apr 2020,58.23,58.50,57.00,57.06,-2.17,-3.66
28 Apr 2020,58.00,59.25,58.00,59.23,0.75,1.28
27 Apr 2020,58.36,58.99,56.00,58.48,0.12,0.21
24 Apr 2020,58.99,59.00,58.00,58.36,-0.15,-0.26
23 Apr 2020,57.00,58.99,56.00,58.51,0.38,0.65
22 Apr 2020,57.70,58.49,56.00,58.13,1.01,1.77
21 Apr 2020,56.00,58.00,56.00,57.12,0.69,1.22
20 Apr 2020,55.98,56.75,54.01,56.43,1.43,2.60
17 Apr 2020,52.55,58.50,52.29,55.00,-1.52,-2.69
16 Apr 2020,57.50,57.50,55.50,56.52,-0.14,-0.25
15 Apr 2020,56.50,57.70,56.35,56.66,0.63,1.12
14 Apr 2020,56.90,56.90,55.03,56.03,0.66,1.19
13 Apr 2020,56.80,56.80,55.15,55.37,-1.69,-2.96
10 Apr 2020,56.26,57.90,56.26,57.06,0.14,0.25
09 Apr 2020,56.50,57.30,56.50,56.92,0.74,1.32
08 Apr 2020,57.90,57.92,56.00,56.18,-1.74,-3.00
07 Apr 2020,59.00,61.00,57.50,57.92,-0.55,-0.94
06 Apr 2020,59.00,59.34,58.00,58.47,0.64,1.11
03 Apr 2020,56.06,58.74,56.00,57.83,2.17,3.90
02 Apr 2020,53.00,56.00,53.00,55.66,2.28,4.27
01 Apr 2020,52.27,54.00,52.27,53.38,-0.49,-0.91
31 Mar 2020,53.99,54.50,52.20,53.87,0.60,1.13
30 Mar 2020,53.00,54.00,51.20,53.27,-0.74,-1.37
27 Mar 2020,53.75,55.00,52.49,54.01,1.06,2.00
26 Mar 2020,55.00,55.91,51.00,52.95,0.94,1.81
25 Mar 2020,55.00,55.49,50.51,52.01,-2.59,-4.74
24 Mar 2020,54.60,56.00,54.60,54.60,-4.42,-7.49
20 Mar 2020,59.00,62.00,57.11,59.02,0.96,1.65
19 Mar 2020,51.20,58.88,50.68,58.06,3.28,5.99
18 Mar 2020,55.25,56.99,54.00,54.78,-2.99,-5.18
17 Mar 2020,57.21,59.49,56.65,57.77,-3.47,-5.67
16 Mar 2020,65.20,65.20,61.24,61.24,-4.96,-7.49
13 Mar 2020,62.26,71.15,61.86,66.20,-0.31,-0.47
12 Mar 2020,69.90,70.00,66.22,66.51,-4.69,-6.59
11 Mar 2020,72.75,75.90,72.50,74.70,2.23,3.08
10 Mar 2020,68.00,73.15,68.00,72.47,4.07,5.95
09 Mar 2020,68.72,70.50,68.40,68.40,-5.14,-6.99
06 Mar 2020,75.00,75.00,73.00,73.54,-1.54,-2.05
05 Mar 2020,78.00,81.99,75.00,75.08,-2.70,-3.47
04 Mar 2020,77.04,81.00,76.15,77.78,-0.70,-0.89
03 Mar 2020,81.45,81.45,78.10,78.48,0.38,0.49
02 Mar 2020,75.00,79.10,75.00,78.10,4.17,5.64
28 Feb 2020,74.95,75.00,73.50,73.93,-1.04,-1.39
27 Feb 2020,74.52,77.75,73.50,74.97,-1.55,-2.03
26 Feb 2020,75.21,76.96,75.21,76.52,-0.08,-0.10
25 Feb 2020,75.06,77.50,75.06,76.60,-0.77,-1.00
24 Feb 2020,78.50,78.81,77.00,77.37,-1.77,-2.24
21 Feb 2020,78.50,79.47,78.50,79.14,0.21,0.27
20 Feb 2020,78.05,79.00,78.00,78.93,0.76,0.97
19 Feb 2020,77.57,79.00,77.55,78.17,-0.41,-0.52
18 Feb 2020,78.13,79.75,78.13,78.58,-0.60,-0.76
17 Feb 2020,76.31,80.39,76.31,79.18,-0.39,-0.49
14 Feb 2020,78.52,80.00,78.52,79.57,-0.09,-0.11
13 Feb 2020,79.00,80.00,79.00,79.66,0.18,0.23
12 Feb 2020,79.00,79.94,78.49,79.48,0.55,0.70
11 Feb 2020,77.99,79.40,77.99,78.93,0.94,1.21
10 Feb 2020,79.50,79.50,77.35,77.99,-1.68,-2.11
07 Feb 2020,79.74,80.40,78.50,79.67,0.18,0.23
06 Feb 2020,79.81,79.81,79.21,79.49,-0.43,-0.54
04 Feb 2020,78.50,80.35,77.00,79.92,1.89,2.42
03 Feb 2020,80.00,80.00,77.10,78.03,-2.23,-2.78
31 Jan 2020,80.75,80.95,79.70,80.26,-0.26,-0.32
30 Jan 2020,80.60,81.25,80.00,80.52,-1.05,-1.29
29 Jan 2020,81.00,82.89,80.49,81.57,0.59,0.73
28 Jan 2020,81.01,81.35,80.80,80.98,-0.49,-0.60
27 Jan 2020,83.00,83.00,81.01,81.47,-0.33,-0.40
24 Jan 2020,80.50,83.00,80.50,81.80,1.05,1.30
23 Jan 2020,81.50,81.50,80.50,80.75,-0.07,-0.09
