date,open,high,low,close,change,volume
23 Jun 2021,183.50,186.78,182.50,183.12,1.05,0.58
22 Jun 2021,183.50,185.00,182.01,182.07,-2.07,-1.12
21 Jun 2021,184.03,185.00,183.01,184.14,-0.45,-0.24
18 Jun 2021,184.00,186.99,183.00,184.59,0.95,0.52
17 Jun 2021,184.00,185.30,182.00,183.64,-0.14,-0.08
16 Jun 2021,189.79,189.80,183.00,183.78,-4.82,-2.56
15 Jun 2021,190.00,193.89,187.00,188.60,-1.88,-0.99
14 Jun 2021,188.10,191.25,186.00,190.48,3.75,2.01
11 Jun 2021,186.94,189.00,184.00,186.73,1.52,0.82
10 Jun 2021,184.89,188.00,183.25,185.21,1.63,0.89
09 Jun 2021,189.50,190.45,183.00,183.58,-5.12,-2.71
08 Jun 2021,190.00,193.90,188.00,188.70,-2.66,-1.39
07 Jun 2021,193.25,193.90,190.00,191.36,-0.96,-0.50
04 Jun 2021,192.88,193.99,190.01,192.32,0.18,0.09
03 Jun 2021,190.50,193.74,189.00,192.14,1.31,0.69
02 Jun 2021,190.09,195.50,186.81,190.83,0.74,0.39
01 Jun 2021,191.25,193.00,186.00,190.09,-0.80,-0.42
31 May 2021,186.47,194.00,184.00,190.89,6.38,3.46
28 May 2021,176.15,192.50,175.51,184.51,5.44,3.04
27 May 2021,181.00,184.00,178.23,179.07,-2.68,-1.47
26 May 2021,183.00,184.00,178.00,181.75,0.15,0.08
25 May 2021,178.16,182.50,178.16,181.60,3.44,1.93
24 May 2021,173.00,180.20,173.00,178.16,5.37,3.11
21 May 2021,173.01,176.49,172.00,172.79,-1.16,-0.67
20 May 2021,175.00,176.99,173.50,173.95,-1.58,-0.90
19 May 2021,177.00,177.00,174.20,175.53,-2.70,-1.51
18 May 2021,173.94,180.50,172.00,178.23,3.29,1.88
17 May 2021,169.49,175.50,169.05,174.94,7.50,4.48
06 May 2021,165.99,168.00,164.00,167.44,1.70,1.03
05 May 2021,162.00,166.05,162.00,165.74,4.67,2.90
04 May 2021,161.99,163.95,160.50,161.07,-0.62,-0.38
03 May 2021,160.01,162.50,155.50,161.69,0.47,0.29
30 Apr 2021,164.00,164.01,160.75,161.22,-2.17,-1.33
29 Apr 2021,166.01,167.00,160.11,163.39,-3.64,-2.18
28 Apr 2021,169.50,172.00,166.20,167.03,-2.21,-1.31
27 Apr 2021,165.25,171.00,164.00,169.24,3.93,2.38
26 Apr 2021,162.00,167.80,159.00,165.31,1.59,0.97
23 Apr 2021,167.79,167.90,161.00,163.72,-2.44,-1.47
22 Apr 2021,167.00,172.50,162.00,166.16,-1.17,-0.70
