date,open,high,low,close,change,volume
23 Jun 2021,125.50,126.00,123.60,123.94,-0.97,-0.78
22 Jun 2021,125.90,126.70,124.60,124.91,-0.46,-0.37
21 Jun 2021,127.00,127.85,125.00,125.37,-1.91,-1.50
18 Jun 2021,126.00,128.80,126.00,127.28,1.69,1.35
17 Jun 2021,128.40,128.40,125.00,125.59,-2.25,-1.76
16 Jun 2021,131.00,131.44,127.51,127.84,-2.74,-2.10
15 Jun 2021,129.75,133.99,128.57,130.58,1.72,1.33
14 Jun 2021,128.99,130.50,126.00,128.86,2.77,2.20
11 Jun 2021,128.52,129.50,125.80,126.09,-2.44,-1.90
10 Jun 2021,129.50,130.88,128.25,128.53,-0.67,-0.52
09 Jun 2021,131.00,132.10,128.90,129.20,-1.60,-1.22
08 Jun 2021,130.55,132.40,129.30,130.80,0.47,0.36
07 Jun 2021,131.50,132.30,129.15,130.33,0.36,0.28
04 Jun 2021,129.51,131.10,128.90,129.97,0.55,0.42
03 Jun 2021,129.95,131.50,129.00,129.42,-0.13,-0.10
02 Jun 2021,131.25,132.11,128.60,129.55,-1.56,-1.19
01 Jun 2021,131.01,134.40,130.21,131.11,0.69,0.53
31 May 2021,123.00,130.63,123.00,130.42,8.90,7.32
28 May 2021,123.00,123.50,121.00,121.52,-1.59,-1.29
27 May 2021,123.61,124.20,121.00,123.11,-0.29,-0.24
26 May 2021,122.10,125.69,122.00,123.40,2.97,2.47
25 May 2021,117.00,121.00,117.00,120.43,4.15,3.57
24 May 2021,114.50,118.00,114.50,116.28,2.48,2.18
21 May 2021,112.99,115.00,112.40,113.80,1.24,1.10
20 May 2021,110.00,112.90,109.90,112.56,0.86,0.77
19 May 2021,114.10,114.99,111.00,111.70,-3.45,-3.00
18 May 2021,115.50,116.95,114.00,115.15,-0.35,-0.30
17 May 2021,112.90,116.20,112.50,115.50,4.43,3.99
06 May 2021,110.80,111.89,108.25,111.07,0.50,0.45
05 May 2021,110.60,111.75,109.45,110.57,1.12,1.02
04 May 2021,109.70,111.29,108.20,109.45,-0.67,-0.61
03 May 2021,109.00,113.50,108.26,110.12,-0.51,-0.46
30 Apr 2021,114.88,114.89,109.75,110.63,-3.60,-3.15
29 Apr 2021,116.25,116.25,114.00,114.23,-1.21,-1.05
28 Apr 2021,117.00,117.60,115.00,115.44,-0.59,-0.51
27 Apr 2021,118.49,118.60,115.50,116.03,-2.41,-2.03
26 Apr 2021,115.80,122.00,114.00,118.44,2.64,2.28
23 Apr 2021,116.10,116.49,114.55,115.80,-0.71,-0.61
22 Apr 2021,119.00,119.87,115.70,116.51,-3.77,-3.13
21 Apr 2021,122.50,122.95,119.83,120.28,-1.65,-1.35
20 Apr 2021,123.00,123.89,121.28,121.93,-0.18,-0.15
19 Apr 2021,122.00,124.30,118.80,122.11,-0.40,-0.33
16 Apr 2021,124.00,124.45,122.30,122.51,-1.31,-1.06
15 Apr 2021,125.85,125.85,123.51,123.82,-1.07,-0.86
14 Apr 2021,124.56,126.48,124.06,124.89,0.33,0.26
13 Apr 2021,124.90,126.50,123.00,124.56,0.30,0.24
12 Apr 2021,126.19,127.00,123.50,124.26,-2.14,-1.69
09 Apr 2021,125.30,128.00,125.00,126.40,1.90,1.53
08 Apr 2021,120.50,124.90,120.50,124.50,4.64,3.87
07 Apr 2021,120.50,122.48,117.51,119.86,-0.19,-0.16
06 Apr 2021,116.00,120.70,115.00,120.05,4.62,4.00
05 Apr 2021,118.50,118.80,115.10,115.43,-2.09,-1.78
02 Apr 2021,118.40,118.80,116.15,117.52,-0.19,-0.16
01 Apr 2021,120.30,121.00,117.00,117.71,-2.80,-2.32
31 Mar 2021,122.95,123.39,119.70,120.51,-0.32,-0.26
30 Mar 2021,119.23,125.00,117.75,120.83,1.60,1.34
29 Mar 2021,123.00,123.00,118.50,119.23,-4.66,-3.76
26 Mar 2021,127.50,127.50,123.51,123.89,-2.55,-2.02
25 Mar 2021,125.99,127.87,125.99,126.44,1.51,1.21
24 Mar 2021,124.75,126.10,123.10,124.93,0.73,0.59
22 Mar 2021,125.00,126.85,121.52,124.20,-1.07,-0.85
19 Mar 2021,125.00,126.00,123.20,125.27,1.02,0.82
18 Mar 2021,127.50,128.40,121.11,124.25,-2.63,-2.07
17 Mar 2021,126.25,128.39,125.10,126.88,2.04,1.63
16 Mar 2021,128.00,128.29,124.20,124.84,-2.73,-2.14
15 Mar 2021,127.40,128.08,123.05,127.57,4.59,3.73
12 Mar 2021,117.00,123.64,116.50,122.98,7.84,6.81
11 Mar 2021,115.11,119.65,114.35,115.14,-0.79,-0.68
10 Mar 2021,117.90,120.45,115.00,115.93,-1.95,-1.65
09 Mar 2021,127.50,128.44,117.65,117.88,-9.30,-7.31
08 Mar 2021,138.00,138.00,126.01,127.18,-7.12,-5.30
05 Mar 2021,132.10,134.98,131.51,134.30,2.28,1.73
04 Mar 2021,132.50,136.10,131.42,132.02,-5.05,-3.68
03 Mar 2021,135.95,138.00,134.90,137.07,1.84,1.36
02 Mar 2021,135.21,137.35,134.70,135.23,0.01,0.01
01 Mar 2021,136.20,137.90,132.05,135.22,-0.97,-0.71
26 Feb 2021,136.50,139.50,135.50,136.19,0.56,0.41
25 Feb 2021,133.90,136.90,132.40,135.63,3.40,2.57
24 Feb 2021,133.90,134.40,130.00,132.23,-0.80,-0.60
23 Feb 2021,135.10,135.99,132.50,133.03,-1.25,-0.93
22 Feb 2021,135.70,137.00,133.50,134.28,-1.54,-1.13
19 Feb 2021,135.49,139.50,134.58,135.82,1.24,0.92
18 Feb 2021,138.00,138.00,134.26,134.58,-3.38,-2.45
17 Feb 2021,143.00,143.00,137.41,137.96,-3.52,-2.49
16 Feb 2021,139.00,143.51,138.15,141.48,3.72,2.70
15 Feb 2021,134.08,140.40,132.75,137.76,6.66,5.08
12 Feb 2021,126.60,133.00,126.00,131.10,4.40,3.47
11 Feb 2021,121.00,129.53,120.60,126.70,6.20,5.15
10 Feb 2021,116.80,122.50,115.50,120.50,4.16,3.58
09 Feb 2021,117.73,118.84,116.10,116.34,-0.60,-0.51
08 Feb 2021,119.70,119.70,116.52,116.94,-1.68,-1.42
04 Feb 2021,122.25,122.65,118.01,118.62,-2.54,-2.10
03 Feb 2021,118.24,122.50,118.00,121.16,3.84,3.27
02 Feb 2021,118.50,118.50,116.60,117.32,-1.09,-0.92
01 Feb 2021,122.00,123.00,117.61,118.41,-2.08,-1.73
29 Jan 2021,115.98,123.01,115.50,120.49,5.21,4.52
28 Jan 2021,113.50,117.30,113.50,115.28,1.45,1.27
27 Jan 2021,113.75,115.89,113.39,113.83,0.02,0.02
26 Jan 2021,113.00,115.99,112.30,113.81,1.37,1.22
25 Jan 2021,111.30,112.75,111.00,112.44,1.86,1.68
22 Jan 2021,111.00,111.50,109.80,110.58,-0.42,-0.38
21 Jan 2021,110.85,112.98,110.50,111.00,0.87,0.79
20 Jan 2021,110.71,111.24,109.51,110.13,-0.54,-0.49
19 Jan 2021,111.00,111.99,110.26,110.67,-0.30,-0.27
18 Jan 2021,111.60,112.20,110.80,110.97,-0.36,-0.32
15 Jan 2021,113.12,114.20,110.51,111.33,-1.79,-1.58
14 Jan 2021,114.48,115.00,112.60,113.12,-0.90,-0.79
13 Jan 2021,113.25,115.40,113.00,114.02,1.68,1.50
12 Jan 2021,112.35,112.70,111.20,112.34,0.12,0.11
11 Jan 2021,113.50,114.60,112.06,112.22,-0.90,-0.80
08 Jan 2021,112.07,114.50,112.05,113.12,0.74,0.66
07 Jan 2021,113.00,114.45,112.00,112.38,-0.50,-0.44
06 Jan 2021,111.80,113.63,111.11,112.88,1.25,1.12
05 Jan 2021,111.35,112.60,110.55,111.63,0.97,0.88
04 Jan 2021,115.11,115.50,110.30,110.66,-4.20,-3.66
01 Jan 2021,116.00,117.30,114.40,114.86,0.28,0.24
31 Dec 2020,113.00,115.70,112.82,114.58,1.76,1.56
30 Dec 2020,112.25,113.84,112.25,112.82,0.15,0.13
29 Dec 2020,114.50,114.50,112.06,112.67,-0.98,-0.86
28 Dec 2020,114.99,116.30,112.92,113.65,-0.23,-0.20
24 Dec 2020,112.00,115.10,111.13,113.88,3.38,3.06
23 Dec 2020,109.05,111.50,108.80,110.50,1.76,1.62
22 Dec 2020,109.00,111.10,108.11,108.74,-0.16,-0.15
21 Dec 2020,109.01,111.10,108.00,108.90,-0.29,-0.27
18 Dec 2020,110.84,111.99,108.90,109.19,-1.16,-1.05
17 Dec 2020,109.54,110.70,108.82,110.35,1.08,0.99
16 Dec 2020,111.50,111.75,109.01,109.27,-2.32,-2.08
15 Dec 2020,111.89,114.50,111.01,111.59,0.62,0.56
14 Dec 2020,108.60,111.40,108.60,110.97,2.57,2.37
11 Dec 2020,108.49,110.38,108.00,108.40,-0.01,-0.01
10 Dec 2020,108.60,108.90,107.20,108.41,0.30,0.28
09 Dec 2020,107.90,109.90,107.75,108.11,0.76,0.71
08 Dec 2020,105.89,108.50,105.20,107.35,1.60,1.51
07 Dec 2020,106.30,107.20,105.12,105.75,-0.34,-0.32
04 Dec 2020,107.00,107.70,105.85,106.09,-0.90,-0.84
03 Dec 2020,107.25,109.35,106.57,106.99,0.25,0.23
02 Dec 2020,106.79,107.35,105.40,106.74,0.61,0.57
01 Dec 2020,105.10,107.80,105.10,106.13,1.12,1.07
30 Nov 2020,103.05,105.48,102.90,105.01,1.18,1.14
27 Nov 2020,104.99,105.78,102.90,103.83,-1.87,-1.77
26 Nov 2020,102.15,106.38,101.15,105.70,4.63,4.58
25 Nov 2020,102.50,102.99,100.25,101.07,-0.97,-0.95
