date,open,high,low,close,change,volume
23 Jun 2021,115.60,116.98,114.50,115.11,-0.89,-0.77
22 Jun 2021,117.99,117.99,116.00,116.00,-1.32,-1.13
21 Jun 2021,116.52,117.51,116.51,117.32,0.42,0.36
18 Jun 2021,118.02,118.02,116.90,116.90,-1.10,-0.93
17 Jun 2021,118.97,119.44,116.00,118.00,-0.60,-0.51
16 Jun 2021,119.00,122.00,118.00,118.60,-1.08,-0.90
15 Jun 2021,123.01,125.00,123.01,124.18,0.77,0.62
14 Jun 2021,123.95,123.95,122.50,123.41,1.13,0.92
11 Jun 2021,122.10,123.49,122.00,122.28,-0.07,-0.06
10 Jun 2021,122.01,123.00,121.90,122.35,-0.90,-0.73
09 Jun 2021,124.70,124.94,123.00,123.25,0.25,0.20
08 Jun 2021,121.99,123.49,120.45,123.00,1.51,1.24
07 Jun 2021,121.00,121.50,120.50,121.49,0.62,0.51
04 Jun 2021,121.99,121.99,120.26,120.87,-0.13,-0.11
03 Jun 2021,120.98,121.50,120.30,121.00,0.86,0.72
02 Jun 2021,120.50,121.99,119.00,120.14,-1.51,-1.24
01 Jun 2021,122.05,123.35,121.00,121.65,-0.33,-0.27
31 May 2021,120.51,122.80,120.00,121.98,1.95,1.62
28 May 2021,119.05,121.85,119.05,120.03,0.24,0.20
27 May 2021,117.02,120.00,117.01,119.79,2.20,1.87
26 May 2021,117.95,119.00,117.00,117.59,0.61,0.52
25 May 2021,117.50,117.50,115.70,116.98,0.82,0.71
24 May 2021,117.40,118.00,116.00,116.16,-0.82,-0.70
21 May 2021,115.16,117.15,115.16,116.98,-0.39,-0.33
20 May 2021,117.48,117.49,116.00,117.37,1.13,0.97
19 May 2021,115.61,116.80,115.61,116.24,-0.02,-0.02
18 May 2021,115.55,116.98,115.55,116.26,-0.77,-0.66
17 May 2021,115.05,117.95,114.50,117.03,1.53,1.32
06 May 2021,115.88,115.89,115.00,115.50,1.01,0.88
05 May 2021,114.98,115.00,114.00,114.49,0.87,0.77
04 May 2021,113.10,114.00,113.00,113.62,0.83,0.74
03 May 2021,113.94,113.98,110.05,112.79,-1.11,-0.97
30 Apr 2021,114.99,114.99,112.50,113.90,-0.72,-0.63
29 Apr 2021,114.05,116.20,114.01,114.62,-0.37,-0.32
28 Apr 2021,116.05,116.75,114.31,114.99,-0.63,-0.54
27 Apr 2021,113.82,118.50,113.70,115.62,1.81,1.59
26 Apr 2021,113.19,114.70,111.00,113.81,0.62,0.55
23 Apr 2021,112.25,113.99,112.00,113.19,-1.13,-0.99
22 Apr 2021,115.20,116.00,114.30,114.32,-0.39,-0.34
21 Apr 2021,113.66,115.99,113.50,114.71,-0.21,-0.18
20 Apr 2021,114.50,116.00,114.00,114.92,1.05,0.92
19 Apr 2021,111.01,117.50,111.01,113.87,-0.55,-0.48
16 Apr 2021,114.00,115.00,113.00,114.42,0.42,0.37
15 Apr 2021,114.25,115.99,113.11,114.00,0.38,0.33
14 Apr 2021,112.02,115.25,112.02,113.62,-0.38,-0.33
13 Apr 2021,118.00,118.00,111.51,114.00,-0.01,-0.01
12 Apr 2021,114.00,114.50,113.20,114.01,-0.84,-0.73
09 Apr 2021,115.30,117.96,114.00,114.85,-3.63,-3.06
08 Apr 2021,114.99,119.75,113.50,118.48,5.48,4.85
07 Apr 2021,112.06,113.20,112.00,113.00,-1.00,-0.88
06 Apr 2021,111.30,114.00,111.30,114.00,2.83,2.55
05 Apr 2021,111.51,114.00,111.00,111.17,-1.79,-1.58
02 Apr 2021,115.00,116.87,112.25,112.96,-2.32,-2.01
01 Apr 2021,111.50,117.50,110.20,115.28,4.27,3.85
31 Mar 2021,111.49,113.00,111.00,111.01,1.16,1.06
30 Mar 2021,110.00,110.99,109.50,109.85,-0.79,-0.71
29 Mar 2021,111.00,111.00,109.70,110.64,-2.36,-2.09
26 Mar 2021,113.00,113.24,111.95,113.00,0.40,0.36
25 Mar 2021,114.70,114.70,112.60,112.60,-0.48,-0.42
24 Mar 2021,113.46,114.50,113.00,113.08,-0.38,-0.33
22 Mar 2021,113.90,114.50,113.20,113.46,0.35,0.31
19 Mar 2021,111.28,113.98,110.10,113.11,0.72,0.64
18 Mar 2021,114.00,114.00,112.00,112.39,-0.72,-0.64
17 Mar 2021,112.50,115.99,112.50,113.11,0.09,0.08
16 Mar 2021,112.50,114.47,112.50,113.02,-0.86,-0.76
15 Mar 2021,111.99,114.49,111.00,113.88,1.90,1.70
12 Mar 2021,108.25,113.00,108.25,111.98,1.46,1.32
11 Mar 2021,114.50,116.46,110.25,110.52,-2.47,-2.19
10 Mar 2021,114.51,116.50,112.00,112.99,-1.66,-1.45
09 Mar 2021,117.53,117.60,114.00,114.65,-2.51,-2.14
08 Mar 2021,118.75,119.50,117.00,117.16,-1.52,-1.28
05 Mar 2021,117.51,119.00,116.11,118.68,1.48,1.26
04 Mar 2021,113.00,118.99,113.00,117.20,-2.89,-2.41
03 Mar 2021,120.97,121.50,118.50,120.09,2.09,1.77
02 Mar 2021,119.25,119.25,116.50,118.00,-1.98,-1.65
01 Mar 2021,120.61,121.88,119.50,119.98,-0.63,-0.52
26 Feb 2021,120.00,121.00,120.00,120.61,1.51,1.27
25 Feb 2021,121.50,121.90,118.50,119.10,-1.05,-0.87
24 Feb 2021,121.00,122.00,120.00,120.15,-1.48,-1.22
23 Feb 2021,122.00,122.00,121.00,121.63,-0.05,-0.04
22 Feb 2021,121.22,122.80,120.80,121.68,-0.21,-0.17
19 Feb 2021,123.00,123.90,120.10,121.89,-0.11,-0.09
18 Feb 2021,121.20,124.79,120.01,122.00,-2.01,-1.62
17 Feb 2021,125.65,125.65,123.99,124.01,-1.00,-0.80
16 Feb 2021,124.98,125.50,124.50,125.01,0.55,0.44
15 Feb 2021,123.40,126.50,123.40,124.46,4.36,3.63
12 Feb 2021,125.51,126.75,118.50,120.10,-5.21,-4.16
11 Feb 2021,126.00,128.94,124.99,125.31,-1.37,-1.08
10 Feb 2021,127.01,127.30,126.07,126.68,-1.31,-1.02
09 Feb 2021,125.70,128.50,125.70,127.99,0.65,0.51
08 Feb 2021,130.99,130.99,126.15,127.34,-2.66,-2.05
04 Feb 2021,130.10,131.00,129.00,130.00,-1.07,-0.82
03 Feb 2021,131.00,133.00,130.10,131.07,0.45,0.34
02 Feb 2021,128.75,133.92,128.50,130.62,0.51,0.39
01 Feb 2021,127.15,130.30,127.15,130.11,1.63,1.27
29 Jan 2021,126.49,129.25,125.50,128.48,3.13,2.50
28 Jan 2021,130.51,130.51,122.75,125.35,-4.29,-3.31
27 Jan 2021,129.99,130.00,128.00,129.64,1.58,1.23
26 Jan 2021,130.50,131.00,128.01,128.06,-1.98,-1.52
25 Jan 2021,132.25,132.60,130.00,130.04,-2.19,-1.66
22 Jan 2021,131.02,133.69,130.00,132.23,-0.35,-0.26
21 Jan 2021,132.00,133.49,130.51,132.58,0.45,0.34
20 Jan 2021,130.00,134.00,130.00,132.13,0.13,0.10
19 Jan 2021,132.00,133.99,130.00,132.00,0.14,0.11
18 Jan 2021,131.01,133.80,130.00,131.86,-0.18,-0.14
15 Jan 2021,133.84,134.00,131.50,132.04,0.55,0.42
14 Jan 2021,130.98,134.75,129.00,131.49,0.51,0.39
13 Jan 2021,133.50,134.90,130.40,130.98,-2.00,-1.50
12 Jan 2021,133.10,134.00,131.00,132.98,-0.12,-0.09
11 Jan 2021,132.85,138.00,132.20,133.10,0.25,0.19
08 Jan 2021,131.50,134.80,131.50,132.85,1.13,0.86
07 Jan 2021,130.01,134.80,130.00,131.72,1.75,1.35
06 Jan 2021,123.00,131.89,123.00,129.97,6.97,5.67
05 Jan 2021,121.50,124.00,121.50,123.00,0.80,0.65
04 Jan 2021,121.20,123.49,120.20,122.20,0.73,0.60
01 Jan 2021,121.50,122.95,120.60,121.47,-0.07,-0.06
31 Dec 2020,120.00,122.00,120.00,121.54,0.54,0.45
30 Dec 2020,119.21,121.38,119.21,121.00,1.01,0.84
29 Dec 2020,122.00,122.00,119.11,119.99,-1.60,-1.32
28 Dec 2020,120.50,121.90,120.50,121.59,0.90,0.75
24 Dec 2020,121.20,122.00,120.00,120.69,-0.52,-0.43
23 Dec 2020,121.20,122.25,119.80,121.21,0.01,0.01
22 Dec 2020,122.00,123.75,113.10,121.20,-0.76,-0.62
21 Dec 2020,122.00,123.00,121.01,121.96,0.01,0.01
18 Dec 2020,121.01,123.85,121.01,121.95,-0.37,-0.30
17 Dec 2020,123.44,123.45,121.75,122.32,0.32,0.26
16 Dec 2020,121.99,123.80,121.00,122.00,0.01,0.01
15 Dec 2020,122.70,123.98,121.10,121.99,-0.17,-0.14
14 Dec 2020,120.00,122.49,120.00,122.16,2.04,1.70
11 Dec 2020,119.85,121.95,118.71,120.12,0.88,0.74
10 Dec 2020,119.99,120.00,118.55,119.24,-0.21,-0.18
09 Dec 2020,118.50,121.44,118.27,119.45,0.99,0.84
