date,open,high,low,close,change,volume
23 Jun 2021,301.45,301.45,299.50,300.06,-0.02,-0.01
22 Jun 2021,300.00,302.49,299.10,300.08,0.05,0.02
21 Jun 2021,301.00,301.01,299.00,300.03,-1.92,-0.64
18 Jun 2021,297.66,303.90,297.66,301.95,1.43,0.48
17 Jun 2021,303.00,303.00,300.00,300.52,0.05,0.02
16 Jun 2021,304.80,304.80,299.98,300.47,-2.82,-0.93
15 Jun 2021,305.10,306.27,303.00,303.29,-2.26,-0.74
14 Jun 2021,308.70,308.70,305.00,305.55,-0.24,-0.08
11 Jun 2021,307.00,307.01,303.00,305.79,0.94,0.31
10 Jun 2021,315.50,317.20,314.22,316.85,2.71,0.86
09 Jun 2021,316.00,316.75,313.68,314.14,-1.54,-0.49
08 Jun 2021,317.75,317.75,315.00,315.68,-0.97,-0.31
07 Jun 2021,316.90,319.00,316.00,316.65,0.49,0.15
04 Jun 2021,317.20,317.20,315.00,316.16,-0.09,-0.03
03 Jun 2021,318.01,318.80,313.10,316.25,-2.14,-0.67
02 Jun 2021,319.00,320.30,317.50,318.39,-1.51,-0.47
01 Jun 2021,315.00,320.95,314.10,319.90,5.57,1.77
31 May 2021,313.25,317.99,313.25,314.33,1.43,0.46
28 May 2021,312.75,313.09,311.00,312.90,1.23,0.39
27 May 2021,313.00,314.99,310.00,311.67,-0.87,-0.28
26 May 2021,310.99,317.00,310.99,312.54,3.05,0.99
25 May 2021,308.50,311.00,308.50,309.49,0.28,0.09
24 May 2021,311.92,311.92,305.00,309.21,0.41,0.13
21 May 2021,309.99,309.99,307.50,308.80,-0.32,-0.10
20 May 2021,309.00,310.49,307.02,309.12,0.55,0.18
19 May 2021,305.00,309.50,305.00,308.57,1.29,0.42
18 May 2021,306.04,307.99,303.50,307.28,1.50,0.49
17 May 2021,303.00,308.00,303.00,305.78,3.25,1.07
06 May 2021,302.00,304.99,300.03,302.53,0.61,0.20
05 May 2021,300.00,302.70,297.00,301.92,2.47,0.82
04 May 2021,298.49,300.00,296.01,299.45,2.73,0.92
03 May 2021,296.00,297.00,292.01,296.72,0.73,0.25
30 Apr 2021,299.90,299.90,295.00,295.99,-2.18,-0.73
29 Apr 2021,297.11,301.94,297.05,298.17,-3.53,-1.17
28 Apr 2021,300.00,304.35,300.00,301.70,1.78,0.59
27 Apr 2021,306.00,307.19,297.05,299.92,-6.29,-2.05
26 Apr 2021,298.90,307.50,293.00,306.21,6.62,2.21
23 Apr 2021,302.95,303.00,296.50,299.59,-2.21,-0.73
22 Apr 2021,304.00,308.00,300.75,301.80,3.66,1.23
21 Apr 2021,294.00,303.60,294.00,298.14,4.97,1.70
20 Apr 2021,294.70,297.45,291.12,293.17,1.70,0.58
19 Apr 2021,287.99,294.90,284.75,291.47,2.37,0.82
16 Apr 2021,287.95,290.00,286.17,289.10,2.13,0.74
15 Apr 2021,288.93,292.50,287.86,288.97,1.15,0.40
14 Apr 2021,288.00,289.50,285.00,287.82,0.07,0.02
13 Apr 2021,292.98,292.98,285.31,287.75,-3.76,-1.29
12 Apr 2021,297.50,297.50,290.99,291.51,-5.98,-2.01
09 Apr 2021,303.70,309.51,296.00,297.49,-9.44,-3.08
08 Apr 2021,304.50,308.99,302.25,306.93,5.09,1.69
07 Apr 2021,309.90,309.99,299.00,301.84,-7.14,-2.31
06 Apr 2021,304.00,310.00,304.00,308.98,3.55,1.16
05 Apr 2021,299.99,311.00,294.04,305.43,5.99,2.00
02 Apr 2021,300.99,310.00,295.41,299.44,1.40,0.47
01 Apr 2021,278.44,298.11,278.44,298.04,20.72,7.47
31 Mar 2021,277.80,279.00,273.51,277.32,4.18,1.53
30 Mar 2021,278.01,279.00,272.75,273.14,-5.20,-1.87
29 Mar 2021,283.75,284.95,276.00,278.34,-4.59,-1.62
26 Mar 2021,285.00,285.00,282.00,282.93,-0.84,-0.30
25 Mar 2021,287.95,290.00,283.05,283.77,-2.71,-0.95
24 Mar 2021,289.00,293.47,286.00,286.48,-3.86,-1.33
22 Mar 2021,285.00,292.49,285.00,290.34,4.19,1.46
19 Mar 2021,288.99,290.50,284.50,286.15,0.43,0.15
18 Mar 2021,293.00,293.50,284.53,285.72,-6.30,-2.16
17 Mar 2021,290.90,293.99,290.89,292.02,2.32,0.80
16 Mar 2021,288.65,290.01,285.55,289.70,1.39,0.48
15 Mar 2021,292.00,294.98,280.51,288.31,-1.61,-0.56
12 Mar 2021,290.79,295.00,289.00,289.92,-0.87,-0.30
11 Mar 2021,298.98,298.98,290.00,290.79,-4.55,-1.54
10 Mar 2021,300.50,300.50,294.80,295.34,-3.17,-1.06
09 Mar 2021,300.50,303.00,297.06,298.51,-3.14,-1.04
