date,open,high,low,close,change,volume
23 Jun 2021,69.69,70.80,69.40,70.40,0.96,1.38
22 Jun 2021,69.50,69.80,69.30,69.44,-0.03,-0.04
21 Jun 2021,70.00,70.00,69.00,69.47,-0.13,-0.19
18 Jun 2021,70.15,70.15,69.06,69.60,-0.55,-0.78
17 Jun 2021,70.99,71.00,70.01,70.15,-0.66,-0.93
16 Jun 2021,71.24,71.24,70.60,70.81,-0.03,-0.04
15 Jun 2021,71.71,72.01,70.60,70.84,-1.03,-1.43
14 Jun 2021,73.40,73.40,71.48,71.87,-0.16,-0.22
11 Jun 2021,71.50,72.38,70.75,72.03,1.22,1.72
10 Jun 2021,69.17,71.00,69.17,70.81,1.44,2.08
09 Jun 2021,68.83,69.50,68.50,69.37,0.54,0.78
08 Jun 2021,68.90,69.10,68.42,68.83,0.41,0.60
07 Jun 2021,72.00,72.90,72.00,72.42,0.43,0.60
04 Jun 2021,71.90,72.06,71.50,71.99,0.27,0.38
03 Jun 2021,71.60,72.00,71.54,71.72,0.18,0.25
02 Jun 2021,71.85,72.05,71.40,71.54,-0.12,-0.17
01 Jun 2021,71.20,71.88,71.00,71.66,0.44,0.62
31 May 2021,70.92,71.45,70.87,71.22,0.44,0.62
28 May 2021,70.40,70.96,70.20,70.78,0.15,0.21
27 May 2021,70.55,71.09,70.00,70.63,-0.18,-0.25
26 May 2021,70.51,71.00,70.40,70.81,0.64,0.91
25 May 2021,69.15,70.49,68.75,70.17,1.17,1.70
24 May 2021,68.35,69.15,68.15,69.00,0.81,1.19
21 May 2021,68.00,68.42,67.90,68.19,0.19,0.28
20 May 2021,68.00,68.10,67.90,68.00,0.03,0.04
19 May 2021,68.01,68.01,67.82,67.97,-0.15,-0.22
18 May 2021,68.20,68.25,67.78,68.12,-0.10,-0.15
17 May 2021,68.19,68.45,67.96,68.22,0.26,0.38
06 May 2021,67.75,68.20,67.60,67.96,0.27,0.40
05 May 2021,67.81,68.00,67.50,67.69,-0.23,-0.34
04 May 2021,67.05,68.00,67.05,67.92,0.67,1.00
03 May 2021,66.92,67.40,66.51,67.25,0.27,0.40
30 Apr 2021,67.60,67.60,66.70,66.98,-0.49,-0.73
29 Apr 2021,67.50,67.75,67.16,67.47,-0.11,-0.16
28 Apr 2021,67.52,67.89,67.11,67.58,0.06,0.09
27 Apr 2021,67.00,67.85,67.00,67.52,0.48,0.72
26 Apr 2021,65.85,67.44,65.26,67.04,1.07,1.62
23 Apr 2021,66.27,66.80,65.90,65.97,-0.57,-0.86
22 Apr 2021,66.61,67.00,66.45,66.54,-0.27,-0.40
21 Apr 2021,66.30,67.10,65.90,66.81,0.91,1.38
20 Apr 2021,66.35,66.50,65.72,65.90,0.65,1.00
19 Apr 2021,63.50,65.97,63.03,65.25,1.51,2.37
16 Apr 2021,63.40,63.85,63.36,63.74,0.37,0.58
15 Apr 2021,63.62,63.98,63.30,63.37,-0.45,-0.71
14 Apr 2021,63.90,64.10,63.70,63.82,-0.06,-0.09
13 Apr 2021,63.30,63.98,62.96,63.88,0.82,1.30
12 Apr 2021,62.10,63.25,62.10,63.06,0.86,1.38
09 Apr 2021,62.33,62.33,62.00,62.20,0.08,0.13
08 Apr 2021,62.25,62.35,62.05,62.12,0.17,0.27
07 Apr 2021,62.70,62.70,61.81,61.95,-0.36,-0.58
06 Apr 2021,62.20,62.45,62.01,62.31,0.09,0.14
05 Apr 2021,62.90,62.90,61.99,62.22,-0.25,-0.40
02 Apr 2021,62.69,62.70,62.03,62.47,-0.03,-0.05
01 Apr 2021,62.25,62.90,62.00,62.50,0.10,0.16
31 Mar 2021,62.51,62.94,62.25,62.40,-0.07,-0.11
30 Mar 2021,62.50,62.56,62.05,62.47,0.15,0.24
29 Mar 2021,62.51,62.95,62.10,62.32,-0.27,-0.43
26 Mar 2021,63.14,63.14,62.51,62.59,-0.44,-0.70
25 Mar 2021,63.05,63.34,62.95,63.03,-0.02,-0.03
24 Mar 2021,63.06,63.42,63.00,63.05,-0.37,-0.58
22 Mar 2021,62.40,63.58,62.00,63.42,0.86,1.37
19 Mar 2021,63.00,63.45,62.40,62.56,-0.45,-0.71
18 Mar 2021,67.50,67.85,66.80,67.01,-0.26,-0.39
17 Mar 2021,66.80,68.09,66.80,67.27,0.57,0.85
16 Mar 2021,65.30,66.99,64.91,66.70,1.48,2.27
15 Mar 2021,65.10,65.45,64.90,65.22,0.75,1.16
12 Mar 2021,64.01,64.74,63.75,64.47,0.32,0.50
11 Mar 2021,65.00,65.10,63.75,64.15,-0.76,-1.17
10 Mar 2021,65.20,65.65,64.65,64.91,-0.34,-0.52
09 Mar 2021,65.90,66.03,64.90,65.25,-0.57,-0.87
