date,open,high,low,close,change,volume
23 Jun 2021,284.06,294.99,283.00,291.37,6.12,2.15
22 Jun 2021,285.98,288.00,282.52,285.25,1.71,0.60
21 Jun 2021,278.00,290.99,277.00,283.54,7.54,2.73
18 Jun 2021,276.25,280.90,271.99,276.00,0.78,0.28
17 Jun 2021,281.00,282.80,274.00,275.22,-6.76,-2.40
16 Jun 2021,285.90,287.50,280.00,281.98,-1.74,-0.61
15 Jun 2021,288.50,291.50,282.50,283.72,-3.45,-1.20
14 Jun 2021,290.01,294.40,286.00,287.17,2.09,0.73
11 Jun 2021,290.00,292.80,284.00,285.08,-3.06,-1.06
10 Jun 2021,286.40,293.00,284.99,288.14,2.62,0.92
09 Jun 2021,282.70,287.49,277.60,285.52,4.62,1.64
08 Jun 2021,289.00,290.00,279.00,280.90,-8.77,-3.03
07 Jun 2021,293.00,300.00,288.00,289.67,0.96,0.33
04 Jun 2021,274.00,291.00,271.62,288.71,17.09,6.29
03 Jun 2021,270.87,276.50,270.52,271.62,1.11,0.41
02 Jun 2021,267.10,274.01,263.50,270.51,2.93,1.10
01 Jun 2021,274.98,278.90,266.99,267.58,-4.06,-1.49
31 May 2021,255.00,271.64,254.05,271.64,18.95,7.50
28 May 2021,252.50,255.20,251.05,252.69,-0.44,-0.17
27 May 2021,259.00,259.50,251.05,253.13,-5.28,-2.04
26 May 2021,258.00,263.50,257.55,258.41,2.19,0.85
25 May 2021,258.51,260.00,254.00,256.22,0.09,0.04
24 May 2021,254.00,260.00,251.70,256.13,5.62,2.24
21 May 2021,250.00,252.50,246.07,250.51,2.56,1.03
20 May 2021,251.90,254.00,247.00,247.95,-1.54,-0.62
19 May 2021,249.49,256.90,246.00,249.49,-0.64,-0.26
18 May 2021,254.49,254.49,246.05,250.13,-4.27,-1.68
17 May 2021,252.00,255.70,246.01,254.40,6.70,2.70
06 May 2021,248.82,250.00,243.05,247.70,0.33,0.13
05 May 2021,246.45,251.99,245.55,247.37,4.17,1.71
04 May 2021,242.50,245.90,241.00,243.20,3.02,1.26
03 May 2021,247.42,249.01,236.00,240.18,-5.67,-2.31
30 Apr 2021,258.88,258.88,244.00,245.85,-13.03,-5.03
29 Apr 2021,262.01,266.70,258.00,258.88,-6.45,-2.43
28 Apr 2021,257.97,271.00,255.00,265.33,7.36,2.85
27 Apr 2021,253.00,265.00,252.00,257.97,7.17,2.86
26 Apr 2021,249.01,255.80,243.05,250.80,0.66,0.26
23 Apr 2021,247.30,254.40,241.00,250.14,1.14,0.46
22 Apr 2021,258.00,260.90,242.00,249.00,-10.17,-3.92
21 Apr 2021,272.00,272.00,255.01,259.17,-12.18,-4.49
20 Apr 2021,260.00,274.60,260.00,271.35,14.97,5.84
19 Apr 2021,256.11,262.00,251.00,256.38,-6.64,-2.52
16 Apr 2021,263.50,268.00,262.51,263.02,1.27,0.49
15 Apr 2021,268.97,269.00,261.00,261.75,-6.29,-2.35
14 Apr 2021,269.00,275.99,266.00,268.04,9.52,3.68
13 Apr 2021,238.00,258.52,235.50,258.52,18.03,7.50
12 Apr 2021,247.99,248.00,238.00,240.49,-7.64,-3.08
09 Apr 2021,239.20,250.49,237.00,248.13,9.79,4.11
