date,open,high,low,close,change,volume
23 Jun 2021,0.00,8.01,8.01,8.01,0.00,0.00
21 Jun 2021,8.20,8.25,8.00,8.01,-0.24,-2.91
18 Jun 2021,8.25,8.25,8.25,8.25,-0.24,-2.83
17 Jun 2021,8.15,8.50,7.90,8.49,0.34,4.17
15 Jun 2021,8.25,8.25,8.15,8.15,-0.10,-1.21
14 Jun 2021,8.25,8.25,8.25,8.25,0.00,0.00
11 Jun 2021,8.00,8.46,8.00,8.25,0.23,2.87
10 Jun 2021,8.15,8.15,8.00,8.02,0.33,4.29
09 Jun 2021,8.20,8.20,7.50,7.69,-0.52,-6.33
08 Jun 2021,8.25,8.25,8.21,8.21,-0.03,-0.36
07 Jun 2021,8.00,8.25,8.00,8.24,0.25,3.13
04 Jun 2021,7.85,8.00,7.85,7.99,0.19,2.44
03 Jun 2021,7.75,7.85,7.74,7.80,0.07,0.91
02 Jun 2021,7.53,7.80,7.50,7.73,-0.09,-1.15
01 Jun 2021,7.80,8.10,7.80,7.82,0.02,0.26
31 May 2021,7.70,7.80,7.70,7.80,0.28,3.72
28 May 2021,7.52,7.52,7.51,7.52,-0.38,-4.81
26 May 2021,7.69,7.90,7.69,7.90,0.20,2.60
25 May 2021,7.70,8.29,7.51,7.70,0.10,1.32
24 May 2021,7.51,7.60,7.50,7.60,0.10,1.33
21 May 2021,7.51,7.51,7.41,7.50,0.00,0.00
20 May 2021,7.51,7.60,7.50,7.50,-0.05,-0.66
19 May 2021,7.70,7.97,7.32,7.55,-0.11,-1.44
18 May 2021,7.70,7.70,7.66,7.66,-0.09,-1.16
05 May 2021,7.75,7.75,7.75,7.75,0.04,0.52
03 May 2021,7.71,7.71,7.71,7.71,-0.39,-4.81
29 Apr 2021,8.10,8.10,8.10,8.10,0.00,0.00
28 Apr 2021,8.00,8.10,8.00,8.10,0.10,1.25
27 Apr 2021,8.00,8.00,8.00,8.00,-0.10,-1.23
26 Apr 2021,8.00,8.10,8.00,8.10,0.10,1.25
23 Apr 2021,8.00,8.00,8.00,8.00,0.00,0.00
22 Apr 2021,8.00,8.00,8.00,8.00,-0.08,-0.99
21 Apr 2021,8.05,8.09,8.05,8.08,-0.07,-0.86
20 Apr 2021,8.00,8.15,8.00,8.15,-0.05,-0.61
19 Apr 2021,8.20,8.20,8.20,8.20,0.20,2.50
16 Apr 2021,8.00,8.05,8.00,8.00,0.25,3.23
15 Apr 2021,7.75,8.02,7.75,7.75,-0.27,-3.37
13 Apr 2021,8.02,8.02,8.02,8.02,0.00,0.00
12 Apr 2021,8.00,8.02,8.00,8.02,0.00,0.00
09 Apr 2021,8.01,8.02,8.00,8.02,-0.03,-0.37
08 Apr 2021,8.15,8.15,8.00,8.05,-0.09,-1.11
07 Apr 2021,8.40,8.40,8.01,8.14,-0.25,-2.98
06 Apr 2021,8.40,8.40,8.39,8.39,-0.01,-0.12
05 Apr 2021,8.40,8.40,8.40,8.40,-0.35,-4.00
02 Apr 2021,8.45,8.75,8.45,8.75,0.00,0.00
01 Apr 2021,8.75,8.75,8.75,8.75,-0.03,-0.34
31 Mar 2021,9.00,9.48,8.78,8.78,0.25,2.93
30 Mar 2021,8.53,8.53,8.53,8.53,0.03,0.35
29 Mar 2021,8.50,8.55,8.45,8.50,-0.05,-0.58
26 Mar 2021,8.80,8.80,8.50,8.55,-0.15,-1.72
24 Mar 2021,8.70,8.70,8.70,8.70,-0.30,-3.33
22 Mar 2021,8.50,9.00,8.50,9.00,0.46,5.39
18 Mar 2021,9.39,9.40,8.54,8.54,-0.18,-2.06
17 Mar 2021,8.45,8.80,8.45,8.72,0.22,2.59
16 Mar 2021,8.21,8.50,8.20,8.50,0.45,5.59
15 Mar 2021,8.65,8.65,8.01,8.05,-0.60,-6.94
12 Mar 2021,8.75,8.75,8.65,8.65,-0.06,-0.69
11 Mar 2021,8.99,8.99,8.71,8.71,-0.99,-10.21
08 Mar 2021,8.84,9.70,8.80,9.70,0.31,3.30
05 Mar 2021,8.85,9.39,8.60,9.39,0.44,4.92
04 Mar 2021,9.68,9.68,8.95,8.95,-0.76,-7.83
02 Mar 2021,9.71,9.71,9.71,9.71,0.81,9.10
01 Mar 2021,8.81,9.00,8.80,8.90,-0.70,-7.29
25 Feb 2021,9.30,9.74,9.30,9.60,0.05,0.52
23 Feb 2021,8.47,9.85,8.47,9.55,0.24,2.58
22 Feb 2021,9.20,9.50,9.20,9.31,0.11,1.20
19 Feb 2021,9.10,9.20,9.10,9.20,0.20,2.22
18 Feb 2021,9.00,9.00,9.00,9.00,0.00,0.00
17 Feb 2021,9.05,9.05,8.80,9.00,-0.15,-1.64
16 Feb 2021,9.00,9.15,9.00,9.15,-0.09,-0.97
15 Feb 2021,9.25,9.25,9.20,9.24,0.24,2.67
12 Feb 2021,9.00,9.20,9.00,9.00,-0.10,-1.10
11 Feb 2021,9.10,9.10,9.10,9.10,0.10,1.11
10 Feb 2021,9.50,10.00,9.00,9.00,-0.10,-1.10
09 Feb 2021,9.60,9.60,9.10,9.10,0.08,0.89
08 Feb 2021,9.02,9.02,9.02,9.02,-0.58,-6.04
04 Feb 2021,9.50,9.60,9.30,9.60,0.20,2.13
03 Feb 2021,9.21,9.69,9.21,9.40,-0.36,-3.69
02 Feb 2021,9.80,9.80,9.71,9.76,0.45,4.83
01 Feb 2021,9.10,9.70,9.10,9.31,-0.63,-6.34
29 Jan 2021,9.15,10.10,9.15,9.94,0.84,9.23
28 Jan 2021,9.15,9.24,9.10,9.10,0.00,0.00
27 Jan 2021,9.10,9.10,9.10,9.10,-0.05,-0.55
26 Jan 2021,9.10,9.15,9.10,9.15,-0.05,-0.54
25 Jan 2021,9.00,9.24,9.00,9.20,0.35,3.95
22 Jan 2021,8.85,8.85,8.85,8.85,-0.10,-1.12
21 Jan 2021,9.00,9.00,8.95,8.95,-0.05,-0.56
20 Jan 2021,9.00,9.00,9.00,9.00,-0.05,-0.55
