date,open,high,low,close,change,volume
23 Jun 2021,130.60,131.00,128.65,129.85,-0.73,-0.56
22 Jun 2021,130.50,132.00,129.01,130.58,0.20,0.15
21 Jun 2021,130.95,131.94,128.90,130.38,0.35,0.27
18 Jun 2021,133.05,133.77,129.00,130.03,-3.64,-2.72
17 Jun 2021,135.50,135.69,133.50,133.67,-1.53,-1.13
16 Jun 2021,135.57,135.70,134.60,135.20,0.43,0.32
15 Jun 2021,135.85,135.85,134.00,134.77,-0.30,-0.22
14 Jun 2021,136.50,136.50,134.51,135.07,-0.03,-0.02
11 Jun 2021,135.05,136.50,134.25,135.10,0.59,0.44
10 Jun 2021,133.45,135.75,132.06,134.51,1.88,1.42
09 Jun 2021,134.44,134.44,132.01,132.63,-1.34,-1.00
08 Jun 2021,133.95,134.50,133.07,133.97,0.80,0.60
07 Jun 2021,134.00,135.50,132.17,133.17,-0.51,-0.38
04 Jun 2021,134.02,135.93,132.80,133.68,-0.37,-0.28
03 Jun 2021,135.83,136.00,132.57,134.05,-0.66,-0.49
02 Jun 2021,137.00,137.00,134.05,134.71,-2.05,-1.50
01 Jun 2021,135.96,137.75,135.50,136.76,0.84,0.62
31 May 2021,134.95,137.45,134.95,135.92,1.85,1.38
28 May 2021,131.01,135.19,131.01,134.07,2.28,1.73
27 May 2021,132.00,134.25,130.00,131.79,1.36,1.04
26 May 2021,128.99,131.00,128.01,130.43,1.52,1.18
25 May 2021,125.47,129.50,124.00,128.91,3.98,3.19
24 May 2021,124.50,126.00,124.00,124.93,1.04,0.84
21 May 2021,122.95,125.30,122.05,123.89,1.85,1.52
20 May 2021,124.50,125.75,121.20,122.04,-2.85,-2.28
19 May 2021,126.00,126.00,124.40,124.89,-1.33,-1.05
18 May 2021,126.95,127.44,125.01,126.22,-0.38,-0.30
17 May 2021,125.80,128.25,125.01,126.60,-0.47,-0.37
06 May 2021,127.47,127.80,125.70,127.07,0.58,0.46
05 May 2021,128.00,128.00,125.99,126.49,0.50,0.40
04 May 2021,127.97,129.00,125.00,127.74,1.90,1.51
03 May 2021,126.00,127.85,123.55,125.84,0.99,0.79
30 Apr 2021,124.55,126.50,122.11,124.85,0.80,0.64
29 Apr 2021,123.80,126.99,121.00,124.05,0.28,0.23
28 Apr 2021,124.60,126.30,123.25,123.77,-2.26,-1.79
27 Apr 2021,125.70,127.95,125.03,126.03,0.71,0.57
26 Apr 2021,122.50,129.20,121.02,125.32,3.27,2.68
23 Apr 2021,123.70,123.70,121.90,122.05,-0.72,-0.59
22 Apr 2021,120.05,127.49,120.05,122.77,2.67,2.22
21 Apr 2021,120.00,121.40,119.01,120.10,0.56,0.47
20 Apr 2021,119.00,120.99,117.52,119.54,2.10,1.79
19 Apr 2021,117.05,120.00,116.90,117.44,-1.09,-0.92
16 Apr 2021,118.68,119.25,118.00,118.53,0.54,0.46
15 Apr 2021,119.01,119.01,117.40,117.99,-0.81,-0.68
14 Apr 2021,117.94,119.30,117.94,118.80,1.10,0.93
13 Apr 2021,117.30,118.04,115.77,117.70,1.05,0.90
12 Apr 2021,118.70,118.70,116.00,116.65,-0.72,-0.61
09 Apr 2021,118.00,118.95,114.01,117.37,1.71,1.48
08 Apr 2021,114.87,117.40,112.11,115.66,2.06,1.81
07 Apr 2021,116.50,117.38,113.00,113.60,-3.23,-2.76
06 Apr 2021,114.85,117.57,114.55,116.83,1.88,1.64
05 Apr 2021,117.89,117.89,114.50,114.95,-2.46,-2.10
02 Apr 2021,117.40,118.00,116.05,117.41,0.60,0.51
01 Apr 2021,116.78,119.00,116.00,116.81,0.63,0.54
31 Mar 2021,118.80,120.40,115.00,116.18,-1.77,-1.50
30 Mar 2021,118.94,119.50,117.06,117.95,-0.08,-0.07
29 Mar 2021,120.00,120.00,117.00,118.03,-2.28,-1.90
26 Mar 2021,124.00,124.00,119.10,120.31,-3.12,-2.53
25 Mar 2021,124.00,125.00,123.00,123.43,-0.35,-0.28
24 Mar 2021,124.75,124.75,121.55,123.78,0.09,0.07
22 Mar 2021,123.34,124.80,122.33,123.69,0.34,0.28
19 Mar 2021,120.89,125.00,118.01,123.35,3.62,3.02
18 Mar 2021,121.40,122.80,119.00,119.73,-1.30,-1.07
17 Mar 2021,123.15,125.00,122.50,124.03,2.63,2.17
16 Mar 2021,120.00,122.00,119.19,121.40,1.64,1.37
15 Mar 2021,119.50,120.89,118.45,119.76,1.57,1.33
12 Mar 2021,116.51,119.00,115.02,118.19,2.70,2.34
11 Mar 2021,118.98,118.98,114.01,115.49,-2.35,-1.99
10 Mar 2021,120.00,120.00,117.40,117.84,-1.82,-1.52
09 Mar 2021,118.98,121.45,117.00,119.66,0.47,0.39
08 Mar 2021,122.89,122.89,117.95,119.19,-2.30,-1.89
05 Mar 2021,120.05,122.00,118.50,121.49,2.16,1.81
