date,open,high,low,close,change,volume
23 Jun 2021,95.01,95.50,93.82,94.20,-1.06,-1.11
22 Jun 2021,96.50,96.50,94.80,95.26,-1.27,-1.32
21 Jun 2021,97.15,97.30,95.78,96.53,-0.59,-0.61
18 Jun 2021,96.50,98.00,95.50,97.12,0.80,0.83
17 Jun 2021,98.40,99.50,96.00,96.32,-2.67,-2.70
16 Jun 2021,101.36,101.49,97.65,98.99,-1.37,-1.37
15 Jun 2021,99.00,101.50,96.51,100.36,2.01,2.04
14 Jun 2021,98.18,98.35,95.02,98.35,6.86,7.50
11 Jun 2021,92.40,93.00,91.05,91.49,-0.37,-0.40
10 Jun 2021,90.30,92.30,90.30,91.86,1.66,1.84
09 Jun 2021,91.50,91.85,90.00,90.20,-1.06,-1.16
08 Jun 2021,92.50,93.60,91.01,91.26,-1.65,-1.78
07 Jun 2021,94.40,94.40,92.76,92.91,-0.47,-0.50
04 Jun 2021,93.50,94.75,93.01,93.38,0.38,0.41
03 Jun 2021,92.00,93.99,91.11,93.00,1.50,1.64
02 Jun 2021,91.20,92.60,89.80,91.50,0.27,0.30
01 Jun 2021,91.00,93.00,89.65,91.23,1.17,1.30
31 May 2021,87.50,90.60,86.76,90.06,3.74,4.33
28 May 2021,86.09,87.00,85.11,86.32,0.23,0.27
27 May 2021,88.50,88.50,85.96,86.09,-1.86,-2.11
26 May 2021,87.99,89.45,87.30,87.95,1.29,1.49
25 May 2021,85.55,87.45,85.51,86.66,1.41,1.65
24 May 2021,86.23,86.90,84.10,85.25,0.02,0.02
21 May 2021,84.50,85.95,84.00,85.23,1.01,1.20
20 May 2021,85.01,86.05,83.87,84.22,-0.89,-1.05
19 May 2021,84.50,86.60,84.50,85.11,-0.75,-0.87
18 May 2021,86.50,88.00,85.48,85.86,-0.10,-0.12
17 May 2021,82.50,86.44,81.51,85.96,5.29,6.56
06 May 2021,82.00,82.00,80.00,80.67,-1.27,-1.55
05 May 2021,81.00,82.50,80.60,81.94,1.44,1.79
04 May 2021,79.98,81.00,79.70,80.50,1.45,1.83
03 May 2021,81.00,81.00,76.25,79.05,-0.56,-0.70
30 Apr 2021,83.50,83.50,79.00,79.61,-2.81,-3.41
29 Apr 2021,84.40,84.40,82.00,82.42,-1.08,-1.29
28 Apr 2021,84.56,85.30,83.30,83.50,-1.61,-1.89
27 Apr 2021,86.00,87.25,84.51,85.11,-0.61,-0.71
26 Apr 2021,84.54,87.90,82.60,85.72,0.96,1.13
23 Apr 2021,83.00,85.40,82.25,84.76,1.11,1.33
22 Apr 2021,86.00,86.50,83.12,83.65,-3.05,-3.52
21 Apr 2021,91.46,91.50,86.06,86.70,-4.22,-4.64
20 Apr 2021,93.00,93.48,89.60,90.92,-0.53,-0.58
19 Apr 2021,91.75,92.89,89.01,91.45,-0.58,-0.63
16 Apr 2021,92.40,92.75,91.70,92.03,0.21,0.23
15 Apr 2021,92.50,92.84,91.20,91.82,-0.06,-0.07
14 Apr 2021,90.89,93.30,90.80,91.88,1.53,1.69
13 Apr 2021,90.95,92.69,89.30,90.35,0.10,0.11
12 Apr 2021,92.00,92.05,89.40,90.25,-1.89,-2.05
09 Apr 2021,93.01,94.89,91.01,92.14,0.22,0.24
