date,open,high,low,close,change,volume
23 Jun 2021,"32,729.01","32,824.86","32,642.63","32,707.55",6.43,"618,988,613"
22 Jun 2021,"32,754.00","32,799.99","32,622.19","32,701.12",-21.92,"610,727,943"
21 Jun 2021,"32,897.61","32,969.66","32,706.23","32,723.04",-146.19,"839,152,587"
18 Jun 2021,"32,790.48","32,966.12","32,719.60","32,869.23",79.32,"750,559,177"
17 Jun 2021,"32,944.80","33,043.59","32,756.45","32,789.91",-153.14,"1,117,420,264"
16 Jun 2021,"33,051.77","33,181.26","32,903.05","32,943.05",-110.79,"936,650,049"
15 Jun 2021,"33,118.88","33,188.85","32,994.16","33,053.84",-49.38,"1,224,529,852"
14 Jun 2021,"32,750.01","33,157.89","32,715.62","33,103.22",387.60,"1,217,831,122"
11 Jun 2021,"32,666.14","32,842.42","32,657.40","32,715.62",58.22,"1,024,214,098"
10 Jun 2021,"32,399.90","32,672.04","32,397.26","32,657.40",260.14,"1,039,343,622"
09 Jun 2021,"32,645.08","32,744.27","32,370.49","32,397.26",-236.74,"1,355,158,743"
08 Jun 2021,"32,734.02","32,780.42","32,518.72","32,634.00",-98.15,"1,040,495,260"
07 Jun 2021,"32,599.61","32,864.81","32,588.88","32,732.15",143.27,"936,072,437"
04 Jun 2021,"32,520.72","32,725.33","32,485.97","32,588.88",102.38,"867,268,152"
03 Jun 2021,"32,431.82","32,618.48","32,423.43","32,486.50",63.07,"889,925,405"
02 Jun 2021,"32,448.00","32,495.42","32,316.07","32,423.43",-4.83,"1,046,389,013"
01 Jun 2021,"32,248.59","32,434.78","32,226.04","32,428.26",189.57,"1,391,742,991"
31 May 2021,"31,725.05","32,274.27","31,703.75","32,238.69",534.94,"1,412,144,015"
28 May 2021,"31,465.54","31,755.96","31,426.58","31,703.75",240.38,"959,841,854"
27 May 2021,"31,595.55","31,797.13","31,381.83","31,463.37",-119.29,"222,003,311"
26 May 2021,"31,268.25","31,601.11","31,248.84","31,582.66",333.82,"1,563,248,922"
25 May 2021,"31,215.41","31,308.64","31,132.67","31,248.84",49.47,"677,272,398"
24 May 2021,"31,099.51","31,302.64","31,068.60","31,199.37",130.77,"766,550,709"
21 May 2021,"30,785.58","31,088.49","30,784.15","31,068.60",284.45,"710,404,772"
20 May 2021,"30,794.00","30,881.99","30,743.81","30,784.15",-10.10,"784,022,250"
19 May 2021,"30,857.29","30,916.34","30,704.03","30,794.25",-80.76,"578,289,024"
18 May 2021,"30,771.33","30,901.28","30,681.26","30,875.01",133.05,"536,781,507"
17 May 2021,"30,563.86","30,776.55","30,475.48","30,741.96",266.48,"437,416,001"
06 May 2021,"30,326.41","30,519.45","30,251.84","30,475.48",216.19,"245,635,752"
05 May 2021,"30,111.56","30,390.45","30,072.12","30,259.29",187.17,"259,862,123"
04 May 2021,"29,930.72","30,129.23","29,924.80","30,072.12",136.48,"221,483,265"
03 May 2021,"30,001.45","30,048.87","29,719.17","29,935.64",-82.34,"238,438,585"
30 Apr 2021,"30,394.97","30,459.35","29,912.38","30,017.98",-354.49,"293,731,679"
29 Apr 2021,"30,512.28","30,545.03","30,333.86","30,372.47",-112.98,"280,674,383"
28 Apr 2021,"30,646.17","30,828.13","30,462.14","30,485.45",-149.81,"305,743,230"
27 Apr 2021,"30,849.73","30,985.80","30,531.45","30,635.26",-210.73,"366,793,075"
26 Apr 2021,"30,284.72","30,925.71","30,142.41","30,845.99",552.12,"409,051,956"
23 Apr 2021,"30,456.48","30,468.62","30,131.53","30,293.87",-174.75,"240,483,062"
22 Apr 2021,"30,726.82","30,790.05","30,446.87","30,468.62",-251.59,"328,898,722"
21 Apr 2021,"30,896.00","30,928.46","30,680.10","30,720.21",-143.16,"387,906,935"
20 Apr 2021,"30,548.45","30,941.52","30,530.86","30,863.37",332.51,"343,279,979"
19 Apr 2021,"30,675.20","30,722.28","30,380.95","30,530.86",-191.42,"363,039,593"
16 Apr 2021,"30,719.48","30,817.21","30,683.10","30,722.28",39.18,"173,516,529"
15 Apr 2021,"30,711.40","30,795.90","30,642.65","30,683.10",-24.66,"347,665,735"
14 Apr 2021,"30,571.15","30,735.22","30,566.05","30,707.76",141.71,"341,871,881"
13 Apr 2021,"30,502.65","30,642.22","30,397.92","30,566.05",65.83,"473,427,751"
12 Apr 2021,"30,701.90","30,729.19","30,430.94","30,500.22",-209.32,"503,519,595"
09 Apr 2021,"30,426.46","30,742.62","30,423.30","30,709.54",286.24,"687,074,068"
08 Apr 2021,"30,069.68","30,446.84","30,042.73","30,423.30",380.57,"383,096,991"
07 Apr 2021,"30,346.99","30,365.32","29,956.36","30,042.73",-249.31,"370,527,454"
06 Apr 2021,"29,778.99","30,359.76","29,769.50","30,292.04",522.54,"305,958,476"
05 Apr 2021,"30,301.37","30,347.33","29,683.00","29,769.50",-516.69,"302,774,066"
02 Apr 2021,"30,384.95","30,446.27","30,232.63","30,286.19",-35.88,"266,756,602"
01 Apr 2021,"30,518.18","30,661.19","30,278.58","30,322.07",-176.13,"313,482,011"
31 Mar 2021,"30,431.78","30,765.63","30,392.37","30,498.19",105.82,"443,896,337"
30 Mar 2021,"30,313.22","30,550.31","30,165.26","30,392.37",78.10,"339,102,672"
29 Mar 2021,"31,054.89","31,054.89","30,259.55","30,314.27",-740.62,"523,792,584"
26 Mar 2021,"31,176.49","31,205.22","31,018.32","31,054.89",-129.71,"529,067,671"
25 Mar 2021,"31,099.60","31,369.17","31,092.28","31,184.60",92.32,"470,381,650"
24 Mar 2021,"31,101.30","31,153.99","30,992.19","31,092.28",10.96,"409,669,878"
22 Mar 2021,"30,752.55","31,096.23","30,672.81","31,081.32",331.12,"440,965,423"
19 Mar 2021,"30,656.51","30,929.82","30,498.42","30,750.20",94.36,"484,633,842"
18 Mar 2021,"31,072.86","31,201.78","30,620.03","30,655.84",-402.31,"554,047,783"
17 Mar 2021,"30,730.62","31,100.51","30,663.31","31,058.15",394.84,"510,363,998"
16 Mar 2021,"30,662.98","30,735.53","30,514.16","30,663.31",15.74,"408,423,623"
15 Mar 2021,"30,087.10","30,696.07","30,013.05","30,647.57",634.52,"455,548,707"
12 Mar 2021,"29,396.45","30,103.53","29,372.61","30,013.05",640.44,"442,522,382"
11 Mar 2021,"30,036.51","30,094.25","29,346.63","29,372.61",-665.47,"406,076,880"
10 Mar 2021,"30,406.78","30,480.14","29,998.81","30,038.08",-344.44,"363,200,348"
09 Mar 2021,"30,958.05","31,002.48","30,262.27","30,382.52",-582.39,"492,285,221"
08 Mar 2021,"31,403.56","31,742.96","30,856.96","30,964.91",-437.11,"459,821,921"
05 Mar 2021,"31,150.39","31,492.29","31,078.09","31,402.02",268.12,"317,230,196"
04 Mar 2021,"31,503.92","31,665.08","31,031.65","31,133.89",-531.19,"441,416,886"
03 Mar 2021,"31,596.80","31,687.42","31,534.49","31,665.08",130.59,"403,685,363"
02 Mar 2021,"31,280.35","31,601.06","31,254.74","31,534.49",265.24,"399,162,889"
01 Mar 2021,"31,437.27","31,511.86","30,952.07","31,269.25",-166.90,"368,326,975"
26 Feb 2021,"31,654.12","31,761.60","31,368.61","31,436.15",-211.72,"479,973,638"
25 Feb 2021,"31,340.32","31,671.54","31,327.25","31,647.87",320.62,"468,941,739"
24 Feb 2021,"31,650.41","31,701.11","31,230.20","31,327.25",-298.94,"557,447,375"
23 Feb 2021,"31,722.16","31,800.90","31,597.31","31,626.19",-21.38,"718,191,025"
22 Feb 2021,"31,874.78","31,958.58","31,612.55","31,647.57",-203.61,"721,952,658"
19 Feb 2021,"31,748.75","31,904.30","31,749.43","31,851.18",91.36,"694,795,084"
18 Feb 2021,"32,049.85","32,104.67","31,745.72","31,759.82",-288.86,"577,837,595"
17 Feb 2021,"32,166.21","32,390.77","32,044.01","32,048.68",-93.15,"701,658,181"
16 Feb 2021,"31,898.51","32,155.42","31,891.80","32,141.83",250.03,"514,044,525"
15 Feb 2021,"31,695.01","31,959.00","31,552.69","31,891.80",339.11,"486,340,423"
12 Feb 2021,"31,703.25","31,819.14","31,517.21","31,552.69",-151.98,"442,547,019"
11 Feb 2021,"32,121.31","32,255.15","31,653.40","31,704.67",-410.70,"1,124,724,205"
10 Feb 2021,"32,186.99","32,234.98","31,949.20","32,115.37",-51.32,"1,011,825,950"
09 Feb 2021,"32,275.59","32,365.63","32,149.63","32,166.69",-80.25,"663,958,819"
08 Feb 2021,"32,393.94","32,478.42","32,185.62","32,246.94",-139.15,"428,332,082"
04 Feb 2021,"32,358.58","32,602.03","32,302.37","32,386.09",27.13,"440,244,554"
03 Feb 2021,"32,187.71","32,451.23","32,167.97","32,358.96",190.99,"616,200,447"
02 Feb 2021,"32,086.81","32,183.85","31,985.60","32,167.97",166.89,"467,989,986"
01 Feb 2021,"32,075.13","32,297.93","31,972.24","32,001.08",-60.46,"692,898,215"
29 Jan 2021,"31,923.73","32,260.89","31,914.12","32,061.53",147.41,"839,457,168"
28 Jan 2021,"32,072.33","32,174.57","31,887.70","31,914.12",-158.77,"843,983,643"
27 Jan 2021,"32,063.38","32,237.96","32,009.03","32,072.89",47.42,"610,915,766"
26 Jan 2021,"31,996.67","32,091.66","31,933.31","32,025.47",75.01,"603,234,345"
25 Jan 2021,"31,850.27","32,017.88","31,840.92","31,950.46",109.54,"470,018,957"
22 Jan 2021,"31,929.64","31,975.96","31,741.84","31,840.92",-72.94,"430,527,170"
21 Jan 2021,"31,723.52","32,087.84","31,722.41","31,913.85",191.44,"606,372,517"
20 Jan 2021,"31,811.34","31,812.58","31,641.03","31,722.41",-89.33,"476,573,388"
19 Jan 2021,"31,721.50","31,896.20","31,621.33","31,811.74",102.91,"491,756,674"
18 Jan 2021,"31,926.85","31,976.80","31,705.02","31,708.83",-205.76,"543,589,793"
15 Jan 2021,"32,068.77","32,111.68","31,879.00","31,914.59",-129.05,"531,011,703"
14 Jan 2021,"32,100.06","32,221.44","31,995.27","32,043.64",-20.54,"620,582,768"
13 Jan 2021,"32,099.24","32,265.79","32,046.23","32,064.18",5.07,"845,204,198"
12 Jan 2021,"31,895.63","32,098.03","31,839.24","32,059.11",219.87,"825,891,276"
11 Jan 2021,"31,916.32","32,187.80","31,798.26","31,839.24",-50.29,"588,003,325"
08 Jan 2021,"31,699.92","32,006.56","31,652.43","31,889.53",237.10,"696,414,831"
07 Jan 2021,"31,633.84","31,858.41","31,545.38","31,652.43",21.85,"641,411,673"
06 Jan 2021,"31,282.89","31,660.79","31,266.16","31,630.58",364.42,"664,516,672"
05 Jan 2021,"31,290.06","31,327.52","31,152.75","31,266.16",-15.86,"582,082,375"
04 Jan 2021,"31,178.95","31,540.98","31,169.49","31,282.02",112.53,"540,785,879"
01 Jan 2021,"30,790.22","31,455.60","30,779.70","31,169.49",389.79,"642,577,537"
31 Dec 2020,"30,792.39","30,845.66","30,694.60","30,779.70",45.81,"578,245,258"
30 Dec 2020,"30,442.90","30,777.53","30,424.10","30,733.89",309.79,"455,962,479"
29 Dec 2020,"30,609.23","30,724.84","30,385.82","30,424.10",-177.65,"502,981,305"
28 Dec 2020,"30,471.63","30,657.47","30,444.49","30,601.75",157.26,"463,381,581"
24 Dec 2020,"30,283.25","30,559.43","30,248.67","30,444.49",195.82,"570,558,163"
23 Dec 2020,"30,190.63","30,327.83","30,139.65","30,248.67",49.41,"378,909,606"
22 Dec 2020,"30,488.31","30,600.47","30,131.75","30,199.26",-292.60,"561,845,093"
21 Dec 2020,"30,760.66","30,791.75","30,463.53","30,491.86",-246.50,"516,440,882"
18 Dec 2020,"30,741.71","30,825.87","30,640.07","30,738.36",63.72,"482,533,331"
17 Dec 2020,"30,396.87","30,685.67","30,378.97","30,674.64",295.67,"497,516,465"
16 Dec 2020,"30,331.34","30,503.97","30,300.58","30,378.97",65.02,"433,004,929"
15 Dec 2020,"30,277.10","30,563.90","30,222.24","30,313.95",59.65,"702,121,165"
14 Dec 2020,"29,786.95","30,279.60","29,770.58","30,254.30",483.72,"629,331,166"
11 Dec 2020,"29,650.30","29,869.52","29,641.66","29,770.58",128.92,"557,605,174"
10 Dec 2020,"29,579.47","29,693.57","29,533.93","29,641.66",66.49,"472,350,360"
09 Dec 2020,"29,476.11","29,668.98","29,476.11","29,575.17",98.41,"438,131,487"
08 Dec 2020,"29,482.07","29,554.50","29,399.62","29,476.76",-5.72,"409,722,124"
07 Dec 2020,"29,559.47","29,587.40","29,422.46","29,482.48",-66.93,"380,468,421"
04 Dec 2020,"29,462.52","29,613.18","29,409.49","29,549.41",139.92,"427,883,630"
03 Dec 2020,"29,421.76","29,690.25","29,380.38","29,409.49",1.72,"420,187,234"
02 Dec 2020,"29,211.05","29,429.65","29,204.74","29,407.77",203.03,"476,848,692"
01 Dec 2020,"28,849.34","29,238.94","28,849.46","29,204.74",355.28,"489,117,747"
30 Nov 2020,"28,707.66","28,860.39","28,645.27","28,849.45",129.85,"388,523,044"
27 Nov 2020,"28,766.91","28,819.27","28,683.08","28,719.60",-76.69,"397,783,982"
26 Nov 2020,"28,475.73","28,862.09","28,445.74","28,796.29",350.55,"389,166,653"
25 Nov 2020,"28,073.11","28,475.50","28,058.88","28,445.74",386.86,"213,371,292"
24 Nov 2020,"27,949.97","28,156.26","27,930.15","28,058.88",126.83,"174,703,233"
23 Nov 2020,"28,264.36","28,273.86","27,726.00","27,932.05",-341.81,"195,428,730"
20 Nov 2020,"28,426.56","28,475.95","28,240.88","28,273.86",-157.66,"189,814,602"
19 Nov 2020,"28,390.09","28,511.63","28,346.74","28,431.51",40.94,"188,548,504"
18 Nov 2020,"28,489.06","28,494.33","28,281.97","28,390.57",-99.44,"145,876,999"
17 Nov 2020,"28,474.39","28,683.90","28,412.69","28,490.01",77.32,"150,331,863"
16 Nov 2020,"28,460.72","28,575.09","28,393.16","28,412.69",-44.09,"181,412,828"
13 Nov 2020,"28,445.16","28,514.37","28,266.76","28,456.78",8.57,"243,067,683"
12 Nov 2020,"28,868.94","28,864.16","28,386.68","28,448.21",-415.95,"328,283,642"
11 Nov 2020,"28,916.07","28,972.40","28,706.53","28,864.16",2.70,"244,264,813"
10 Nov 2020,"28,677.86","29,154.67","28,670.87","28,861.45",190.58,"355,976,126"
09 Nov 2020,"28,670.39","28,773.55","28,548.32","28,670.87",3.36,"276,788,465"
06 Nov 2020,"28,863.42","28,886.01","28,620.42","28,667.51",-181.12,"350,412,388"
05 Nov 2020,"28,381.18","28,866.92","28,366.00","28,848.63",482.63,"356,591,681"
04 Nov 2020,"28,443.46","28,718.53","28,323.24","28,366.00",-64.93,"427,805,275"
03 Nov 2020,"27,570.01","28,463.74","27,566.21","28,430.93",864.72,"383,927,726"
02 Nov 2020,"28,175.64","28,185.56","27,376.12","27,566.21",-619.35,"322,156,453"
29 Oct 2020,"28,960.52","28,976.13","27,743.31","28,185.56",-790.57,"541,190,803"
28 Oct 2020,"29,121.15","29,235.86","28,906.20","28,976.13",-137.33,"368,417,779"
27 Oct 2020,"29,439.70","29,477.12","29,090.61","29,113.46",-326.05,"481,018,352"
26 Oct 2020,"29,121.50","29,453.12","29,118.26","29,439.51",321.25,"487,115,967"
23 Oct 2020,"29,055.55","29,151.55","28,974.74","29,118.26",72.05,"354,417,658"
22 Oct 2020,"29,289.40","29,416.75","29,007.71","29,046.21",-247.13,"500,086,129"
21 Oct 2020,"28,930.53","29,383.41","28,930.00","29,293.34",363.34,"661,189,180"
20 Oct 2020,"28,581.45","28,997.55","28,567.79","28,930.00",362.21,"492,671,335"
19 Oct 2020,"28,480.74","28,648.06","28,437.03","28,567.79",96.00,"319,531,161"
16 Oct 2020,"28,479.81","28,522.12","28,272.08","28,471.79",14.54,"254,124,675"
15 Oct 2020,"28,532.53","28,685.07","28,403.44","28,457.25",-16.64,"324,754,950"
14 Oct 2020,"28,377.35","28,510.75","28,300.94","28,473.89",101.77,"232,789,852"
13 Oct 2020,"28,536.46","28,537.95","28,120.24","28,372.12",-139.27,"290,074,847"
12 Oct 2020,"28,875.40","29,026.18","28,463.85","28,511.39",-362.66,"376,397,242"
09 Oct 2020,"28,630.81","28,908.62","28,622.26","28,874.05",240.79,"358,811,786"
08 Oct 2020,"28,346.10","28,672.96","28,327.49","28,633.26",305.77,"476,730,392"
07 Oct 2020,"27,874.99","28,386.03","27,856.43","28,327.49",471.06,"431,140,618"
06 Oct 2020,"27,799.20","27,991.19","27,536.05","27,856.42",61.72,"400,966,915"
05 Oct 2020,"28,575.86","28,574.84","27,656.07","27,794.70",-780.14,"409,938,188"
02 Oct 2020,"28,993.05","29,077.55","28,483.41","28,574.84",-418.85,"348,576,710"
01 Oct 2020,"28,937.92","29,029.43","28,657.67","28,993.69",23.71,"371,722,175"
30 Sep 2020,"29,324.75","29,445.66","28,882.55","28,969.98",-325.26,"473,729,084"
29 Sep 2020,"29,015.70","29,436.93","28,822.03","29,295.24",281.61,"353,649,061"
28 Sep 2020,"29,637.17","29,673.60","28,955.22","29,013.63",-622.48,"407,187,099"
