date,open,high,low,close,change,volume
23 Jun 2021,43.20,43.44,43.14,43.32,0.08,0.19
22 Jun 2021,43.39,43.50,43.08,43.24,-0.05,-0.12
21 Jun 2021,43.12,43.55,42.90,43.29,0.19,0.44
18 Jun 2021,43.24,43.35,42.80,43.10,0.05,0.12
17 Jun 2021,43.48,43.55,42.95,43.05,-0.51,-1.17
16 Jun 2021,43.60,43.84,43.21,43.56,-0.02,-0.05
15 Jun 2021,43.85,44.15,43.00,43.58,-0.17,-0.39
14 Jun 2021,45.40,45.40,42.05,43.75,-0.77,-1.73
11 Jun 2021,44.80,45.27,44.25,44.52,-0.06,-0.13
10 Jun 2021,44.99,45.14,44.50,44.58,-0.24,-0.54
09 Jun 2021,47.50,47.59,43.80,44.82,-1.84,-3.94
08 Jun 2021,44.15,46.90,43.60,46.66,2.69,6.12
07 Jun 2021,46.00,46.10,43.27,43.97,0.20,0.46
04 Jun 2021,43.12,44.20,43.10,43.77,0.77,1.79
03 Jun 2021,43.30,43.55,42.57,43.00,0.43,1.01
02 Jun 2021,41.33,42.90,40.76,42.57,1.44,3.50
01 Jun 2021,40.72,41.80,40.71,41.13,0.43,1.06
31 May 2021,40.00,40.75,39.90,40.70,1.12,2.83
28 May 2021,39.30,39.99,39.01,39.58,0.34,0.87
27 May 2021,39.90,40.00,39.10,39.24,-0.68,-1.70
26 May 2021,39.63,40.25,39.38,39.92,0.54,1.37
25 May 2021,39.76,40.05,39.25,39.38,-0.41,-1.03
24 May 2021,39.84,40.24,39.32,39.79,0.15,0.38
21 May 2021,39.00,39.75,39.00,39.64,0.65,1.67
20 May 2021,39.39,39.44,38.80,38.99,-0.09,-0.23
19 May 2021,40.55,40.60,38.61,39.08,-1.19,-2.96
18 May 2021,40.13,41.45,39.95,40.27,0.06,0.15
17 May 2021,40.67,40.67,39.70,40.21,-0.34,-0.84
06 May 2021,40.10,40.75,39.68,40.55,1.35,3.44
05 May 2021,39.49,40.00,38.91,39.20,1.20,3.16
04 May 2021,38.50,38.93,37.85,38.00,-0.02,-0.05
03 May 2021,38.00,38.98,37.15,38.02,0.03,0.08
30 Apr 2021,38.96,39.00,37.41,37.99,-0.55,-1.43
29 Apr 2021,39.00,39.19,38.40,38.54,-1.01,-2.55
28 Apr 2021,40.20,41.10,39.35,39.55,0.57,1.46
27 Apr 2021,38.71,39.45,38.01,38.98,0.27,0.70
26 Apr 2021,37.50,39.85,37.50,38.71,0.43,1.12
23 Apr 2021,38.51,38.70,38.06,38.28,-0.32,-0.83
22 Apr 2021,39.50,39.50,38.50,38.60,-0.97,-2.45
21 Apr 2021,40.11,40.15,39.30,39.57,-0.44,-1.10
20 Apr 2021,39.51,40.29,39.51,40.01,0.69,1.75
19 Apr 2021,39.50,39.98,39.05,39.32,-0.54,-1.35
16 Apr 2021,40.00,40.09,39.77,39.86,0.03,0.08
15 Apr 2021,40.25,40.25,39.75,39.83,-0.29,-0.72
14 Apr 2021,40.40,40.95,40.06,40.12,-0.04,-0.10
13 Apr 2021,40.00,40.98,39.75,40.16,0.03,0.07
12 Apr 2021,40.61,40.75,39.82,40.13,-0.90,-2.19
09 Apr 2021,40.70,41.80,40.11,41.03,0.72,1.79
08 Apr 2021,40.00,40.50,39.80,40.31,0.01,0.02
07 Apr 2021,40.79,41.25,39.90,40.30,-0.16,-0.40
06 Apr 2021,39.74,40.70,39.70,40.46,1.24,3.16
05 Apr 2021,39.60,39.75,38.80,39.22,0.43,1.11
02 Apr 2021,39.26,40.39,38.65,38.79,-0.50,-1.27
01 Apr 2021,39.74,40.40,39.01,39.29,-0.45,-1.13
31 Mar 2021,40.60,41.14,39.51,39.74,-0.50,-1.24
