date,open,high,low,close,change,volume
23 Jun 2021,909.00,917.00,901.00,902.12,-7.85,-0.86
22 Jun 2021,917.90,918.89,908.00,909.97,-2.78,-0.30
21 Jun 2021,923.00,923.90,912.00,912.75,-12.30,-1.33
18 Jun 2021,918.50,933.00,915.85,925.05,11.82,1.29
17 Jun 2021,914.99,924.90,912.00,913.23,2.38,0.26
16 Jun 2021,914.00,916.99,909.00,910.85,-0.18,-0.02
15 Jun 2021,920.01,929.80,910.05,911.03,-7.75,-0.84
14 Jun 2021,919.99,923.00,913.50,918.78,7.18,0.79
11 Jun 2021,918.99,918.99,907.10,911.60,-3.29,-0.36
10 Jun 2021,913.00,918.50,912.21,914.89,0.61,0.07
09 Jun 2021,919.98,919.99,910.00,914.28,-1.85,-0.20
08 Jun 2021,914.02,919.00,912.52,916.13,1.14,0.12
07 Jun 2021,919.99,921.01,911.15,914.99,-0.98,-0.11
04 Jun 2021,921.99,921.99,912.00,915.97,-0.54,-0.06
03 Jun 2021,933.00,936.99,910.36,916.51,-18.31,-1.96
02 Jun 2021,941.00,941.00,915.30,934.82,-5.92,-0.63
01 Jun 2021,933.90,945.00,931.05,940.74,8.22,0.88
31 May 2021,915.32,939.00,915.00,932.52,17.20,1.88
28 May 2021,915.50,921.00,910.00,915.32,-1.95,-0.21
27 May 2021,907.05,925.00,906.00,917.27,11.46,1.27
26 May 2021,908.00,914.00,903.00,905.81,-1.24,-0.14
25 May 2021,914.00,920.00,905.55,907.05,-1.29,-0.14
24 May 2021,905.03,914.25,902.00,908.34,6.54,0.73
21 May 2021,900.00,905.90,893.02,901.80,6.38,0.71
20 May 2021,900.00,901.99,891.10,895.42,-3.96,-0.44
19 May 2021,900.00,909.00,891.00,899.38,-8.97,-0.99
18 May 2021,913.00,915.00,905.05,908.35,-5.54,-0.61
17 May 2021,920.00,920.00,906.00,913.89,35.48,4.04
06 May 2021,859.00,884.40,859.00,878.41,23.21,2.71
05 May 2021,848.00,857.00,848.00,855.20,8.08,0.95
04 May 2021,835.01,851.00,835.00,847.12,14.53,1.75
03 May 2021,838.15,842.00,824.01,832.59,-5.53,-0.66
30 Apr 2021,855.00,855.00,835.00,838.12,-7.64,-0.90
29 Apr 2021,855.00,859.90,845.00,845.76,-8.36,-0.98
28 Apr 2021,862.00,871.00,851.50,854.12,-6.05,-0.70
27 Apr 2021,866.00,872.90,857.00,860.17,-7.60,-0.88
26 Apr 2021,845.80,878.15,841.00,867.77,21.91,2.59
23 Apr 2021,842.41,849.00,835.50,845.86,0.48,0.06
22 Apr 2021,852.00,854.00,844.00,845.38,-7.52,-0.88
21 Apr 2021,869.99,869.99,850.60,852.90,-10.50,-1.22
20 Apr 2021,860.00,873.55,853.01,863.40,8.08,0.94
19 Apr 2021,850.01,862.80,840.10,855.32,-5.63,-0.65
16 Apr 2021,868.00,868.00,858.50,860.95,0.92,0.11
15 Apr 2021,870.00,870.00,858.95,860.03,-5.61,-0.65
14 Apr 2021,857.00,874.00,857.00,865.64,5.89,0.69
13 Apr 2021,855.81,863.90,854.00,859.75,-0.30,-0.03
12 Apr 2021,854.99,872.00,854.98,860.05,1.91,0.22
09 Apr 2021,856.98,863.00,854.50,858.14,3.51,0.41
08 Apr 2021,850.00,856.00,843.00,854.63,16.58,1.98
07 Apr 2021,829.70,855.00,822.00,838.05,12.99,1.57
06 Apr 2021,806.00,833.01,805.80,825.06,21.96,2.73
05 Apr 2021,818.00,824.00,801.02,803.10,-13.55,-1.66
02 Apr 2021,814.98,819.00,805.01,816.65,5.74,0.71
01 Apr 2021,821.00,821.00,810.00,810.91,-6.68,-0.82
31 Mar 2021,825.00,828.99,811.03,817.59,-0.23,-0.03
30 Mar 2021,820.00,830.00,814.00,817.82,0.33,0.04
29 Mar 2021,837.50,837.50,808.88,817.49,-19.26,-2.30
26 Mar 2021,845.00,849.90,832.01,836.75,-7.32,-0.87
25 Mar 2021,839.95,855.15,839.95,844.07,5.63,0.67
24 Mar 2021,842.00,851.49,836.50,838.44,-0.56,-0.07
22 Mar 2021,837.55,844.00,827.02,839.00,-0.52,-0.06
19 Mar 2021,840.00,849.78,820.00,839.52,-1.22,-0.15
18 Mar 2021,849.90,854.74,837.01,840.74,-8.47,-1.00
17 Mar 2021,850.00,855.50,847.11,849.21,7.35,0.87
16 Mar 2021,845.00,849.00,837.13,841.86,-1.98,-0.23
15 Mar 2021,840.00,849.00,823.00,843.84,19.20,2.33
12 Mar 2021,804.99,836.00,799.42,824.64,25.22,3.15
11 Mar 2021,817.00,819.00,792.01,799.42,-13.43,-1.65
10 Mar 2021,827.25,835.00,811.50,812.85,-14.19,-1.72
09 Mar 2021,838.75,838.75,810.01,827.04,-14.35,-1.71
08 Mar 2021,887.00,887.00,830.21,841.39,-28.33,-3.26
05 Mar 2021,860.00,879.50,852.01,869.72,11.76,1.37
