date,open,high,low,close,change,volume
23 Jun 2021,159.74,159.75,157.50,157.98,-0.94,-0.59
22 Jun 2021,160.49,160.49,158.80,158.92,-0.67,-0.42
21 Jun 2021,161.99,161.99,159.40,159.59,-2.00,-1.24
18 Jun 2021,163.50,164.00,160.65,161.59,-1.32,-0.81
17 Jun 2021,164.00,164.99,162.50,162.91,-0.65,-0.40
16 Jun 2021,165.25,165.49,163.10,163.56,-1.05,-0.64
15 Jun 2021,166.50,166.89,163.11,164.61,-1.40,-0.84
14 Jun 2021,166.50,166.50,165.25,166.01,1.05,0.64
11 Jun 2021,164.92,166.68,164.76,164.96,-0.64,-0.39
10 Jun 2021,166.39,166.50,164.70,165.60,0.32,0.19
09 Jun 2021,167.50,167.50,164.90,165.28,-0.99,-0.60
08 Jun 2021,164.90,168.50,164.50,166.27,1.26,0.76
07 Jun 2021,166.00,165.64,164.60,165.01,-0.42,-0.25
04 Jun 2021,165.90,165.90,164.51,165.43,0.25,0.15
03 Jun 2021,167.49,167.49,164.90,165.18,-1.03,-0.62
02 Jun 2021,167.00,167.50,165.80,166.21,-0.56,-0.34
01 Jun 2021,167.00,167.70,166.00,166.77,0.70,0.42
31 May 2021,164.45,167.19,164.45,166.07,2.19,1.34
28 May 2021,164.50,165.40,163.39,163.88,-0.51,-0.31
27 May 2021,166.00,168.99,162.00,164.39,-1.40,-0.84
26 May 2021,163.50,167.00,163.11,165.79,2.95,1.81
25 May 2021,162.94,163.15,161.80,162.84,0.58,0.36
24 May 2021,162.93,163.15,162.13,162.26,0.03,0.02
21 May 2021,162.49,162.70,161.10,162.23,0.74,0.46
20 May 2021,163.02,163.96,161.11,161.49,-1.79,-1.10
19 May 2021,165.99,165.99,163.00,163.28,-2.12,-1.28
18 May 2021,167.89,167.89,164.50,165.40,-1.41,-0.85
17 May 2021,164.98,167.90,163.60,166.81,3.29,2.01
06 May 2021,162.31,164.97,162.31,163.52,0.33,0.20
05 May 2021,162.75,163.99,161.37,163.19,1.82,1.13
04 May 2021,164.59,166.55,164.00,165.87,2.43,1.49
03 May 2021,163.99,164.44,161.01,163.44,1.22,0.75
30 Apr 2021,164.99,165.00,161.00,162.22,-1.40,-0.86
29 Apr 2021,164.34,165.49,163.40,163.62,-1.00,-0.61
28 Apr 2021,166.81,168.50,163.95,164.62,-2.40,-1.44
27 Apr 2021,169.70,171.50,166.50,167.02,-2.25,-1.33
26 Apr 2021,168.80,170.97,168.50,169.27,0.31,0.18
23 Apr 2021,170.95,170.95,168.06,168.96,-1.00,-0.59
22 Apr 2021,172.50,172.98,169.50,169.96,-2.99,-1.73
21 Apr 2021,173.34,173.77,172.22,172.95,0.91,0.53
20 Apr 2021,172.56,175.00,171.52,172.04,-0.74,-0.43
19 Apr 2021,174.24,174.24,172.11,172.78,-0.95,-0.55
16 Apr 2021,174.89,174.90,173.02,173.73,0.10,0.06
15 Apr 2021,172.65,175.85,172.65,173.63,-0.02,-0.01
14 Apr 2021,175.95,175.95,172.51,173.65,-1.21,-0.69
13 Apr 2021,174.60,175.80,172.60,174.86,0.25,0.14
12 Apr 2021,173.40,175.00,172.10,174.61,1.93,1.12
09 Apr 2021,173.50,173.50,170.55,172.68,-0.28,-0.16
08 Apr 2021,173.00,173.50,171.10,172.96,1.55,0.90
07 Apr 2021,171.00,174.00,169.15,171.41,0.52,0.30
06 Apr 2021,169.31,172.00,167.20,170.89,1.58,0.93
05 Apr 2021,172.00,172.45,168.90,169.31,-1.64,-0.96
02 Apr 2021,173.88,173.88,170.40,170.95,-1.19,-0.69
01 Apr 2021,173.50,173.50,170.11,172.14,-0.01,-0.01
31 Mar 2021,173.00,174.44,171.00,172.15,-0.86,-0.50
30 Mar 2021,168.05,174.00,168.05,173.01,5.90,3.53
29 Mar 2021,173.88,173.95,164.00,167.11,-4.86,-2.83
26 Mar 2021,173.00,173.00,171.00,171.97,-0.69,-0.40
25 Mar 2021,172.50,173.00,171.60,172.66,1.28,0.75
24 Mar 2021,171.95,172.00,170.02,171.38,0.69,0.40
22 Mar 2021,172.00,172.00,170.30,170.69,-1.13,-0.66
19 Mar 2021,173.90,173.90,170.71,171.82,-1.16,-0.67
18 Mar 2021,175.50,175.50,172.00,172.98,-1.36,-0.78
17 Mar 2021,172.10,175.89,172.01,174.34,2.36,1.37
16 Mar 2021,172.01,172.01,170.51,171.98,-0.03,-0.02
15 Mar 2021,174.98,174.98,170.00,172.01,-0.49,-0.28
12 Mar 2021,175.00,178.80,168.00,172.50,1.52,0.89
11 Mar 2021,186.80,188.00,185.50,185.98,-0.25,-0.13
10 Mar 2021,186.90,187.10,185.10,186.23,0.68,0.37
09 Mar 2021,185.00,187.25,184.44,185.55,0.86,0.47
08 Mar 2021,188.00,189.88,184.04,184.69,-1.71,-0.92
05 Mar 2021,184.99,187.90,183.55,186.40,2.80,1.53
04 Mar 2021,181.81,185.89,181.81,183.60,-1.89,-1.02
03 Mar 2021,183.07,185.88,183.00,185.49,2.42,1.32
02 Mar 2021,183.29,183.90,182.00,183.07,0.95,0.52
01 Mar 2021,183.49,184.00,180.75,182.12,-0.98,-0.54
26 Feb 2021,184.95,186.75,181.51,183.10,-0.87,-0.47
25 Feb 2021,185.20,186.51,183.41,183.97,-1.01,-0.55
24 Feb 2021,183.50,185.30,182.50,184.98,1.42,0.77
23 Feb 2021,183.99,184.98,182.00,183.56,0.33,0.18
22 Feb 2021,184.47,186.45,181.50,183.23,-1.68,-0.91
19 Feb 2021,186.00,186.95,181.15,184.91,-0.17,-0.09
18 Feb 2021,190.50,190.50,184.81,185.08,-4.27,-2.26
17 Feb 2021,190.00,192.90,189.02,189.35,-0.72,-0.38
16 Feb 2021,186.05,191.00,184.51,190.07,4.82,2.60
15 Feb 2021,187.50,188.49,184.51,185.25,0.76,0.41
12 Feb 2021,187.97,189.40,182.98,184.49,-3.11,-1.66
11 Feb 2021,190.75,190.80,186.60,187.60,-2.38,-1.25
10 Feb 2021,190.05,192.49,189.01,189.98,-0.01,-0.01
09 Feb 2021,192.94,194.88,189.11,189.99,-2.50,-1.30
08 Feb 2021,192.00,194.97,192.00,192.49,-0.74,-0.38
04 Feb 2021,194.27,197.60,192.60,193.23,-1.68,-0.86
03 Feb 2021,195.90,196.50,194.00,194.91,0.61,0.31
02 Feb 2021,192.00,194.99,190.26,194.30,2.83,1.48
01 Feb 2021,194.00,194.00,189.81,191.47,-1.14,-0.59
29 Jan 2021,195.11,196.75,192.01,192.61,-2.50,-1.28
28 Jan 2021,198.80,199.00,194.10,195.11,-3.04,-1.53
27 Jan 2021,196.51,198.90,196.21,198.15,1.19,0.60
26 Jan 2021,194.05,197.99,194.03,196.96,1.30,0.66
25 Jan 2021,193.08,197.50,193.08,195.66,0.74,0.38
22 Jan 2021,196.70,196.70,192.26,194.92,0.22,0.11
21 Jan 2021,194.90,195.99,193.51,194.70,1.29,0.67
20 Jan 2021,195.30,195.30,192.00,193.41,-2.60,-1.33
19 Jan 2021,195.90,196.99,193.54,196.01,0.11,0.06
18 Jan 2021,199.89,199.89,195.50,195.90,-1.34,-0.68
15 Jan 2021,200.00,200.24,196.99,197.24,-2.35,-1.18
14 Jan 2021,200.00,200.00,198.00,199.59,0.33,0.17
13 Jan 2021,199.00,200.25,198.00,199.26,1.89,0.96
12 Jan 2021,195.55,198.75,195.55,197.37,1.17,0.60
11 Jan 2021,199.00,199.99,195.07,196.20,-1.19,-0.60
08 Jan 2021,194.98,202.40,193.00,197.39,3.95,2.04
07 Jan 2021,194.00,197.29,192.65,193.44,-0.69,-0.36
06 Jan 2021,194.95,196.00,192.05,194.13,0.19,0.10
05 Jan 2021,192.50,195.00,190.10,193.94,1.64,0.85
