date,open,high,low,close,change,volume
23 Jun 2021,47.75,48.13,47.00,47.18,-0.59,-1.24
22 Jun 2021,48.31,48.80,47.63,47.77,-0.54,-1.12
21 Jun 2021,48.90,49.19,48.20,48.31,-0.52,-1.06
18 Jun 2021,48.60,49.60,48.11,48.83,0.59,1.22
17 Jun 2021,48.35,49.23,47.91,48.24,-0.15,-0.31
16 Jun 2021,49.50,49.75,48.20,48.39,-0.86,-1.75
15 Jun 2021,49.48,50.90,48.80,49.25,0.27,0.55
14 Jun 2021,48.30,49.35,46.92,48.98,2.15,4.59
11 Jun 2021,47.34,47.39,46.50,46.83,-0.23,-0.49
10 Jun 2021,47.20,47.39,46.81,47.06,-0.01,-0.02
09 Jun 2021,47.55,47.98,46.95,47.07,-0.29,-0.61
08 Jun 2021,47.20,47.95,46.81,47.36,0.39,0.83
07 Jun 2021,46.99,47.40,46.40,46.97,0.52,1.12
04 Jun 2021,46.95,46.95,46.12,46.45,0.00,0.00
03 Jun 2021,46.31,47.50,46.20,46.45,0.13,0.28
02 Jun 2021,46.71,47.00,46.01,46.32,-0.40,-0.86
01 Jun 2021,47.49,47.55,46.61,46.72,-0.45,-0.95
31 May 2021,45.77,48.40,45.49,47.17,1.94,4.29
28 May 2021,45.17,45.55,45.00,45.23,0.05,0.11
27 May 2021,45.40,45.74,44.85,45.18,0.10,0.22
26 May 2021,46.00,46.34,44.97,45.08,-0.71,-1.55
25 May 2021,45.80,46.35,45.70,45.79,0.19,0.42
24 May 2021,44.34,46.20,44.01,45.60,1.81,4.13
21 May 2021,43.79,44.39,43.70,43.79,0.00,0.00
20 May 2021,44.10,44.29,43.70,43.79,-0.16,-0.36
19 May 2021,44.00,44.30,43.81,43.95,-0.54,-1.21
18 May 2021,44.80,45.64,44.35,44.49,-0.27,-0.60
17 May 2021,43.20,45.07,43.05,44.76,2.12,4.97
06 May 2021,42.22,42.85,42.11,42.64,0.42,0.99
05 May 2021,42.45,42.60,41.91,42.22,0.21,0.50
04 May 2021,41.82,42.38,41.52,42.01,0.23,0.55
03 May 2021,41.02,42.09,40.82,41.78,0.10,0.24
30 Apr 2021,42.41,42.70,41.50,41.68,-0.66,-1.56
29 Apr 2021,42.62,43.00,42.25,42.34,-0.28,-0.66
28 Apr 2021,42.97,43.59,42.40,42.62,-0.25,-0.58
27 Apr 2021,44.65,44.65,42.40,42.87,-1.37,-3.10
26 Apr 2021,42.92,44.79,42.30,44.24,0.92,2.12
23 Apr 2021,43.20,43.88,42.86,43.32,-0.17,-0.39
22 Apr 2021,45.00,45.00,43.35,43.49,-1.52,-3.38
21 Apr 2021,46.50,46.55,44.90,45.01,-1.20,-2.60
20 Apr 2021,46.55,46.89,45.97,46.21,0.18,0.39
19 Apr 2021,45.36,46.60,44.75,46.03,-0.03,-0.07
16 Apr 2021,46.70,46.80,46.00,46.06,-0.30,-0.65
15 Apr 2021,47.29,47.29,46.20,46.36,-0.61,-1.30
14 Apr 2021,46.51,47.30,46.20,46.97,0.43,0.92
13 Apr 2021,46.50,47.02,46.22,46.54,-0.38,-0.81
12 Apr 2021,47.00,47.44,46.35,46.92,-0.05,-0.11
09 Apr 2021,45.80,47.19,45.52,46.97,1.29,2.82
08 Apr 2021,44.62,45.99,44.60,45.68,1.14,2.56
07 Apr 2021,45.30,45.68,44.37,44.54,-0.41,-0.91
06 Apr 2021,43.50,45.15,43.35,44.95,1.67,3.86
05 Apr 2021,45.01,45.15,43.20,43.28,-1.43,-3.20
02 Apr 2021,44.01,45.25,43.38,44.71,0.70,1.59
01 Apr 2021,44.75,45.00,43.90,44.01,-0.79,-1.76
31 Mar 2021,45.39,45.75,44.40,44.80,0.48,1.08
30 Mar 2021,44.00,44.99,43.80,44.32,0.08,0.18
29 Mar 2021,46.05,46.39,44.00,44.24,-1.70,-3.70
26 Mar 2021,46.55,46.70,45.81,45.94,-0.78,-1.67
25 Mar 2021,46.74,47.25,46.55,46.72,0.20,0.43
24 Mar 2021,45.56,46.75,45.55,46.52,0.96,2.11
22 Mar 2021,45.90,46.05,45.44,45.56,-0.34,-0.74
19 Mar 2021,44.85,46.25,44.70,45.90,0.80,1.77
18 Mar 2021,46.20,46.35,44.61,45.10,-0.93,-2.02
17 Mar 2021,46.80,47.15,45.85,46.03,0.02,0.04
16 Mar 2021,47.25,47.30,45.62,46.01,-1.08,-2.29
15 Mar 2021,45.50,47.85,44.75,47.09,2.41,5.39
12 Mar 2021,42.50,45.19,42.50,44.68,2.54,6.03
11 Mar 2021,42.40,43.65,41.75,42.14,-0.18,-0.43
10 Mar 2021,43.12,43.67,42.00,42.32,-0.79,-1.83
09 Mar 2021,44.25,44.58,41.50,43.11,-1.13,-2.55
08 Mar 2021,47.10,47.18,44.00,44.24,-1.93,-4.18
05 Mar 2021,45.99,46.55,45.29,46.17,0.43,0.94
04 Mar 2021,45.10,46.72,45.01,45.74,-1.73,-3.64
03 Mar 2021,46.99,47.60,46.80,47.47,0.70,1.50
02 Mar 2021,46.91,47.43,46.51,46.77,-0.22,-0.47
01 Mar 2021,47.01,47.15,45.80,46.99,0.29,0.62
26 Feb 2021,47.29,47.74,46.50,46.70,-0.40,-0.85
25 Feb 2021,46.50,47.44,45.75,47.10,1.08,2.35
24 Feb 2021,46.95,46.95,45.25,46.02,-0.70,-1.50
23 Feb 2021,47.00,47.68,46.60,46.72,0.09,0.19
22 Feb 2021,47.45,47.70,46.45,46.63,-0.42,-0.89
19 Feb 2021,47.80,48.28,46.67,47.05,-0.59,-1.24
18 Feb 2021,48.40,48.47,47.26,47.64,-0.56,-1.16
17 Feb 2021,49.00,49.30,47.99,48.20,-0.03,-0.06
16 Feb 2021,47.90,48.84,47.61,48.23,1.13,2.40
15 Feb 2021,45.74,47.64,45.49,47.10,1.89,4.18
12 Feb 2021,44.90,46.09,44.60,45.21,0.36,0.80
11 Feb 2021,45.40,47.47,44.00,44.85,-0.64,-1.41
10 Feb 2021,44.17,46.24,44.01,45.49,1.20,2.71
09 Feb 2021,44.70,45.25,44.19,44.29,-0.33,-0.74
08 Feb 2021,45.25,45.30,44.50,44.62,-0.35,-0.78
04 Feb 2021,46.40,46.56,44.02,44.97,-1.20,-2.60
