date,open,high,low,close,change,volume
23 Jun 2021,"1,550.10","1,558.87","1,541.01","1,549.25",-1.25,-0.08
22 Jun 2021,"1,531.99","1,559.00","1,522.00","1,550.50",32.72,2.16
21 Jun 2021,"1,544.96","1,544.97","1,514.00","1,517.78",-15.09,-0.98
18 Jun 2021,"1,537.99","1,539.99","1,530.00","1,532.87",-4.55,-0.30
17 Jun 2021,"1,544.00","1,558.77","1,532.25","1,537.42",-2.29,-0.15
16 Jun 2021,"1,549.98","1,549.98","1,535.10","1,539.71",-5.29,-0.34
15 Jun 2021,"1,551.10","1,558.89","1,544.00","1,545.00",-10.07,-0.65
14 Jun 2021,"1,577.25","1,577.25","1,550.00","1,555.07",5.02,0.32
11 Jun 2021,"1,577.00","1,577.00","1,550.00","1,550.05",-9.51,-0.61
10 Jun 2021,"1,558.99","1,565.00","1,553.01","1,559.56",4.48,0.29
09 Jun 2021,"1,568.00","1,570.00","1,550.00","1,555.08",-10.91,-0.70
08 Jun 2021,"1,569.90","1,571.80","1,551.55","1,565.99",-4.99,-0.32
07 Jun 2021,"1,533.00","1,599.00","1,533.00","1,570.98",12.07,0.77
04 Jun 2021,"1,548.00","1,565.00","1,532.80","1,558.91",18.59,1.21
03 Jun 2021,"1,550.00","1,556.75","1,533.52","1,540.32",-8.49,-0.55
02 Jun 2021,"1,554.00","1,570.00","1,540.00","1,548.81",-16.80,-1.07
01 Jun 2021,"1,582.82","1,582.82","1,552.00","1,565.61",3.78,0.24
31 May 2021,"1,550.40","1,578.80","1,533.00","1,561.83",9.05,0.58
28 May 2021,"1,529.10","1,563.99","1,529.10","1,552.78",18.45,1.20
27 May 2021,"1,561.88","1,569.99","1,505.00","1,534.33",-17.83,-1.15
26 May 2021,"1,561.10","1,580.00","1,545.50","1,552.16",-5.18,-0.33
25 May 2021,"1,594.97","1,595.00","1,539.00","1,557.34",-24.82,-1.57
24 May 2021,"1,599.98","1,602.00","1,580.00","1,582.16",-12.84,-0.81
21 May 2021,"1,589.99","1,600.00","1,578.54","1,595.00",12.95,0.82
20 May 2021,"1,597.89","1,597.89","1,578.04","1,582.05",-18.26,-1.14
19 May 2021,"1,584.90","1,608.00","1,540.10","1,600.31",25.38,1.61
18 May 2021,"1,531.10","1,579.96","1,530.00","1,574.93",49.31,3.23
17 May 2021,"1,501.00","1,538.00","1,501.00","1,525.62",22.24,1.48
06 May 2021,"1,520.00","1,520.00","1,495.05","1,503.38",-16.38,-1.08
05 May 2021,"1,521.35","1,533.00","1,502.33","1,519.76",-0.28,-0.02
04 May 2021,"1,565.90","1,565.90","1,512.05","1,520.04",-4.54,-0.30
03 May 2021,"1,559.00","1,559.00","1,515.00","1,524.58",-1.09,-0.07
30 Apr 2021,"1,557.98","1,557.98","1,515.01","1,525.67",-3.46,-0.23
