date,open,high,low,close,change,volume
23 Jun 2021,114.78,114.78,113.00,113.20,-0.76,-0.67
22 Jun 2021,113.25,114.00,113.00,113.96,0.22,0.19
21 Jun 2021,113.01,114.00,112.98,113.74,0.76,0.67
18 Jun 2021,113.70,113.70,112.95,112.98,-0.02,-0.02
17 Jun 2021,113.60,113.60,112.51,113.00,-0.11,-0.10
16 Jun 2021,114.00,114.00,112.06,113.11,-0.49,-0.43
15 Jun 2021,113.50,114.40,112.80,113.60,-0.37,-0.32
14 Jun 2021,113.20,114.40,113.00,113.97,1.05,0.93
11 Jun 2021,112.72,113.82,112.26,112.92,0.20,0.18
10 Jun 2021,112.00,112.75,111.50,112.72,0.74,0.66
09 Jun 2021,113.00,113.49,111.90,111.98,-1.02,-0.90
08 Jun 2021,112.50,113.88,112.50,113.00,0.03,0.03
07 Jun 2021,114.00,114.00,112.00,112.97,-0.86,-0.76
04 Jun 2021,114.03,115.50,113.00,113.83,-1.07,-0.93
03 Jun 2021,113.00,117.00,111.10,114.90,2.84,2.53
02 Jun 2021,113.90,113.90,112.00,112.06,-0.79,-0.70
01 Jun 2021,115.49,116.00,112.00,112.85,-1.52,-1.33
31 May 2021,110.02,114.88,110.02,114.37,2.44,2.18
28 May 2021,112.98,112.98,111.50,111.93,0.03,0.03
27 May 2021,112.97,116.80,111.50,111.90,-0.01,-0.01
26 May 2021,110.23,112.24,110.23,111.91,0.97,0.87
25 May 2021,110.33,111.00,109.00,110.94,1.98,1.82
24 May 2021,110.89,110.99,108.50,108.96,-0.68,-0.62
21 May 2021,108.01,110.00,107.71,109.64,1.63,1.51
20 May 2021,108.50,109.50,108.00,108.01,-0.49,-0.45
19 May 2021,108.02,109.85,107.99,108.50,-0.43,-0.39
18 May 2021,109.39,110.00,107.80,108.93,0.76,0.70
17 May 2021,110.99,110.99,107.90,108.17,0.17,0.16
06 May 2021,108.85,109.48,107.15,108.00,0.32,0.30
05 May 2021,107.95,108.00,105.51,107.68,2.17,2.06
04 May 2021,107.30,107.99,106.90,107.01,-0.28,-0.26
03 May 2021,108.95,108.95,107.00,107.29,-0.96,-0.89
30 Apr 2021,109.60,110.48,108.00,108.25,-1.44,-1.31
29 Apr 2021,111.48,111.48,108.06,109.69,-0.64,-0.58
28 Apr 2021,112.00,112.00,110.00,110.33,-0.83,-0.75
27 Apr 2021,110.97,112.49,110.00,111.16,1.08,0.98
26 Apr 2021,107.50,110.49,105.31,110.08,2.49,2.31
23 Apr 2021,108.12,108.50,107.30,107.59,-0.91,-0.84
22 Apr 2021,109.08,109.08,108.11,108.50,-0.68,-0.62
21 Apr 2021,110.00,110.00,108.00,109.18,-0.12,-0.11
20 Apr 2021,109.90,109.90,108.51,109.30,0.67,0.62
19 Apr 2021,108.12,109.18,107.50,108.63,-0.55,-0.50
16 Apr 2021,109.05,109.50,108.62,109.18,0.16,0.15
