date,open,high,low,close,change,volume
23 Jun 2021,101.00,101.00,98.05,98.30,-1.89,-1.89
22 Jun 2021,97.90,100.95,97.50,100.19,1.97,2.01
21 Jun 2021,99.50,99.50,97.75,98.22,-0.57,-0.58
18 Jun 2021,98.16,99.50,97.08,98.79,1.30,1.33
17 Jun 2021,98.20,99.15,97.10,97.49,-0.96,-0.98
16 Jun 2021,98.70,99.75,97.50,98.45,0.30,0.31
15 Jun 2021,98.25,99.00,97.80,98.15,-0.51,-0.52
14 Jun 2021,103.05,104.00,98.11,98.66,-2.43,-2.40
11 Jun 2021,103.00,103.00,101.00,101.09,-1.72,-1.67
10 Jun 2021,99.00,103.69,98.13,102.81,4.10,4.15
09 Jun 2021,101.00,101.15,97.78,98.71,-1.80,-1.79
08 Jun 2021,102.65,102.70,99.62,100.51,-2.06,-2.01
07 Jun 2021,105.50,106.50,102.01,102.57,-2.49,-2.37
04 Jun 2021,103.90,106.00,102.30,105.06,1.06,1.02
03 Jun 2021,101.99,105.10,101.00,104.00,2.11,2.07
02 Jun 2021,101.50,103.00,100.37,101.89,-0.16,-0.16
01 Jun 2021,102.00,102.99,99.90,102.05,0.78,0.77
31 May 2021,97.99,102.00,97.50,101.27,3.98,4.09
28 May 2021,94.80,99.00,94.80,97.29,1.85,1.94
27 May 2021,96.50,97.69,94.60,95.44,-0.93,-0.97
26 May 2021,89.99,96.85,89.99,96.37,6.27,6.96
25 May 2021,88.40,90.40,87.50,90.10,2.35,2.68
24 May 2021,88.97,88.99,87.40,87.75,0.20,0.23
21 May 2021,87.21,88.46,87.00,87.55,0.20,0.23
20 May 2021,87.24,88.25,85.90,87.35,0.41,0.47
19 May 2021,89.20,89.50,86.50,86.94,-2.26,-2.53
18 May 2021,90.00,90.75,89.00,89.20,-0.18,-0.20
17 May 2021,87.95,91.60,87.00,89.38,3.25,3.77
06 May 2021,84.00,86.50,83.75,86.13,2.47,2.95
05 May 2021,83.10,84.50,83.00,83.66,1.19,1.44
04 May 2021,80.03,83.90,79.99,82.47,2.44,3.05
03 May 2021,85.01,85.01,79.73,80.03,-6.16,-7.15
30 Apr 2021,88.44,88.44,85.00,86.19,-1.41,-1.61
29 Apr 2021,86.10,90.00,86.10,87.60,-0.02,-0.02
28 Apr 2021,88.39,88.50,87.12,87.62,0.14,0.16
27 Apr 2021,88.00,88.95,86.51,87.48,-0.08,-0.09
26 Apr 2021,87.00,89.47,85.52,87.56,-0.72,-0.82
23 Apr 2021,88.50,88.85,87.00,88.28,-0.81,-0.91
22 Apr 2021,90.80,91.70,88.53,89.09,-2.00,-2.20
21 Apr 2021,92.40,93.00,90.53,91.09,0.01,0.01
20 Apr 2021,91.00,92.49,90.21,91.08,1.60,1.79
19 Apr 2021,92.00,92.00,85.27,89.48,-2.05,-2.24
16 Apr 2021,93.00,93.00,91.00,91.53,-0.26,-0.28
15 Apr 2021,92.10,93.45,91.51,91.79,0.00,0.00
14 Apr 2021,92.00,92.85,91.50,91.79,-0.43,-0.47
13 Apr 2021,90.60,92.95,90.60,92.22,1.17,1.29
12 Apr 2021,92.90,92.90,90.16,91.05,-1.92,-2.07
09 Apr 2021,90.90,94.00,89.01,92.97,2.72,3.01
08 Apr 2021,89.39,90.65,88.20,90.25,1.67,1.89
07 Apr 2021,90.89,90.89,88.06,88.58,-1.47,-1.63
06 Apr 2021,88.05,90.49,88.00,90.05,1.57,1.77
05 Apr 2021,90.00,90.00,87.00,88.48,-2.50,-2.75
02 Apr 2021,92.30,93.39,89.41,90.98,-1.69,-1.82
01 Apr 2021,93.50,94.42,92.50,92.67,0.15,0.16
31 Mar 2021,95.85,96.00,92.03,92.52,-1.20,-1.28
30 Mar 2021,94.50,96.00,92.80,93.72,-1.24,-1.31
29 Mar 2021,97.50,97.50,94.02,94.96,-2.87,-2.93
26 Mar 2021,98.20,99.00,96.16,97.83,-0.38,-0.39
