date,open,high,low,close,change,volume
23 Jun 2021,99.11,100.60,98.00,99.20,0.67,0.68
22 Jun 2021,99.50,100.00,98.38,98.53,-0.56,-0.57
21 Jun 2021,99.80,100.70,98.98,99.09,-0.17,-0.17
18 Jun 2021,99.90,101.50,99.10,99.26,-0.91,-0.91
17 Jun 2021,98.97,101.90,98.75,100.17,0.65,0.65
16 Jun 2021,101.05,101.90,99.01,99.52,-0.45,-0.45
15 Jun 2021,101.50,103.90,99.75,99.97,0.30,0.30
14 Jun 2021,95.50,99.67,95.00,99.67,6.95,7.50
11 Jun 2021,92.40,93.05,91.82,92.72,0.72,0.78
10 Jun 2021,92.36,92.94,91.70,92.00,-0.28,-0.30
09 Jun 2021,95.50,95.88,91.85,92.28,-2.41,-2.55
08 Jun 2021,97.62,97.62,96.20,96.49,-0.91,-0.93
07 Jun 2021,98.89,99.50,97.02,97.40,-0.06,-0.06
04 Jun 2021,97.50,98.40,97.11,97.46,0.37,0.38
03 Jun 2021,98.10,98.30,97.00,97.09,-0.39,-0.40
02 Jun 2021,99.30,99.30,97.00,97.48,-1.42,-1.44
01 Jun 2021,98.75,99.45,98.00,98.90,1.41,1.45
31 May 2021,96.25,97.80,96.01,97.49,2.05,2.15
28 May 2021,94.20,96.89,93.55,95.44,2.30,2.47
27 May 2021,94.75,94.99,91.80,93.14,0.04,0.04
26 May 2021,90.25,93.70,90.25,93.10,2.96,3.28
25 May 2021,90.80,91.30,90.00,90.14,0.12,0.13
24 May 2021,91.61,92.49,89.51,90.02,0.03,0.03
21 May 2021,88.75,91.00,88.00,89.99,1.85,2.10
20 May 2021,90.00,90.15,87.98,88.14,-1.62,-1.80
19 May 2021,89.00,91.29,88.90,89.76,0.86,0.97
18 May 2021,89.05,89.80,88.00,88.90,0.52,0.59
17 May 2021,91.00,92.67,86.25,88.38,-4.29,-4.63
06 May 2021,93.40,94.45,92.25,92.67,0.17,0.18
05 May 2021,93.50,94.00,92.10,92.50,1.02,1.11
04 May 2021,91.65,92.05,91.20,91.48,0.44,0.48
03 May 2021,91.51,92.49,90.45,91.04,-0.47,-0.51
