date,open,high,low,close,change,volume
23 Jun 2021,35.16,35.74,34.90,35.14,0.04,0.11
22 Jun 2021,35.49,36.15,35.01,35.10,-0.31,-0.88
21 Jun 2021,35.32,35.75,35.00,35.41,0.03,0.08
18 Jun 2021,35.36,35.85,35.11,35.38,0.00,0.00
17 Jun 2021,35.97,35.92,35.10,35.38,-0.54,-1.50
16 Jun 2021,36.00,36.39,35.72,35.92,-0.15,-0.42
15 Jun 2021,36.73,36.99,36.00,36.07,-0.66,-1.80
14 Jun 2021,36.80,37.40,36.20,36.73,0.68,1.89
11 Jun 2021,36.20,36.70,35.85,36.05,0.11,0.31
10 Jun 2021,34.80,36.40,34.75,35.94,1.12,3.22
09 Jun 2021,35.03,35.40,34.66,34.82,-0.41,-1.16
08 Jun 2021,36.11,36.11,35.10,35.23,-0.72,-2.00
07 Jun 2021,36.15,36.48,35.80,35.95,0.27,0.76
04 Jun 2021,35.99,36.75,35.48,35.68,-0.34,-0.94
03 Jun 2021,36.65,37.00,35.85,36.02,-0.06,-0.17
02 Jun 2021,35.40,36.70,35.00,36.08,1.04,2.97
01 Jun 2021,34.39,35.30,33.92,35.04,0.82,2.40
31 May 2021,33.09,34.40,33.00,34.22,1.55,4.74
28 May 2021,32.98,33.16,32.56,32.67,-0.14,-0.43
27 May 2021,32.98,33.60,32.50,32.81,0.08,0.24
26 May 2021,32.30,33.49,32.30,32.73,0.60,1.87
25 May 2021,32.19,32.40,32.00,32.13,0.16,0.50
24 May 2021,32.00,32.49,31.81,31.97,0.24,0.76
21 May 2021,32.12,32.24,31.61,31.73,-0.07,-0.22
20 May 2021,31.82,32.54,31.65,31.80,0.01,0.03
19 May 2021,32.20,32.20,31.52,31.79,-0.54,-1.67
18 May 2021,32.85,32.85,32.16,32.33,-0.15,-0.46
17 May 2021,31.95,32.70,31.50,32.48,1.58,5.11
06 May 2021,31.14,31.30,30.55,30.90,-0.24,-0.77
05 May 2021,31.20,32.00,31.00,31.14,0.14,0.45
04 May 2021,30.48,31.29,30.26,31.00,0.87,2.89
03 May 2021,30.60,30.75,29.80,30.13,-0.26,-0.86
30 Apr 2021,32.05,32.05,30.01,30.39,-1.43,-4.49
29 Apr 2021,32.39,32.70,31.61,31.82,-0.24,-0.75
28 Apr 2021,32.46,32.46,31.90,32.06,-0.05,-0.16
27 Apr 2021,32.25,32.90,32.00,32.11,-0.06,-0.19
26 Apr 2021,31.00,32.89,31.00,32.17,-0.41,-1.26
23 Apr 2021,32.40,33.00,31.80,32.58,0.01,0.03
22 Apr 2021,34.20,34.30,32.40,32.57,-1.60,-4.68
21 Apr 2021,35.95,36.44,34.01,34.17,-1.71,-4.77
20 Apr 2021,35.19,36.25,35.03,35.88,1.19,3.43
19 Apr 2021,34.70,35.64,34.60,34.69,-0.95,-2.67
16 Apr 2021,35.85,36.40,35.50,35.64,-0.03,-0.08
15 Apr 2021,35.48,35.85,34.96,35.67,0.45,1.28
14 Apr 2021,35.47,35.62,35.01,35.22,0.03,0.09
13 Apr 2021,35.00,35.57,34.50,35.19,-0.02,-0.06
12 Apr 2021,36.15,36.40,34.80,35.21,-0.87,-2.41
09 Apr 2021,33.51,36.17,33.40,36.08,2.43,7.22
08 Apr 2021,32.50,33.95,32.12,33.65,1.27,3.92
07 Apr 2021,33.00,33.60,32.00,32.38,-0.45,-1.37
06 Apr 2021,30.91,33.00,30.91,32.83,1.88,6.07
05 Apr 2021,32.85,32.90,30.60,30.95,-1.76,-5.38
02 Apr 2021,32.35,32.95,32.01,32.71,0.53,1.65
01 Apr 2021,33.05,33.40,32.00,32.18,-0.86,-2.60
31 Mar 2021,33.60,34.55,32.80,33.04,-0.17,-0.51
30 Mar 2021,31.00,33.65,31.00,33.21,1.74,5.53
29 Mar 2021,33.32,33.69,31.19,31.47,-2.24,-6.64
26 Mar 2021,34.55,34.55,33.25,33.71,-0.73,-2.12
25 Mar 2021,33.35,34.89,33.19,34.44,1.34,4.05
24 Mar 2021,32.95,33.25,32.90,33.10,0.13,0.39
22 Mar 2021,33.00,33.48,32.73,32.97,-0.40,-1.20
19 Mar 2021,32.75,33.75,32.70,33.37,0.44,1.34
18 Mar 2021,34.50,34.75,32.70,32.93,-1.45,-4.22
17 Mar 2021,34.46,34.75,34.21,34.38,0.62,1.84
16 Mar 2021,34.33,34.69,33.50,33.76,-0.31,-0.91
15 Mar 2021,32.66,34.39,32.50,34.07,2.04,6.37
12 Mar 2021,31.01,32.79,31.00,32.03,1.24,4.03
11 Mar 2021,32.56,33.10,30.00,30.79,-1.61,-4.97
10 Mar 2021,33.22,33.80,32.10,32.40,-0.99,-2.96
09 Mar 2021,34.69,35.00,32.47,33.39,-1.65,-4.71
08 Mar 2021,38.00,38.18,34.50,35.04,-2.11,-5.68
05 Mar 2021,36.70,37.31,36.52,37.15,0.62,1.70
04 Mar 2021,37.25,37.59,36.25,36.53,-1.93,-5.02
03 Mar 2021,37.42,38.70,37.40,38.46,1.23,3.30
02 Mar 2021,37.10,37.75,36.90,37.23,0.18,0.49
01 Mar 2021,38.20,38.34,36.40,37.05,-1.11,-2.91
