date,open,high,low,close,change,volume
23 Jun 2021,400.02,404.95,400.00,401.19,-0.81,-0.20
22 Jun 2021,403.90,403.90,400.01,402.00,1.51,0.38
21 Jun 2021,402.00,403.99,399.99,400.49,-0.39,-0.10
18 Jun 2021,395.99,403.00,394.99,400.88,6.49,1.65
17 Jun 2021,390.00,397.75,388.02,394.39,4.63,1.19
16 Jun 2021,388.97,396.00,388.00,389.76,5.36,1.39
15 Jun 2021,386.00,389.95,383.51,384.40,-3.78,-0.97
14 Jun 2021,385.00,396.99,380.05,388.18,8.24,2.17
11 Jun 2021,377.20,381.00,376.51,379.94,2.76,0.73
10 Jun 2021,377.50,379.00,376.05,377.18,0.08,0.02
09 Jun 2021,380.09,380.20,376.00,377.10,-0.62,-0.16
08 Jun 2021,379.99,379.99,376.74,377.72,0.47,0.12
07 Jun 2021,381.00,382.00,376.74,377.25,-0.77,-0.20
04 Jun 2021,376.75,379.80,376.74,378.02,1.28,0.34
03 Jun 2021,378.05,382.00,375.20,376.74,-0.16,-0.04
02 Jun 2021,377.09,380.50,375.60,376.90,-0.19,-0.05
01 Jun 2021,372.00,378.00,371.15,377.09,6.74,1.82
31 May 2021,369.00,371.49,368.20,370.35,2.91,0.79
28 May 2021,369.90,371.90,366.00,367.44,1.41,0.39
27 May 2021,366.01,372.00,364.52,366.03,0.68,0.19
26 May 2021,365.01,368.00,363.26,365.35,0.43,0.12
25 May 2021,368.99,368.99,362.61,364.92,-2.08,-0.57
24 May 2021,367.95,368.50,364.01,367.00,1.66,0.45
21 May 2021,367.95,367.95,363.51,365.34,0.33,0.09
20 May 2021,366.00,369.00,364.40,365.01,-1.90,-0.52
19 May 2021,370.98,373.00,365.01,366.91,-2.96,-0.80
18 May 2021,363.00,370.94,362.52,369.87,6.60,1.82
17 May 2021,360.01,364.84,359.00,363.27,3.21,0.89
06 May 2021,364.00,365.00,359.65,360.06,-3.97,-1.09
05 May 2021,357.00,365.00,357.00,364.03,9.19,2.59
04 May 2021,351.05,356.89,350.31,354.84,2.53,0.72
03 May 2021,350.53,356.53,350.00,352.31,-1.47,-0.42
30 Apr 2021,356.29,358.99,350.00,353.78,-1.51,-0.43
29 Apr 2021,355.55,358.00,350.30,355.29,0.23,0.06
28 Apr 2021,352.25,358.00,352.00,355.06,3.83,1.09
27 Apr 2021,364.00,364.00,350.00,351.23,-14.72,-4.02
26 Apr 2021,364.95,377.99,355.00,365.95,6.27,1.74
23 Apr 2021,360.00,360.97,356.00,359.68,-1.26,-0.35
