date,open,high,low,close,change,volume
23 Jun 2021,90.60,91.00,89.90,90.19,0.19,0.21
22 Jun 2021,90.45,90.85,89.92,90.00,-0.05,-0.06
21 Jun 2021,91.10,91.10,90.00,90.05,-0.27,-0.30
18 Jun 2021,91.82,91.95,90.00,90.32,-0.02,-0.02
17 Jun 2021,91.40,91.80,90.12,90.34,-0.91,-1.00
16 Jun 2021,93.01,93.45,91.09,91.25,-1.12,-1.21
15 Jun 2021,94.40,94.78,92.20,92.37,-2.01,-2.13
14 Jun 2021,91.69,95.00,90.80,94.38,4.31,4.79
11 Jun 2021,90.70,91.49,89.90,90.07,-0.61,-0.67
10 Jun 2021,91.48,92.00,90.50,90.68,-0.82,-0.90
09 Jun 2021,93.89,93.95,91.30,91.50,-1.49,-1.60
08 Jun 2021,93.00,93.25,92.02,92.99,-0.22,-0.24
07 Jun 2021,95.31,95.40,92.75,93.21,-0.61,-0.65
04 Jun 2021,94.25,94.38,93.02,93.82,0.14,0.15
03 Jun 2021,94.00,94.70,93.50,93.68,-0.07,-0.07
02 Jun 2021,94.90,95.10,93.00,93.75,-1.12,-1.18
01 Jun 2021,93.00,95.45,92.90,94.87,2.49,2.70
31 May 2021,91.99,93.00,90.85,92.38,1.71,1.89
28 May 2021,87.74,93.74,87.30,90.67,2.93,3.34
27 May 2021,88.60,89.00,87.25,87.74,-0.36,-0.41
26 May 2021,85.51,88.61,85.51,88.10,1.95,2.26
25 May 2021,85.61,86.80,85.00,86.15,0.61,0.71
24 May 2021,85.50,86.79,85.25,85.54,1.36,1.62
21 May 2021,83.00,84.48,82.50,84.18,2.00,2.43
20 May 2021,82.60,82.74,82.00,82.18,-0.44,-0.53
19 May 2021,83.00,84.50,82.50,82.62,-0.10,-0.12
18 May 2021,81.75,83.60,81.50,82.72,1.37,1.68
17 May 2021,83.01,83.04,81.00,81.35,-1.25,-1.51
06 May 2021,84.00,84.00,82.45,82.60,-0.65,-0.78
05 May 2021,84.00,84.20,82.85,83.25,1.35,1.65
04 May 2021,82.48,82.48,81.50,81.90,-0.08,-0.10
03 May 2021,81.01,82.35,80.51,81.98,0.81,1.00
30 Apr 2021,82.51,82.98,80.81,81.17,-1.39,-1.68
29 Apr 2021,83.25,83.90,82.10,82.56,-0.63,-0.76
28 Apr 2021,85.00,85.45,83.00,83.19,-1.56,-1.84
27 Apr 2021,88.49,90.00,84.01,84.75,-3.80,-4.29
26 Apr 2021,82.00,88.55,82.00,88.55,6.17,7.49
23 Apr 2021,83.00,83.00,81.90,82.38,-0.64,-0.77
22 Apr 2021,84.69,84.69,82.90,83.02,-1.67,-1.97
21 Apr 2021,85.39,85.39,84.51,84.69,-0.47,-0.55
20 Apr 2021,85.20,85.74,85.00,85.16,0.19,0.22
19 Apr 2021,85.30,85.30,84.61,84.97,-1.00,-1.16
16 Apr 2021,86.22,86.56,85.81,85.97,-0.31,-0.36
15 Apr 2021,86.94,87.15,86.00,86.28,0.25,0.29
14 Apr 2021,85.13,86.20,85.13,86.03,0.73,0.86
13 Apr 2021,85.65,85.75,85.01,85.30,-0.12,-0.14
12 Apr 2021,85.84,87.25,84.70,85.42,0.03,0.04
09 Apr 2021,85.87,85.90,83.97,85.39,1.42,1.69
08 Apr 2021,85.24,85.58,84.80,85.47,0.76,0.90
07 Apr 2021,86.49,86.49,84.49,84.71,-1.39,-1.61
06 Apr 2021,85.74,86.45,85.00,86.10,1.03,1.21
05 Apr 2021,86.95,86.95,85.00,85.07,-1.16,-1.35
02 Apr 2021,87.67,87.69,86.00,86.23,-0.73,-0.84
01 Apr 2021,87.30,87.69,86.50,86.96,-0.37,-0.42
31 Mar 2021,87.65,88.40,87.00,87.33,-0.12,-0.14
30 Mar 2021,87.60,88.40,87.01,87.45,-0.33,-0.38
29 Mar 2021,90.25,90.26,87.50,87.78,-2.44,-2.70
26 Mar 2021,91.00,91.20,90.01,90.22,-0.72,-0.79
25 Mar 2021,92.10,93.52,90.81,90.94,-0.75,-0.82
24 Mar 2021,91.48,92.25,90.25,91.69,-0.85,-0.92
22 Mar 2021,86.10,92.54,85.10,92.54,6.45,7.49
19 Mar 2021,85.21,87.00,85.00,86.09,-0.55,-0.63
18 Mar 2021,88.89,88.90,86.40,86.64,-2.17,-2.44
17 Mar 2021,88.00,89.40,87.51,88.81,1.52,1.74
16 Mar 2021,88.03,88.15,87.10,87.29,-0.72,-0.82
15 Mar 2021,88.00,88.88,87.60,88.01,1.54,1.78
12 Mar 2021,85.75,87.40,85.50,86.47,1.08,1.26
11 Mar 2021,86.06,87.00,85.00,85.39,-1.28,-1.48
10 Mar 2021,88.00,88.20,86.21,86.67,-1.03,-1.17
09 Mar 2021,90.35,90.35,87.22,87.70,-2.41,-2.67
08 Mar 2021,92.80,93.10,89.89,90.11,-0.78,-0.86
05 Mar 2021,90.28,91.35,89.75,90.89,1.26,1.41
04 Mar 2021,89.00,90.49,88.55,89.63,-1.06,-1.17
03 Mar 2021,91.13,91.49,90.10,90.69,-0.44,-0.48
02 Mar 2021,90.10,92.94,90.00,91.13,0.41,0.45
01 Mar 2021,91.00,91.00,89.30,90.72,0.30,0.33
26 Feb 2021,91.00,91.15,90.00,90.42,-0.70,-0.77
25 Feb 2021,91.38,91.87,90.99,91.12,0.51,0.56
24 Feb 2021,91.55,91.76,90.25,90.61,-1.15,-1.25
23 Feb 2021,92.00,93.45,91.52,91.76,1.50,1.66
22 Feb 2021,91.68,92.40,90.00,90.26,-1.58,-1.72
19 Feb 2021,91.02,92.49,91.02,91.84,0.36,0.39
18 Feb 2021,93.38,93.38,91.00,91.48,-0.92,-1.00
17 Feb 2021,93.35,94.25,92.20,92.40,-0.65,-0.70
16 Feb 2021,92.53,94.25,92.52,93.05,0.92,1.00
15 Feb 2021,91.50,92.50,91.50,92.13,1.96,2.17
12 Feb 2021,91.21,91.50,90.00,90.17,-1.37,-1.50
11 Feb 2021,93.50,93.50,91.11,91.54,-1.57,-1.69
10 Feb 2021,94.30,94.50,92.70,93.11,-1.22,-1.29
09 Feb 2021,95.20,95.20,94.01,94.33,0.25,0.27
08 Feb 2021,94.90,95.39,93.90,94.08,-0.02,-0.02
04 Feb 2021,95.11,96.25,93.83,94.10,1.04,1.12
03 Feb 2021,94.50,94.65,92.95,93.06,-0.33,-0.35
02 Feb 2021,93.20,94.79,91.98,93.39,1.54,1.68
01 Feb 2021,92.00,92.49,91.60,91.85,0.18,0.20
29 Jan 2021,92.35,93.25,91.45,91.67,-0.63,-0.68
28 Jan 2021,93.10,93.70,92.01,92.30,-0.97,-1.04
27 Jan 2021,94.29,94.30,93.10,93.27,-0.72,-0.77
26 Jan 2021,93.12,94.08,92.92,93.99,0.94,1.01
25 Jan 2021,93.55,94.49,92.96,93.05,-0.36,-0.39
22 Jan 2021,94.00,94.39,92.91,93.41,-0.82,-0.87
21 Jan 2021,93.50,94.70,93.50,94.23,0.83,0.89
20 Jan 2021,95.49,95.50,92.80,93.40,-1.52,-1.60
19 Jan 2021,94.70,97.50,93.77,94.92,0.00,0.00
18 Jan 2021,97.00,97.10,94.50,94.92,-2.74,-2.81
15 Jan 2021,98.09,98.30,97.43,97.66,-0.04,-0.04
14 Jan 2021,98.90,98.90,97.39,97.70,-1.06,-1.07
13 Jan 2021,100.01,100.49,98.25,98.76,-0.28,-0.28
12 Jan 2021,97.40,99.26,97.10,99.04,1.65,1.69
11 Jan 2021,100.00,100.25,97.02,97.39,-0.99,-1.01
08 Jan 2021,98.85,99.00,97.75,98.38,0.44,0.45
07 Jan 2021,101.00,101.29,97.00,97.94,-1.91,-1.91
06 Jan 2021,101.00,102.00,99.50,99.85,1.25,1.27
05 Jan 2021,100.00,100.60,98.26,98.60,-3.61,-3.53
04 Jan 2021,102.99,104.30,100.20,102.21,5.14,5.30
01 Jan 2021,90.45,97.10,90.11,97.07,6.74,7.46
31 Dec 2020,90.00,90.85,89.49,90.33,0.50,0.56
30 Dec 2020,90.25,90.50,89.70,89.83,0.36,0.40
29 Dec 2020,91.50,91.65,89.02,89.47,-1.76,-1.93
28 Dec 2020,90.81,91.60,90.50,91.23,0.69,0.76
24 Dec 2020,91.65,92.03,90.40,90.54,0.51,0.57
23 Dec 2020,88.99,90.50,88.50,90.03,0.51,0.57
22 Dec 2020,91.55,92.49,89.00,89.52,-1.99,-2.17
21 Dec 2020,94.00,94.60,90.95,91.51,-3.95,-4.14
18 Dec 2020,96.80,96.80,95.30,95.46,-0.73,-0.76
17 Dec 2020,95.54,97.00,95.00,96.19,2.19,2.33
16 Dec 2020,93.09,94.60,92.20,94.00,1.77,1.92
15 Dec 2020,94.00,94.95,91.99,92.23,-1.84,-1.96
