date,open,high,low,close,change,volume
23 Jun 2021,228.10,229.48,225.00,225.86,-2.21,-0.97
22 Jun 2021,229.50,231.45,227.25,228.07,-1.04,-0.45
21 Jun 2021,232.99,233.50,228.00,229.11,-4.38,-1.88
18 Jun 2021,232.66,234.40,231.00,233.49,0.83,0.36
17 Jun 2021,234.00,235.85,232.20,232.66,-2.22,-0.95
16 Jun 2021,238.00,239.50,234.00,234.88,-1.64,-0.69
15 Jun 2021,235.00,240.70,234.00,236.52,2.25,0.96
14 Jun 2021,237.75,237.79,232.32,234.27,1.48,0.64
11 Jun 2021,236.00,238.87,232.25,232.79,-2.39,-1.02
10 Jun 2021,232.79,237.10,231.81,235.18,3.15,1.36
09 Jun 2021,236.75,237.50,231.25,232.03,-3.73,-1.58
08 Jun 2021,239.10,240.50,234.11,235.76,-4.88,-2.03
07 Jun 2021,248.00,248.74,239.51,240.64,-2.40,-0.99
04 Jun 2021,244.48,245.50,242.05,243.04,-0.13,-0.05
03 Jun 2021,245.00,246.90,242.27,243.17,2.47,1.03
02 Jun 2021,239.00,241.88,236.00,240.70,2.61,1.10
01 Jun 2021,242.00,242.49,236.80,238.09,-2.02,-0.84
31 May 2021,234.00,241.00,233.50,240.11,8.42,3.63
28 May 2021,227.00,232.99,226.93,231.69,4.48,1.97
27 May 2021,230.61,233.01,225.50,227.21,-1.44,-0.63
26 May 2021,226.50,230.00,225.10,228.65,3.44,1.53
25 May 2021,227.45,228.49,224.45,225.21,-1.71,-0.75
24 May 2021,229.34,230.80,226.15,226.92,-2.42,-1.06
21 May 2021,225.10,230.30,224.99,229.34,3.98,1.77
20 May 2021,226.51,227.98,225.00,225.36,-1.10,-0.49
19 May 2021,232.80,232.80,226.00,226.46,-4.54,-1.97
18 May 2021,221.89,233.01,219.99,231.00,10.21,4.62
17 May 2021,223.50,224.80,219.81,220.79,-0.90,-0.41
06 May 2021,224.00,225.00,220.50,221.69,0.51,0.23
05 May 2021,220.00,224.00,217.50,221.18,6.82,3.18
04 May 2021,213.00,215.85,213.00,214.36,1.21,0.57
03 May 2021,212.90,214.90,211.00,213.15,0.91,0.43
30 Apr 2021,217.02,218.00,211.15,212.24,-4.22,-1.95
29 Apr 2021,214.90,223.40,214.90,216.46,1.21,0.56
28 Apr 2021,216.50,222.50,214.15,215.25,-0.12,-0.06
27 Apr 2021,221.51,222.01,214.05,215.37,-8.14,-3.64
26 Apr 2021,210.50,229.20,208.01,223.51,10.30,4.83
23 Apr 2021,214.50,214.50,210.50,213.21,-1.88,-0.87
22 Apr 2021,214.56,221.06,214.30,215.09,-0.77,-0.36
21 Apr 2021,218.00,220.00,215.01,215.86,-1.45,-0.67
20 Apr 2021,220.49,220.99,216.55,217.31,-0.36,-0.17
19 Apr 2021,218.01,220.60,216.52,217.67,-3.24,-1.47
16 Apr 2021,221.55,223.80,220.25,220.91,-0.70,-0.32
15 Apr 2021,224.51,225.88,221.00,221.61,-0.72,-0.32
14 Apr 2021,220.98,223.00,220.17,222.33,1.83,0.83
13 Apr 2021,221.98,221.98,219.55,220.50,-0.76,-0.34
12 Apr 2021,225.13,226.37,220.99,221.26,-5.11,-2.26
09 Apr 2021,228.00,228.20,225.10,226.37,0.64,0.28
08 Apr 2021,221.99,226.98,221.45,225.73,4.29,1.94
07 Apr 2021,228.75,228.75,220.00,221.44,-5.57,-2.45
06 Apr 2021,222.00,228.40,221.73,227.01,5.14,2.32
05 Apr 2021,228.25,228.25,221.50,221.87,-4.49,-1.98
02 Apr 2021,229.99,230.50,225.01,226.36,-0.41,-0.18
01 Apr 2021,230.63,233.00,225.00,226.77,-3.86,-1.67
31 Mar 2021,228.60,236.50,228.60,230.63,2.79,1.22
30 Mar 2021,227.95,232.49,226.10,227.84,-1.23,-0.54
29 Mar 2021,236.99,237.50,226.00,229.07,-7.64,-3.23
26 Mar 2021,240.99,240.99,236.00,236.71,-4.81,-1.99
25 Mar 2021,244.10,245.98,239.32,241.52,-1.38,-0.57
24 Mar 2021,239.51,247.13,237.20,242.90,0.58,0.24
22 Mar 2021,234.50,244.73,230.00,242.32,8.82,3.78
19 Mar 2021,227.00,234.20,225.00,233.50,6.56,2.89
18 Mar 2021,233.96,234.59,225.00,226.94,-7.03,-3.00
17 Mar 2021,234.50,237.29,232.30,233.97,1.74,0.75
16 Mar 2021,236.00,236.00,230.20,232.23,-3.46,-1.47
15 Mar 2021,225.05,236.49,223.11,235.69,14.41,6.51
12 Mar 2021,215.00,223.75,212.47,221.28,8.81,4.15
11 Mar 2021,220.25,224.47,215.00,217.47,-4.37,-1.97
10 Mar 2021,227.45,228.57,221.00,221.84,-4.47,-1.98
09 Mar 2021,235.47,236.00,224.85,226.31,-7.93,-3.39
08 Mar 2021,243.95,244.56,232.70,234.24,-4.59,-1.92
05 Mar 2021,237.00,242.00,235.02,238.83,2.68,1.13
04 Mar 2021,234.00,240.54,233.71,236.15,-5.55,-2.30
03 Mar 2021,242.98,244.50,240.01,241.70,1.31,0.54
02 Mar 2021,235.00,244.25,235.00,240.39,6.41,2.74
01 Mar 2021,237.00,238.00,229.00,233.98,-2.65,-1.12
26 Feb 2021,238.10,239.90,233.60,236.63,-1.50,-0.63
25 Feb 2021,237.10,239.00,236.75,238.13,3.50,1.49
24 Feb 2021,239.49,239.59,233.00,234.63,-4.95,-2.07
23 Feb 2021,244.00,244.17,239.00,239.58,-2.84,-1.17
22 Feb 2021,245.01,247.00,242.00,242.42,-2.78,-1.13
19 Feb 2021,247.98,250.00,243.19,245.20,-1.55,-0.63
18 Feb 2021,254.01,254.01,245.19,246.75,-10.65,-4.14
17 Feb 2021,258.00,261.50,255.11,257.40,4.84,1.92
16 Feb 2021,250.89,257.45,250.89,252.56,0.60,0.24
15 Feb 2021,251.00,254.80,249.80,251.96,3.00,1.21
12 Feb 2021,250.05,254.50,247.50,248.96,-1.92,-0.77
11 Feb 2021,259.10,261.00,249.00,250.88,-8.44,-3.25
10 Feb 2021,259.00,262.00,257.50,259.32,1.86,0.72
09 Feb 2021,256.00,260.99,255.00,257.46,4.04,1.59
08 Feb 2021,255.00,257.00,249.19,253.42,0.61,0.24
04 Feb 2021,255.50,257.50,249.50,252.81,-0.36,-0.14
03 Feb 2021,256.00,258.75,248.60,253.17,-0.56,-0.22
02 Feb 2021,241.00,258.24,239.20,253.73,13.50,5.62
01 Feb 2021,246.00,246.10,238.21,240.23,-2.76,-1.14
29 Jan 2021,240.00,245.20,238.20,242.99,3.10,1.29
28 Jan 2021,243.90,244.00,239.00,239.89,-4.41,-1.81
27 Jan 2021,246.11,248.19,243.50,244.30,0.94,0.39
26 Jan 2021,238.00,244.50,238.00,243.36,5.31,2.23
25 Jan 2021,236.00,239.50,235.90,238.05,1.89,0.80
22 Jan 2021,238.00,241.95,235.60,236.16,-1.30,-0.55
21 Jan 2021,237.05,239.88,236.02,237.46,0.16,0.07
20 Jan 2021,235.51,238.50,232.30,237.30,0.88,0.37
19 Jan 2021,232.71,239.00,232.00,236.42,2.51,1.07
18 Jan 2021,238.00,238.00,232.90,233.91,-3.78,-1.59
15 Jan 2021,239.90,240.15,236.50,237.69,-1.22,-0.51
14 Jan 2021,237.51,240.00,235.75,238.91,1.07,0.45
13 Jan 2021,239.99,240.30,237.00,237.84,-0.11,-0.05
12 Jan 2021,237.50,239.50,236.00,237.95,1.27,0.54
11 Jan 2021,242.01,242.75,235.51,236.68,-1.22,-0.51
08 Jan 2021,242.00,242.10,237.01,237.90,-3.03,-1.26
07 Jan 2021,250.40,251.00,240.00,240.93,-8.45,-3.39
06 Jan 2021,248.00,251.75,243.10,249.38,5.38,2.20
05 Jan 2021,244.95,246.60,237.25,244.00,-3.93,-1.59
04 Jan 2021,248.79,248.79,239.06,247.93,16.49,7.12
01 Jan 2021,215.99,231.44,215.99,231.44,16.14,7.50
31 Dec 2020,217.55,217.99,214.50,215.30,-1.50,-0.69
30 Dec 2020,214.45,218.25,214.05,216.80,2.96,1.38
29 Dec 2020,221.00,222.50,212.70,213.84,-4.18,-1.92
28 Dec 2020,217.00,218.90,214.75,218.02,2.95,1.37
24 Dec 2020,218.00,220.00,214.00,215.07,-1.37,-0.63
23 Dec 2020,216.50,221.45,215.70,216.44,1.04,0.48
22 Dec 2020,213.05,221.99,213.00,215.40,1.59,0.74
21 Dec 2020,214.15,218.75,212.51,213.81,0.54,0.25
18 Dec 2020,208.10,216.47,205.83,213.27,5.88,2.84
17 Dec 2020,205.99,207.82,204.50,207.39,2.49,1.22
16 Dec 2020,205.99,207.50,204.20,204.90,-0.15,-0.07
15 Dec 2020,208.00,210.00,204.11,205.05,-1.48,-0.72
14 Dec 2020,201.50,207.60,201.50,206.53,6.23,3.11
11 Dec 2020,201.95,202.50,199.26,200.30,1.10,0.55
10 Dec 2020,200.50,200.50,199.00,199.20,-0.46,-0.23
09 Dec 2020,199.76,202.50,199.20,199.66,0.41,0.21
08 Dec 2020,203.01,203.01,199.00,199.25,-2.82,-1.40
07 Dec 2020,204.95,204.95,200.70,202.07,-1.69,-0.83
04 Dec 2020,205.55,207.77,203.19,203.76,-1.48,-0.72
03 Dec 2020,202.70,209.00,202.70,205.24,2.53,1.25
02 Dec 2020,200.50,203.50,199.25,202.71,1.31,0.65
01 Dec 2020,199.90,202.00,198.05,201.40,1.14,0.57
30 Nov 2020,193.00,200.99,193.00,200.26,8.20,4.27
27 Nov 2020,194.01,194.01,191.50,192.06,-1.99,-1.03
26 Nov 2020,195.00,196.50,193.20,194.05,1.39,0.72
25 Nov 2020,190.60,194.00,189.50,192.66,4.70,2.50
24 Nov 2020,187.99,189.00,186.50,187.96,1.64,0.88
23 Nov 2020,191.00,191.17,184.19,186.32,-5.34,-2.79
20 Nov 2020,194.99,194.99,191.20,191.66,-1.99,-1.03
19 Nov 2020,194.85,195.50,193.19,193.65,0.48,0.25
18 Nov 2020,196.00,196.00,192.50,193.17,-2.93,-1.49
17 Nov 2020,196.89,198.00,195.70,196.10,0.90,0.46
16 Nov 2020,194.20,196.95,193.10,195.20,0.83,0.43
13 Nov 2020,197.05,198.48,193.50,194.37,-3.49,-1.76
12 Nov 2020,203.11,203.11,197.01,197.86,-5.97,-2.93
11 Nov 2020,205.79,205.94,202.25,203.83,-0.67,-0.33
10 Nov 2020,209.00,209.10,204.10,204.50,2.31,1.14
09 Nov 2020,202.27,205.00,201.80,202.19,0.74,0.37
06 Nov 2020,205.90,205.90,200.51,201.45,-3.55,-1.73
05 Nov 2020,203.00,205.51,202.75,205.00,6.86,3.46
04 Nov 2020,204.00,204.97,197.00,198.14,-3.55,-1.76
03 Nov 2020,195.01,203.00,194.17,201.69,9.02,4.68
02 Nov 2020,194.00,195.99,189.00,192.67,-3.74,-1.90
29 Oct 2020,202.51,202.52,190.01,196.41,-8.83,-4.30
28 Oct 2020,206.00,209.90,203.50,205.24,-0.85,-0.41
27 Oct 2020,213.50,218.00,205.85,206.09,-6.96,-3.27
26 Oct 2020,206.60,214.00,206.60,213.05,5.21,2.51
23 Oct 2020,206.50,210.00,206.50,207.84,0.48,0.23
22 Oct 2020,210.50,212.00,206.50,207.36,-2.79,-1.33
21 Oct 2020,213.00,213.95,209.01,210.15,-1.53,-0.72
20 Oct 2020,207.02,214.39,207.02,211.68,4.56,2.20
19 Oct 2020,206.90,209.00,205.20,207.12,0.15,0.07
16 Oct 2020,204.50,207.70,203.11,206.97,1.73,0.84
15 Oct 2020,207.39,208.89,205.00,205.24,-1.46,-0.71
14 Oct 2020,206.25,208.90,204.19,206.70,-0.27,-0.13
13 Oct 2020,205.55,208.95,204.50,206.97,1.02,0.50
12 Oct 2020,207.80,211.40,205.02,205.95,-2.56,-1.23
09 Oct 2020,208.25,209.90,205.25,208.51,0.61,0.29
08 Oct 2020,199.00,209.00,198.12,207.90,9.71,4.90
07 Oct 2020,195.00,199.00,193.10,198.19,4.78,2.47
06 Oct 2020,195.00,197.00,189.51,193.41,0.35,0.18
05 Oct 2020,192.51,197.50,190.51,193.06,-1.42,-0.73
02 Oct 2020,201.00,202.00,192.51,194.48,-6.37,-3.17
01 Oct 2020,202.00,202.39,195.50,200.85,0.65,0.32
30 Sep 2020,206.15,207.75,199.05,200.20,-5.13,-2.50
29 Sep 2020,201.51,206.90,196.00,205.33,2.90,1.43
28 Sep 2020,204.99,205.75,201.00,202.43,-2.34,-1.14
25 Sep 2020,206.00,208.90,203.15,204.77,-0.85,-0.41
24 Sep 2020,202.51,207.48,199.75,205.62,3.02,1.49
23 Sep 2020,202.50,203.50,200.15,202.60,0.83,0.41
22 Sep 2020,204.49,205.00,199.01,201.77,-2.53,-1.24
21 Sep 2020,207.10,207.99,203.75,204.30,-2.92,-1.41
18 Sep 2020,207.50,207.99,204.80,207.22,1.21,0.59
17 Sep 2020,206.00,208.98,205.15,206.01,2.66,1.31
16 Sep 2020,207.24,207.88,202.55,203.35,-2.73,-1.32
15 Sep 2020,208.50,209.80,205.25,206.08,-0.91,-0.44
14 Sep 2020,205.00,209.00,199.10,206.99,3.52,1.73
11 Sep 2020,203.00,205.40,201.01,203.47,1.34,0.66
10 Sep 2020,195.99,205.90,195.00,202.13,7.84,4.04
09 Sep 2020,197.00,197.00,192.75,194.29,-2.39,-1.22
08 Sep 2020,195.00,200.10,193.21,196.68,1.27,0.65
07 Sep 2020,195.00,198.00,193.51,195.41,0.24,0.12
04 Sep 2020,197.00,198.50,194.01,195.17,-2.22,-1.12
03 Sep 2020,196.75,201.49,196.75,197.39,1.30,0.66
02 Sep 2020,192.00,198.25,191.50,196.09,5.40,2.83
01 Sep 2020,188.00,191.10,187.02,190.69,-1.20,-0.63
31 Aug 2020,192.48,192.50,190.01,191.89,2.40,1.27
28 Aug 2020,192.45,192.45,189.05,189.49,-1.94,-1.01
27 Aug 2020,191.40,193.20,190.70,191.43,0.03,0.02
26 Aug 2020,193.30,193.47,191.01,191.40,0.62,0.32
25 Aug 2020,190.51,193.11,189.01,190.78,1.63,0.86
24 Aug 2020,185.00,190.25,185.00,189.15,2.63,1.41
21 Aug 2020,191.01,192.70,183.99,186.52,-4.76,-2.49
20 Aug 2020,191.25,194.99,190.00,191.28,0.18,0.09
19 Aug 2020,194.40,194.75,190.51,191.10,-1.08,-0.56
18 Aug 2020,196.49,197.00,191.50,192.18,-3.12,-1.60
17 Aug 2020,185.51,197.00,185.51,195.30,10.31,5.57
13 Aug 2020,185.75,185.75,182.90,184.99,0.03,0.02
12 Aug 2020,190.10,190.52,184.01,184.96,-3.02,-1.61
11 Aug 2020,186.05,190.00,184.60,187.98,4.12,2.24
10 Aug 2020,183.00,185.25,182.00,183.86,2.71,1.50
07 Aug 2020,182.01,183.99,179.11,181.15,-2.03,-1.11
06 Aug 2020,184.40,186.50,182.50,183.18,0.70,0.38
05 Aug 2020,181.00,183.74,179.11,182.48,2.21,1.23
04 Aug 2020,186.02,187.70,175.51,180.27,-5.56,-2.99
03 Aug 2020,183.00,187.50,182.00,185.83,4.92,2.72
30 Jul 2020,179.00,181.99,176.50,180.91,3.01,1.69
29 Jul 2020,178.00,181.35,176.25,177.90,2.79,1.59
28 Jul 2020,175.49,177.45,174.60,175.11,-0.16,-0.09
27 Jul 2020,174.37,176.70,172.99,175.27,0.90,0.52
24 Jul 2020,175.11,176.00,173.50,174.37,-2.33,-1.32
23 Jul 2020,181.90,182.50,175.62,176.70,-2.16,-1.21
22 Jul 2020,176.99,182.49,176.50,178.86,3.86,2.21
21 Jul 2020,173.05,176.25,168.82,175.00,3.11,1.81
20 Jul 2020,172.50,176.40,171.06,171.89,1.28,0.75
17 Jul 2020,171.70,172.45,170.02,170.61,0.34,0.20
16 Jul 2020,169.25,172.50,169.25,170.27,1.39,0.82
15 Jul 2020,170.75,171.60,168.00,168.88,-0.89,-0.52
14 Jul 2020,173.99,174.90,169.00,169.77,-3.93,-2.26
13 Jul 2020,164.75,175.00,164.75,173.70,9.01,5.47
10 Jul 2020,166.00,166.00,164.05,164.69,-1.98,-1.19
09 Jul 2020,166.51,167.57,164.51,166.67,1.78,1.08
08 Jul 2020,163.11,165.50,163.11,164.89,1.27,0.78
07 Jul 2020,163.25,164.90,163.25,163.62,0.84,0.52
06 Jul 2020,160.80,163.44,159.50,162.78,3.43,2.15
03 Jul 2020,160.30,161.10,158.50,159.35,-1.46,-0.91
02 Jul 2020,164.50,164.95,159.99,160.81,-1.40,-0.86
01 Jul 2020,155.50,165.00,155.25,162.21,4.05,2.56
30 Jun 2020,157.01,159.75,156.05,158.16,1.58,1.01
29 Jun 2020,151.00,157.97,150.51,156.58,8.08,5.44
26 Jun 2020,148.49,148.90,147.50,148.50,2.62,1.80
25 Jun 2020,146.88,146.99,145.20,145.88,-1.85,-1.25
24 Jun 2020,148.00,150.70,147.00,147.73,0.19,0.13
23 Jun 2020,145.00,148.40,144.50,147.54,3.62,2.52
22 Jun 2020,144.64,145.30,140.15,143.92,-0.38,-0.26
19 Jun 2020,147.06,148.45,143.50,144.30,-2.38,-1.62
18 Jun 2020,149.25,151.11,146.17,146.68,-2.82,-1.89
17 Jun 2020,151.11,153.44,148.75,149.50,-1.43,-0.95
16 Jun 2020,149.49,151.80,146.25,150.93,3.00,2.03
15 Jun 2020,155.00,155.00,147.15,147.93,-7.83,-5.03
12 Jun 2020,154.10,156.50,154.03,155.76,-0.92,-0.59
11 Jun 2020,159.75,159.75,156.20,156.68,-2.08,-1.31
10 Jun 2020,158.25,159.00,157.30,158.76,1.10,0.70
09 Jun 2020,157.52,158.00,156.90,157.66,-1.06,-0.67
08 Jun 2020,159.90,159.99,157.40,158.72,3.32,2.14
05 Jun 2020,156.22,156.50,154.68,155.40,-0.74,-0.47
04 Jun 2020,157.49,158.33,156.00,156.14,-1.21,-0.77
03 Jun 2020,158.00,159.90,156.50,157.35,1.56,1.00
02 Jun 2020,156.75,157.70,155.55,155.79,-0.87,-0.56
01 Jun 2020,159.00,159.50,155.81,156.66,-1.70,-1.07
29 May 2020,160.00,161.90,157.60,158.36,-1.60,-1.00
28 May 2020,160.49,161.00,159.00,159.96,-1.27,-0.79
21 May 2020,163.00,163.90,160.62,161.23,-1.41,-0.87
20 May 2020,163.99,166.50,161.62,162.64,0.63,0.39
19 May 2020,162.50,164.60,161.50,162.01,0.78,0.48
18 May 2020,166.00,167.00,160.26,161.23,-1.66,-1.02
15 May 2020,163.50,164.00,161.55,162.89,0.94,0.58
14 May 2020,162.80,163.00,160.60,161.95,-0.17,-0.10
13 May 2020,160.50,163.89,159.59,162.12,2.57,1.61
12 May 2020,159.00,160.49,157.70,159.55,1.15,0.73
11 May 2020,162.00,162.00,157.50,158.40,-1.71,-1.07
08 May 2020,160.00,161.00,158.51,160.11,1.22,0.77
07 May 2020,160.10,161.74,158.40,158.89,-3.22,-1.99
06 May 2020,165.75,165.75,161.01,162.11,0.13,0.08
05 May 2020,162.60,163.90,159.20,161.98,4.96,3.16
04 May 2020,152.40,160.97,151.00,157.02,2.60,1.68
30 Apr 2020,148.00,155.00,148.00,154.42,9.86,6.82
29 Apr 2020,146.60,148.25,140.15,144.56,-0.37,-0.26
28 Apr 2020,138.90,145.50,138.50,144.93,4.36,3.10
27 Apr 2020,142.93,142.93,138.56,140.57,-3.37,-2.34
24 Apr 2020,148.70,148.70,143.50,143.94,-3.35,-2.27
23 Apr 2020,145.90,148.01,143.00,147.29,6.92,4.93
22 Apr 2020,134.90,141.98,133.90,140.37,1.16,0.83
21 Apr 2020,144.10,146.85,139.00,139.21,-11.05,-7.35
20 Apr 2020,155.73,155.73,147.00,150.26,5.39,3.72
17 Apr 2020,144.87,144.87,142.99,144.87,10.10,7.49
16 Apr 2020,133.10,136.30,132.77,134.77,1.00,0.75
15 Apr 2020,134.00,136.99,132.03,133.77,-0.12,-0.09
14 Apr 2020,133.01,135.61,132.00,133.89,0.51,0.38
13 Apr 2020,142.00,142.50,131.75,133.38,-7.88,-5.58
10 Apr 2020,139.00,142.00,137.05,141.26,-0.66,-0.47
09 Apr 2020,137.00,143.00,135.70,141.92,8.65,6.49
08 Apr 2020,132.90,134.49,131.00,133.27,-0.75,-0.56
07 Apr 2020,133.50,135.70,131.01,134.02,2.13,1.61
06 Apr 2020,140.00,140.00,130.70,131.89,-6.51,-4.70
03 Apr 2020,135.00,139.04,134.00,138.40,9.06,7.00
02 Apr 2020,122.00,129.34,121.01,129.34,9.02,7.50
01 Apr 2020,120.70,124.39,117.99,120.32,-1.18,-0.97
31 Mar 2020,116.50,123.30,115.90,121.50,6.32,5.49
30 Mar 2020,112.90,115.75,109.00,115.18,0.71,0.62
27 Mar 2020,112.01,115.30,111.40,114.47,0.49,0.43
26 Mar 2020,116.50,121.00,113.00,113.98,-2.39,-2.05
25 Mar 2020,129.99,129.99,116.23,116.37,-9.28,-7.39
24 Mar 2020,125.65,125.65,125.65,125.65,-10.18,-7.49
20 Mar 2020,137.75,139.97,131.55,135.83,3.97,3.01
19 Mar 2020,123.19,137.90,123.19,131.86,-1.31,-0.98
18 Mar 2020,140.00,144.90,133.17,133.17,-10.79,-7.50
17 Mar 2020,148.00,152.00,140.16,143.96,-2.87,-1.95
16 Mar 2020,154.01,155.80,146.61,146.83,-11.66,-7.36
13 Mar 2020,147.00,160.00,143.00,158.49,6.79,4.48
12 Mar 2020,155.50,157.50,150.11,151.70,-9.43,-5.85
11 Mar 2020,166.24,168.70,159.70,161.13,-2.82,-1.72
10 Mar 2020,155.00,163.95,155.00,163.95,10.72,7.00
09 Mar 2020,153.23,153.23,153.23,153.23,-11.53,-7.00
06 Mar 2020,170.00,170.90,164.00,164.76,-8.78,-5.06
05 Mar 2020,171.00,176.84,170.30,173.54,4.98,2.95
04 Mar 2020,169.89,172.27,167.55,168.56,-1.43,-0.84
03 Mar 2020,175.00,176.39,168.63,169.99,-2.34,-1.36
02 Mar 2020,166.00,172.99,166.00,172.33,7.46,4.52
28 Feb 2020,166.00,169.98,164.00,164.87,-2.07,-1.24
27 Feb 2020,164.00,167.70,162.00,166.94,-2.38,-1.41
26 Feb 2020,175.40,175.40,168.01,169.32,-5.53,-3.16
25 Feb 2020,173.70,177.00,173.50,174.85,0.61,0.35
