date,open,high,low,close,change,volume
23 Jun 2021,130.00,131.05,128.95,129.07,-0.98,-0.75
22 Jun 2021,131.94,133.39,129.49,130.05,-1.89,-1.43
21 Jun 2021,134.95,135.00,131.10,131.94,-2.58,-1.92
18 Jun 2021,132.40,135.50,131.25,134.52,2.40,1.82
17 Jun 2021,133.38,134.99,131.03,132.12,-1.64,-1.23
16 Jun 2021,137.00,137.05,133.10,133.76,-2.08,-1.53
15 Jun 2021,135.70,138.75,134.31,135.84,0.36,0.27
14 Jun 2021,136.90,136.90,132.70,135.48,3.34,2.53
11 Jun 2021,133.60,134.50,131.55,132.14,-1.68,-1.26
10 Jun 2021,134.00,135.50,133.20,133.82,0.20,0.15
09 Jun 2021,135.50,137.30,133.02,133.62,-1.52,-1.12
08 Jun 2021,136.50,137.25,134.50,135.14,-1.03,-0.76
07 Jun 2021,134.20,137.25,133.55,136.17,2.64,1.98
04 Jun 2021,134.50,135.51,133.12,133.53,-0.40,-0.30
03 Jun 2021,135.20,136.50,133.50,133.93,-0.61,-0.45
02 Jun 2021,134.46,136.50,132.50,134.54,0.08,0.06
01 Jun 2021,134.50,137.49,134.01,134.46,-0.89,-0.66
31 May 2021,130.50,137.70,129.60,135.35,6.67,5.18
28 May 2021,128.00,131.99,127.00,128.68,0.64,0.50
27 May 2021,130.00,131.00,127.75,128.04,-1.96,-1.51
26 May 2021,132.40,133.25,129.00,130.00,-0.98,-0.75
25 May 2021,132.10,133.80,130.40,130.98,0.06,0.05
24 May 2021,127.83,132.50,127.21,130.92,4.38,3.46
21 May 2021,124.75,127.49,124.60,126.54,1.47,1.18
20 May 2021,126.50,127.29,125.00,125.07,-0.53,-0.42
19 May 2021,127.60,129.65,124.90,125.60,-3.73,-2.88
18 May 2021,128.01,133.31,127.00,129.33,-0.63,-0.48
17 May 2021,125.75,130.50,125.75,129.96,6.34,5.13
06 May 2021,120.50,126.00,119.50,123.62,3.18,2.64
05 May 2021,119.90,122.00,118.52,120.44,2.55,2.16
04 May 2021,117.47,119.79,117.00,117.89,0.42,0.36
03 May 2021,119.51,121.88,116.50,117.47,-4.13,-3.40
30 Apr 2021,123.50,123.50,120.00,121.60,-2.36,-1.90
29 Apr 2021,126.80,126.85,123.25,123.96,-1.35,-1.08
28 Apr 2021,125.30,127.50,124.50,125.31,-1.11,-0.88
27 Apr 2021,126.25,127.50,125.15,126.42,0.28,0.22
26 Apr 2021,121.01,129.50,121.01,126.14,2.65,2.15
23 Apr 2021,125.00,125.00,121.01,123.49,-2.64,-2.09
22 Apr 2021,129.50,130.00,125.50,126.13,-3.57,-2.75
21 Apr 2021,131.81,132.60,128.55,129.70,-2.11,-1.60
20 Apr 2021,131.90,133.45,131.01,131.81,1.87,1.44
19 Apr 2021,132.75,133.00,129.01,129.94,-3.55,-2.66
16 Apr 2021,132.99,133.85,132.20,133.49,1.35,1.02
15 Apr 2021,132.60,134.02,131.20,132.14,-1.22,-0.91
14 Apr 2021,131.00,135.50,130.11,133.36,2.81,2.15
13 Apr 2021,128.50,131.00,127.11,130.55,1.87,1.45
12 Apr 2021,131.00,132.50,127.60,128.68,-2.63,-2.00
09 Apr 2021,130.90,132.70,129.15,131.31,1.23,0.95
08 Apr 2021,127.51,131.40,127.26,130.08,3.06,2.41
