date,open,high,low,close,change,volume
23 Jun 2021,547.99,553.99,544.75,546.08,-0.44,-0.08
22 Jun 2021,530.90,548.50,530.90,546.52,15.68,2.95
21 Jun 2021,520.00,535.00,519.10,530.84,9.90,1.90
18 Jun 2021,524.00,530.00,518.00,520.94,-2.91,-0.56
17 Jun 2021,515.20,539.99,508.00,523.85,2.18,0.42
16 Jun 2021,522.00,526.00,513.00,521.67,1.76,0.34
15 Jun 2021,526.00,536.00,519.00,519.91,-9.46,-1.79
14 Jun 2021,512.00,544.15,507.00,529.37,23.18,4.58
11 Jun 2021,507.99,511.25,503.00,506.19,3.78,0.75
10 Jun 2021,490.00,510.00,488.01,502.41,12.74,2.60
09 Jun 2021,499.90,499.90,488.25,489.67,-7.32,-1.47
08 Jun 2021,491.00,500.00,488.50,496.99,3.10,0.63
07 Jun 2021,481.00,509.89,477.55,493.89,14.08,2.93
04 Jun 2021,480.50,484.00,476.00,479.81,-0.18,-0.04
03 Jun 2021,476.01,487.50,476.01,479.99,-1.99,-0.41
02 Jun 2021,482.00,490.00,478.50,481.98,-3.03,-0.62
01 Jun 2021,489.00,489.00,478.50,485.01,-2.60,-0.53
31 May 2021,482.50,491.75,476.00,487.61,8.10,1.69
28 May 2021,451.10,489.28,451.10,479.51,24.36,5.35
27 May 2021,457.02,457.02,450.00,455.15,-2.81,-0.61
26 May 2021,454.00,460.00,450.00,457.96,7.78,1.73
25 May 2021,445.00,452.00,444.30,450.18,6.25,1.41
24 May 2021,436.99,451.00,430.00,443.93,12.65,2.93
21 May 2021,427.00,434.85,425.10,431.28,2.63,0.61
20 May 2021,438.00,438.00,412.05,428.65,-8.78,-2.01
19 May 2021,440.01,441.99,435.00,437.43,-5.87,-1.32
18 May 2021,442.00,449.00,440.25,443.30,-7.05,-1.57
17 May 2021,450.36,455.80,439.02,450.35,0.99,0.22
06 May 2021,448.50,453.00,446.40,449.36,-0.73,-0.16
05 May 2021,451.00,455.00,447.00,450.09,-0.44,-0.10
04 May 2021,453.99,454.85,446.00,450.53,5.31,1.19
03 May 2021,420.00,455.42,419.98,445.22,21.57,5.09
30 Apr 2021,432.00,432.00,417.00,423.65,-14.81,-3.38
29 Apr 2021,432.50,448.00,426.78,438.46,-3.82,-0.86
28 Apr 2021,442.10,448.98,440.00,442.28,-7.01,-1.56
27 Apr 2021,446.00,455.00,437.50,449.29,0.13,0.03
26 Apr 2021,438.08,458.99,436.00,449.16,11.05,2.52
23 Apr 2021,432.00,440.00,431.02,438.11,-5.35,-1.21
22 Apr 2021,456.01,456.15,435.10,443.46,-13.14,-2.88
21 Apr 2021,464.98,464.98,455.00,456.60,-7.31,-1.58
20 Apr 2021,465.00,466.40,458.00,463.91,-1.53,-0.33
19 Apr 2021,450.50,475.00,447.00,465.44,1.94,0.42
16 Apr 2021,461.00,467.00,461.00,463.50,1.65,0.36
15 Apr 2021,457.50,470.00,453.12,461.85,0.57,0.12
14 Apr 2021,459.00,462.70,456.80,461.28,5.42,1.19
13 Apr 2021,446.00,461.10,446.00,455.86,3.74,0.83
12 Apr 2021,460.00,466.00,450.00,452.12,-5.33,-1.17
09 Apr 2021,445.05,463.00,445.00,457.45,10.53,2.36
08 Apr 2021,444.00,451.50,442.11,446.92,2.69,0.61
07 Apr 2021,447.89,447.90,440.50,444.23,-3.64,-0.81
06 Apr 2021,433.10,450.00,433.10,447.87,14.46,3.34
05 Apr 2021,450.00,450.00,426.10,433.41,-24.83,-5.42
02 Apr 2021,460.25,460.25,454.20,458.24,-7.02,-1.51
01 Apr 2021,466.05,475.00,451.05,465.26,-5.27,-1.12
31 Mar 2021,463.00,478.00,450.00,470.53,10.47,2.28
30 Mar 2021,450.00,470.00,450.00,460.06,-7.16,-1.53
29 Mar 2021,459.87,475.00,425.00,467.22,9.99,2.18
26 Mar 2021,455.00,462.50,453.00,457.23,1.17,0.26
25 Mar 2021,455.00,472.00,454.05,456.06,1.34,0.29
24 Mar 2021,460.00,463.00,453.00,454.72,-4.77,-1.04
22 Mar 2021,464.50,465.00,441.00,459.49,17.01,3.84
19 Mar 2021,485.00,494.00,478.56,490.23,10.07,2.10
18 Mar 2021,490.00,495.00,475.00,480.16,-8.21,-1.68
17 Mar 2021,499.00,499.00,484.01,488.37,-4.01,-0.81
16 Mar 2021,489.99,494.99,478.00,492.38,8.70,1.80
15 Mar 2021,462.50,486.00,459.00,483.68,31.36,6.93
12 Mar 2021,440.00,459.68,425.00,452.32,24.71,5.78
11 Mar 2021,419.00,436.00,405.00,427.61,5.82,1.38
10 Mar 2021,454.50,455.00,418.17,421.79,-30.28,-6.70
09 Mar 2021,483.00,483.00,444.92,452.07,-28.92,-6.01
08 Mar 2021,497.00,497.00,478.00,480.99,-10.75,-2.19
05 Mar 2021,492.27,494.00,485.00,491.74,0.40,0.08
04 Mar 2021,490.00,504.00,477.80,491.34,-0.99,-0.20
03 Mar 2021,492.50,495.95,490.70,492.33,-1.45,-0.29
02 Mar 2021,495.00,497.99,491.01,493.78,-0.77,-0.16
01 Mar 2021,500.00,500.00,488.99,494.55,-6.59,-1.32
26 Feb 2021,491.00,506.00,488.88,501.14,8.01,1.62
25 Feb 2021,496.00,499.99,487.00,493.13,0.01,0.00
24 Feb 2021,491.52,498.00,487.50,493.12,-1.03,-0.21
23 Feb 2021,495.02,500.00,490.01,494.15,-5.38,-1.08
22 Feb 2021,502.80,504.97,493.50,499.53,-3.35,-0.67
19 Feb 2021,497.85,511.11,494.67,502.88,8.21,1.66
18 Feb 2021,497.00,498.50,489.50,494.67,-1.99,-0.40
17 Feb 2021,500.00,502.00,490.00,496.66,-3.04,-0.61
16 Feb 2021,503.99,506.99,498.00,499.70,2.74,0.55
15 Feb 2021,491.61,511.00,488.99,496.96,17.67,3.69
12 Feb 2021,465.01,500.40,457.00,479.29,13.80,2.96
11 Feb 2021,480.00,482.00,463.00,465.49,-12.56,-2.63
10 Feb 2021,494.00,494.00,475.00,478.05,-12.52,-2.55
09 Feb 2021,480.11,493.00,480.11,490.57,3.33,0.68
08 Feb 2021,483.00,490.00,481.01,487.24,5.09,1.06
04 Feb 2021,475.50,485.00,470.00,482.15,10.68,2.27
03 Feb 2021,468.10,478.00,467.56,471.47,4.84,1.04
02 Feb 2021,466.00,471.55,463.16,466.63,1.66,0.36
01 Feb 2021,464.29,467.00,460.00,464.97,3.67,0.80
29 Jan 2021,464.00,472.00,458.00,461.30,-4.59,-0.99
28 Jan 2021,489.00,493.00,464.55,465.89,-16.49,-3.42
27 Jan 2021,481.97,485.14,476.00,482.38,2.47,0.51
26 Jan 2021,479.99,485.00,475.12,479.91,4.82,1.01
25 Jan 2021,473.99,494.00,469.00,475.09,6.46,1.38
22 Jan 2021,463.00,474.00,452.50,468.63,11.32,2.48
21 Jan 2021,442.50,460.50,442.00,457.31,11.15,2.50
20 Jan 2021,455.00,458.50,433.02,446.16,-6.47,-1.43
19 Jan 2021,466.40,466.40,451.00,452.63,-8.41,-1.82
18 Jan 2021,470.00,476.88,458.50,461.04,-7.86,-1.68
15 Jan 2021,463.50,480.00,462.80,468.90,6.10,1.32
14 Jan 2021,454.99,472.00,453.00,462.80,11.84,2.63
13 Jan 2021,429.99,454.32,427.00,450.96,28.32,6.70
12 Jan 2021,417.05,427.00,411.00,422.64,7.93,1.91
11 Jan 2021,420.00,420.00,413.60,414.71,-2.01,-0.48
08 Jan 2021,418.78,424.75,413.00,416.72,2.48,0.60
07 Jan 2021,404.01,418.00,404.01,414.24,9.15,2.26
06 Jan 2021,398.07,412.12,397.00,405.09,8.00,2.01
05 Jan 2021,399.00,404.00,395.21,397.09,-1.45,-0.36
04 Jan 2021,414.00,414.12,392.99,398.54,-19.61,-4.69
01 Jan 2021,422.90,427.00,415.05,418.15,-1.08,-0.26
31 Dec 2020,425.00,432.49,415.00,419.23,0.02,0.00
30 Dec 2020,399.00,423.50,399.00,419.21,17.88,4.46
29 Dec 2020,404.00,405.00,400.00,401.33,-2.91,-0.72
28 Dec 2020,407.00,409.00,401.00,404.24,-4.56,-1.12
24 Dec 2020,398.99,413.00,396.01,408.80,13.34,3.37
23 Dec 2020,395.20,400.21,390.00,395.46,0.28,0.07
22 Dec 2020,400.00,405.00,372.00,395.18,-4.88,-1.22
21 Dec 2020,403.00,407.05,398.80,400.06,-1.17,-0.29
18 Dec 2020,400.00,409.00,397.37,401.23,-1.28,-0.32
17 Dec 2020,402.00,409.00,391.10,402.51,9.82,2.50
16 Dec 2020,369.00,392.69,368.00,392.69,27.39,7.50
15 Dec 2020,371.00,374.90,361.02,365.30,-4.44,-1.20
14 Dec 2020,371.00,375.99,367.00,369.74,-0.96,-0.26
11 Dec 2020,375.00,377.99,369.00,370.70,-3.05,-0.82
10 Dec 2020,374.00,386.50,367.99,373.75,0.33,0.09
09 Dec 2020,378.00,385.00,372.00,373.42,-5.06,-1.34
08 Dec 2020,387.00,393.80,375.01,378.48,-8.51,-2.20
07 Dec 2020,378.00,397.50,378.00,386.99,3.00,0.78
04 Dec 2020,381.11,390.00,381.11,383.99,0.96,0.25
03 Dec 2020,372.95,392.50,360.60,383.03,15.73,4.28
02 Dec 2020,370.00,374.80,363.00,367.30,-1.85,-0.50
01 Dec 2020,370.00,378.98,366.00,369.15,1.15,0.31
30 Nov 2020,365.00,373.50,362.00,368.00,4.31,1.19
27 Nov 2020,362.00,375.00,347.00,363.69,2.18,0.60
26 Nov 2020,360.50,366.50,356.00,361.51,9.24,2.62
25 Nov 2020,329.98,352.71,329.98,352.27,24.16,7.36
24 Nov 2020,324.90,330.50,320.20,328.11,7.83,2.44
23 Nov 2020,329.50,329.50,315.00,320.28,-7.77,-2.37
20 Nov 2020,336.70,336.70,325.00,328.05,-8.64,-2.57
19 Nov 2020,341.99,343.00,334.00,336.69,-2.84,-0.84
18 Nov 2020,339.00,344.00,336.00,339.53,-0.78,-0.23
17 Nov 2020,355.00,355.00,338.00,340.31,-8.15,-2.34
16 Nov 2020,354.00,374.00,335.00,348.46,-5.71,-1.61
13 Nov 2020,334.98,358.00,329.00,354.17,18.54,5.52
12 Nov 2020,319.00,338.00,319.00,335.63,18.46,5.82
11 Nov 2020,310.50,321.00,310.25,317.17,3.74,1.19
10 Nov 2020,310.10,321.45,303.00,313.43,4.39,1.42
09 Nov 2020,309.00,314.00,307.50,309.04,1.62,0.53
06 Nov 2020,304.00,311.00,301.01,307.42,3.42,1.13
05 Nov 2020,306.25,308.50,300.15,304.00,0.29,0.10
04 Nov 2020,310.00,310.05,302.00,303.71,-4.35,-1.41
03 Nov 2020,301.00,309.70,297.15,308.06,12.64,4.28
02 Nov 2020,300.00,300.00,286.00,295.42,-5.18,-1.72
29 Oct 2020,298.10,304.50,289.20,300.60,-5.61,-1.83
28 Oct 2020,304.00,318.00,297.10,306.21,-2.85,-0.92
27 Oct 2020,304.27,315.00,304.25,309.06,2.97,0.97
26 Oct 2020,289.97,311.29,289.97,306.09,16.51,5.70
23 Oct 2020,291.00,291.70,285.00,289.58,-2.37,-0.81
22 Oct 2020,296.00,299.98,288.01,291.95,-4.75,-1.60
21 Oct 2020,283.00,301.88,281.52,296.70,15.47,5.50
20 Oct 2020,278.10,283.00,277.47,281.23,3.76,1.36
19 Oct 2020,279.00,284.90,275.05,277.47,1.96,0.71
16 Oct 2020,279.00,279.00,271.00,275.51,-4.37,-1.56
15 Oct 2020,280.16,287.50,278.17,279.88,1.01,0.36
14 Oct 2020,280.00,282.00,276.00,278.87,0.55,0.20
13 Oct 2020,283.11,288.00,276.00,278.32,-4.83,-1.71
12 Oct 2020,283.00,287.00,282.51,283.15,-0.95,-0.33
09 Oct 2020,285.00,290.00,275.00,284.10,1.37,0.48
08 Oct 2020,277.00,292.87,276.26,282.73,6.51,2.36
07 Oct 2020,262.01,280.30,260.01,276.22,15.47,5.93
06 Oct 2020,259.15,265.00,253.00,260.75,1.61,0.62
05 Oct 2020,256.70,262.50,254.57,259.14,-5.08,-1.92
02 Oct 2020,272.00,279.00,261.55,264.22,-7.08,-2.61
01 Oct 2020,276.50,276.50,256.50,271.30,-0.74,-0.27
30 Sep 2020,280.75,283.44,270.00,272.04,-11.33,-4.00
29 Sep 2020,290.02,291.98,277.12,283.37,-6.66,-2.30
28 Sep 2020,297.00,301.00,288.00,290.03,-9.93,-3.31
25 Sep 2020,296.07,312.00,296.07,299.96,0.48,0.16
24 Sep 2020,295.01,300.50,289.00,299.48,4.30,1.46
23 Sep 2020,292.01,298.20,292.01,295.18,-1.93,-0.65
22 Sep 2020,299.00,299.00,290.00,297.11,-1.95,-0.65
21 Sep 2020,301.10,303.85,296.00,299.06,-2.57,-0.85
18 Sep 2020,296.50,312.89,296.05,301.63,5.45,1.84
17 Sep 2020,299.90,299.90,295.00,296.18,0.35,0.12
16 Sep 2020,289.00,298.50,288.00,295.83,6.82,2.36
15 Sep 2020,293.99,299.90,288.00,289.01,-3.52,-1.20
14 Sep 2020,301.00,302.97,291.34,292.53,-4.98,-1.67
11 Sep 2020,304.00,310.00,283.50,297.51,-3.54,-1.18
10 Sep 2020,313.99,316.99,300.00,301.05,-7.44,-2.41
09 Sep 2020,306.50,322.00,293.01,308.49,1.99,0.65
08 Sep 2020,306.50,306.50,299.99,306.50,21.38,7.50
