date,open,high,low,close,change,volume
23 Jun 2021,162.75,164.25,160.21,161.16,-1.44,-0.89
22 Jun 2021,163.49,164.85,162.20,162.60,-0.70,-0.43
21 Jun 2021,165.25,165.60,162.50,163.30,-1.20,-0.73
18 Jun 2021,162.51,167.25,162.00,164.50,1.77,1.09
17 Jun 2021,164.50,166.30,162.12,162.73,-2.61,-1.58
16 Jun 2021,168.50,169.00,164.80,165.34,-0.48,-0.29
15 Jun 2021,164.00,168.99,161.01,165.82,2.56,1.57
14 Jun 2021,172.00,172.00,161.00,163.26,-5.57,-3.30
11 Jun 2021,173.50,174.50,168.02,168.83,-2.74,-1.60
10 Jun 2021,162.50,171.80,159.82,171.57,11.75,7.35
09 Jun 2021,167.99,169.00,162.50,164.22,-4.39,-2.60
08 Jun 2021,176.25,177.50,165.30,168.61,-6.85,-3.90
07 Jun 2021,178.50,181.00,175.00,175.46,-2.33,-1.31
04 Jun 2021,178.38,180.50,176.71,177.79,-0.59,-0.33
03 Jun 2021,174.62,182.98,174.25,178.38,4.05,2.32
02 Jun 2021,176.99,176.99,173.20,174.33,-1.33,-0.76
01 Jun 2021,176.50,178.17,174.98,175.66,-0.74,-0.42
31 May 2021,177.95,179.30,175.00,176.40,0.48,0.27
28 May 2021,179.99,179.99,175.00,175.92,-4.40,-2.44
27 May 2021,178.99,183.25,176.56,180.32,4.28,2.43
26 May 2021,173.40,177.48,172.60,176.04,6.62,3.91
25 May 2021,170.99,171.70,166.15,169.42,-0.89,-0.52
24 May 2021,176.00,177.29,169.00,170.31,-4.00,-2.29
21 May 2021,172.50,177.00,171.99,174.31,-0.39,-0.22
20 May 2021,176.05,182.00,172.81,174.70,-0.97,-0.55
19 May 2021,179.00,180.25,174.56,175.67,-6.50,-3.57
18 May 2021,178.49,184.20,173.70,182.17,3.99,2.24
17 May 2021,173.49,178.18,171.65,178.18,12.43,7.50
06 May 2021,163.50,167.10,158.75,165.75,3.39,2.09
05 May 2021,172.50,176.79,160.00,162.36,-4.96,-2.96
04 May 2021,155.40,168.34,155.05,167.32,10.72,6.85
03 May 2021,167.25,168.62,155.98,156.60,-12.02,-7.13
30 Apr 2021,185.00,185.49,165.01,168.62,-9.71,-5.44
29 Apr 2021,177.75,182.49,177.01,178.33,0.93,0.52
28 Apr 2021,181.50,181.80,176.10,177.40,-1.93,-1.08
27 Apr 2021,182.00,185.00,177.50,179.33,-2.36,-1.30
26 Apr 2021,176.75,186.49,174.50,181.69,5.52,3.13
23 Apr 2021,169.45,182.00,167.80,176.17,4.54,2.65
22 Apr 2021,174.25,174.50,169.00,171.63,-1.59,-0.92
21 Apr 2021,169.49,177.38,167.00,173.22,8.21,4.98
20 Apr 2021,163.00,165.01,159.40,165.01,11.51,7.50
19 Apr 2021,162.50,165.25,152.81,153.50,-11.69,-7.08
16 Apr 2021,165.00,168.35,164.10,165.19,1.43,0.87
15 Apr 2021,165.99,166.30,162.10,163.76,-1.62,-0.98
14 Apr 2021,163.40,167.20,159.80,165.38,2.95,1.82
13 Apr 2021,166.00,169.70,159.00,162.43,-6.26,-3.71
12 Apr 2021,162.10,171.00,158.50,168.69,9.08,5.69
09 Apr 2021,152.00,159.61,151.10,159.61,11.13,7.50
08 Apr 2021,139.40,148.48,138.31,148.48,10.35,7.49
07 Apr 2021,140.50,141.50,133.75,138.13,1.09,0.80
06 Apr 2021,130.00,137.04,129.25,137.04,9.56,7.50
05 Apr 2021,137.50,138.20,126.01,127.48,-8.74,-6.42
02 Apr 2021,140.99,143.00,133.52,136.22,-3.93,-2.80
01 Apr 2021,153.01,154.60,138.95,140.15,-10.06,-6.70
31 Mar 2021,159.00,163.95,145.20,150.21,-4.80,-3.10
30 Mar 2021,150.00,158.48,148.40,155.01,0.57,0.37
29 Mar 2021,164.00,164.01,154.16,154.44,-12.21,-7.33
26 Mar 2021,162.00,169.02,161.56,166.65,0.97,0.59
25 Mar 2021,159.49,167.25,155.85,165.68,9.83,6.31
24 Mar 2021,145.51,155.85,143.00,155.85,10.87,7.50
22 Mar 2021,139.00,146.50,137.24,144.98,4.02,2.85
19 Mar 2021,137.00,145.00,131.01,140.96,2.37,1.71
18 Mar 2021,147.89,147.89,136.81,138.59,-9.31,-6.29
17 Mar 2021,143.79,149.04,143.50,147.90,9.25,6.67
16 Mar 2021,132.49,138.65,131.10,138.65,9.67,7.50
15 Mar 2021,124.50,128.98,123.90,128.98,8.99,7.49
12 Mar 2021,115.00,126.99,111.53,119.99,-0.34,-0.28
11 Mar 2021,127.99,130.00,120.33,120.33,-9.75,-7.50
10 Mar 2021,138.25,138.90,127.21,130.08,-7.08,-5.16
