date,open,high,low,close,change,volume
23 Jun 2021,80.50,81.00,80.35,80.67,0.02,0.02
22 Jun 2021,80.73,81.10,80.30,80.65,-0.10,-0.12
21 Jun 2021,80.50,81.50,79.80,80.75,0.27,0.34
18 Jun 2021,80.25,81.25,79.75,80.48,-0.12,-0.15
17 Jun 2021,81.25,81.50,80.30,80.60,-1.37,-1.67
16 Jun 2021,81.50,83.21,80.78,81.97,1.19,1.47
15 Jun 2021,78.50,81.25,78.20,80.78,2.28,2.90
14 Jun 2021,79.50,79.50,78.25,78.50,0.04,0.05
11 Jun 2021,78.80,79.25,78.30,78.46,-0.07,-0.09
10 Jun 2021,78.56,79.11,78.00,78.53,-0.58,-0.73
09 Jun 2021,80.02,80.60,79.00,79.11,-0.79,-0.99
08 Jun 2021,80.05,81.00,79.50,79.90,-0.25,-0.31
07 Jun 2021,82.10,82.10,79.61,80.15,0.54,0.68
04 Jun 2021,79.61,80.99,79.00,79.61,0.13,0.16
03 Jun 2021,80.10,80.49,79.25,79.48,-0.05,-0.06
02 Jun 2021,80.00,80.00,78.85,79.53,-0.48,-0.60
01 Jun 2021,79.40,80.35,79.01,80.01,0.95,1.20
31 May 2021,78.30,79.50,78.30,79.06,1.10,1.41
28 May 2021,77.80,79.50,77.21,77.96,0.49,0.63
27 May 2021,77.97,78.05,76.10,77.47,-0.02,-0.03
26 May 2021,76.53,78.25,76.53,77.49,0.77,1.00
25 May 2021,77.85,78.00,76.50,76.72,-0.85,-1.10
24 May 2021,78.35,79.00,77.21,77.57,-0.54,-0.69
21 May 2021,77.85,78.35,77.50,78.11,0.29,0.37
20 May 2021,78.44,78.44,77.36,77.82,-0.25,-0.32
19 May 2021,79.70,79.70,78.00,78.07,-0.95,-1.20
18 May 2021,78.99,79.90,78.60,79.02,0.22,0.28
17 May 2021,79.15,80.10,77.00,78.80,0.33,0.42
06 May 2021,80.00,80.50,78.00,78.47,-0.03,-0.04
05 May 2021,76.50,79.67,76.20,78.50,4.33,5.84
04 May 2021,74.25,75.39,73.90,74.17,0.44,0.60
03 May 2021,75.98,75.98,73.50,73.73,-1.23,-1.64
30 Apr 2021,76.30,76.50,74.50,74.96,-1.33,-1.74
29 Apr 2021,77.10,77.50,76.12,76.29,-0.60,-0.78
28 Apr 2021,78.40,79.70,76.66,76.89,-0.71,-0.91
27 Apr 2021,79.10,80.50,77.11,77.60,-1.50,-1.90
26 Apr 2021,75.11,79.80,75.10,79.10,3.43,4.53
23 Apr 2021,75.92,76.87,75.01,75.67,-1.20,-1.56
22 Apr 2021,77.15,77.65,76.40,76.87,-0.85,-1.09
21 Apr 2021,77.76,78.75,77.45,77.72,0.05,0.06
20 Apr 2021,78.25,79.00,77.20,77.67,-0.02,-0.03
19 Apr 2021,78.99,78.99,77.51,77.69,-1.35,-1.71
16 Apr 2021,79.00,79.60,78.80,79.04,0.32,0.41
15 Apr 2021,79.25,79.25,78.60,78.72,-0.27,-0.34
14 Apr 2021,79.50,79.70,78.85,78.99,-0.11,-0.14
13 Apr 2021,79.22,80.05,78.90,79.10,-0.82,-1.03
12 Apr 2021,80.11,80.13,79.12,79.92,-0.32,-0.40
09 Apr 2021,79.35,81.17,78.45,80.24,0.90,1.13
08 Apr 2021,78.69,79.45,77.85,79.34,1.29,1.65
07 Apr 2021,83.01,83.50,80.80,81.05,-1.24,-1.51
06 Apr 2021,80.45,82.55,80.45,82.29,1.84,2.29
05 Apr 2021,82.00,82.96,79.63,80.45,-1.30,-1.59
02 Apr 2021,81.99,81.99,81.50,81.75,-0.09,-0.11
01 Apr 2021,81.40,83.02,80.45,81.84,0.70,0.86
31 Mar 2021,82.35,82.90,80.00,81.14,-0.50,-0.61
30 Mar 2021,82.56,83.25,81.25,81.64,-1.41,-1.70
29 Mar 2021,84.31,84.31,82.52,83.05,-1.79,-2.11
26 Mar 2021,84.99,85.50,84.11,84.84,-0.07,-0.08
25 Mar 2021,85.50,86.00,84.60,84.91,-0.72,-0.84
24 Mar 2021,84.90,86.38,84.49,85.63,0.58,0.68
22 Mar 2021,82.80,86.76,82.60,85.05,1.81,2.17
19 Mar 2021,82.55,84.74,82.31,83.24,1.02,1.24
18 Mar 2021,83.90,84.25,81.91,82.22,-1.40,-1.67
17 Mar 2021,84.45,84.80,83.39,83.62,-0.17,-0.20
16 Mar 2021,85.50,86.50,83.52,83.79,-1.64,-1.92
15 Mar 2021,84.50,86.50,83.02,85.43,2.06,2.47
12 Mar 2021,81.15,83.97,81.10,83.37,2.67,3.31
11 Mar 2021,82.00,83.25,80.31,80.70,-1.45,-1.77
10 Mar 2021,83.75,84.30,81.90,82.15,-1.57,-1.88
09 Mar 2021,83.82,85.75,81.80,83.72,-0.30,-0.36
08 Mar 2021,87.00,87.00,83.40,84.02,-2.15,-2.50
05 Mar 2021,84.61,87.70,83.55,86.17,0.81,0.95
04 Mar 2021,84.00,85.70,83.50,85.36,-1.49,-1.72
03 Mar 2021,86.35,87.89,86.30,86.85,0.52,0.60
02 Mar 2021,84.30,87.00,84.30,86.33,1.40,1.65
01 Mar 2021,85.42,86.20,83.30,84.93,-0.49,-0.57
26 Feb 2021,85.01,87.90,85.00,85.42,0.61,0.72
25 Feb 2021,84.95,85.40,84.15,84.81,0.80,0.95
24 Feb 2021,84.99,85.48,83.50,84.01,-0.96,-1.13
23 Feb 2021,84.70,85.20,84.40,84.97,0.43,0.51
22 Feb 2021,85.50,85.50,84.11,84.54,-0.50,-0.59
19 Feb 2021,85.65,86.00,84.91,85.04,-0.19,-0.22
