date,open,high,low,close,change,volume
23 Jun 2021,253.99,254.27,250.50,251.22,-0.81,-0.32
22 Jun 2021,254.00,259.00,251.50,252.03,-2.06,-0.81
21 Jun 2021,255.49,257.79,253.10,254.09,-1.59,-0.62
18 Jun 2021,254.00,257.48,253.00,255.68,0.94,0.37
17 Jun 2021,254.00,256.01,253.00,254.74,-1.01,-0.39
16 Jun 2021,257.26,260.90,254.05,255.75,-2.45,-0.95
15 Jun 2021,256.00,262.00,253.50,258.20,3.01,1.18
14 Jun 2021,260.90,266.15,241.00,255.19,-1.79,-0.70
11 Jun 2021,257.50,259.00,253.05,256.98,0.93,0.36
10 Jun 2021,253.50,258.14,253.50,256.05,2.78,1.10
09 Jun 2021,252.49,256.85,252.01,253.27,1.68,0.67
08 Jun 2021,251.99,253.50,248.11,251.59,-0.94,-0.37
07 Jun 2021,258.01,260.50,250.00,252.53,-3.21,-1.26
04 Jun 2021,253.50,260.40,253.50,255.74,2.75,1.09
03 Jun 2021,249.65,256.04,248.40,252.99,3.34,1.34
02 Jun 2021,248.10,251.90,246.01,249.65,1.69,0.68
01 Jun 2021,245.00,251.50,243.12,247.96,4.58,1.88
31 May 2021,238.92,245.95,238.92,243.38,4.91,2.06
28 May 2021,241.00,242.03,238.01,238.47,-2.05,-0.85
27 May 2021,240.00,244.50,237.55,240.52,1.33,0.56
26 May 2021,239.10,242.00,238.67,239.19,0.90,0.38
25 May 2021,240.74,241.99,238.00,238.29,-2.45,-1.02
24 May 2021,246.00,246.00,239.50,240.74,-2.83,-1.16
21 May 2021,241.43,249.00,241.39,243.57,2.14,0.89
20 May 2021,236.51,247.50,236.51,241.43,5.33,2.26
19 May 2021,235.00,239.79,233.99,236.10,-0.58,-0.25
18 May 2021,234.00,242.00,231.13,236.68,3.76,1.61
17 May 2021,233.00,233.98,231.00,232.92,2.46,1.07
06 May 2021,231.95,232.00,228.50,230.46,0.17,0.07
05 May 2021,234.98,234.98,230.00,230.29,1.65,0.72
04 May 2021,231.98,232.00,228.00,228.64,0.35,0.15
03 May 2021,228.95,232.00,222.61,228.29,0.58,0.25
30 Apr 2021,237.90,238.00,226.00,227.71,-9.18,-3.88
29 Apr 2021,242.48,242.50,235.60,236.89,-2.77,-1.16
28 Apr 2021,238.00,245.00,234.26,239.66,-8.04,-3.25
27 Apr 2021,254.00,261.21,246.00,247.70,-4.91,-1.94
26 Apr 2021,232.00,252.61,231.00,252.61,17.62,7.50
23 Apr 2021,236.00,236.00,231.85,234.99,-1.53,-0.65
22 Apr 2021,240.50,240.50,235.75,236.52,-2.94,-1.23
21 Apr 2021,243.95,244.00,238.00,239.46,-3.34,-1.38
20 Apr 2021,241.50,244.88,241.50,242.80,3.73,1.56
19 Apr 2021,241.80,241.80,237.50,239.07,-3.30,-1.36
16 Apr 2021,244.00,245.88,242.00,242.37,-1.51,-0.62
15 Apr 2021,245.94,246.60,243.50,243.88,-1.40,-0.57
14 Apr 2021,244.75,245.70,242.16,245.28,1.98,0.81
13 Apr 2021,242.00,244.00,240.50,243.30,0.87,0.36
12 Apr 2021,250.00,250.00,239.01,242.43,-8.27,-3.30
09 Apr 2021,249.01,252.00,247.56,250.70,1.58,0.63
08 Apr 2021,247.00,250.87,244.05,249.12,3.81,1.55
07 Apr 2021,251.59,252.00,244.00,245.31,-6.28,-2.50
06 Apr 2021,245.02,252.87,245.00,251.59,6.29,2.56
05 Apr 2021,255.00,255.05,244.00,245.30,-9.29,-3.65
02 Apr 2021,261.00,261.99,252.02,254.59,-4.63,-1.79
01 Apr 2021,247.01,262.00,245.00,259.22,12.19,4.93
31 Mar 2021,249.00,252.50,246.00,247.03,0.77,0.31
30 Mar 2021,245.50,250.95,242.60,246.26,0.06,0.02
29 Mar 2021,251.26,253.90,244.00,246.20,-5.79,-2.30
26 Mar 2021,252.10,255.85,251.00,251.99,-0.95,-0.38
25 Mar 2021,256.50,256.50,252.25,252.94,-2.00,-0.78
24 Mar 2021,253.00,255.73,250.21,254.94,2.50,0.99
22 Mar 2021,252.05,253.98,248.11,252.44,0.39,0.15
19 Mar 2021,251.00,254.00,248.00,252.05,2.64,1.06
18 Mar 2021,257.01,257.50,247.16,249.41,-7.56,-2.94
17 Mar 2021,259.00,260.49,255.00,256.97,0.37,0.14
16 Mar 2021,260.00,260.00,253.50,256.60,-1.89,-0.73
15 Mar 2021,247.00,260.00,246.01,258.49,14.81,6.08
12 Mar 2021,238.88,245.50,234.00,243.68,7.53,3.19
11 Mar 2021,248.00,250.00,235.00,236.15,-11.87,-4.79
10 Mar 2021,252.25,253.40,246.75,248.02,-3.02,-1.20
09 Mar 2021,259.51,260.00,250.00,251.04,-8.64,-3.33
08 Mar 2021,271.20,273.00,257.16,259.68,-8.80,-3.28
05 Mar 2021,265.50,271.02,263.00,268.48,4.02,1.52
04 Mar 2021,263.25,269.70,263.25,264.46,-8.33,-3.05
03 Mar 2021,273.50,275.88,271.50,272.79,-0.18,-0.07
02 Mar 2021,266.01,273.98,266.01,272.97,4.25,1.58
01 Mar 2021,272.10,272.89,263.89,268.72,-3.50,-1.29
26 Feb 2021,264.00,277.00,262.25,272.22,8.36,3.17
25 Feb 2021,265.29,267.00,262.75,263.86,0.57,0.22
24 Feb 2021,269.15,270.89,262.75,263.29,-7.11,-2.63
23 Feb 2021,270.55,273.00,268.50,270.40,-0.94,-0.35
22 Feb 2021,272.07,273.42,268.39,271.34,-0.29,-0.11
19 Feb 2021,273.50,276.77,271.00,271.63,-3.42,-1.24
18 Feb 2021,279.00,280.00,273.50,275.05,-1.57,-0.57
17 Feb 2021,276.49,280.00,274.01,276.62,1.67,0.61
16 Feb 2021,275.00,279.50,273.10,274.95,2.24,0.82
15 Feb 2021,263.00,274.99,260.11,272.71,11.69,4.48
12 Feb 2021,260.05,264.98,259.01,261.02,-0.95,-0.36
11 Feb 2021,267.45,270.00,261.00,261.97,-4.19,-1.57
10 Feb 2021,269.78,270.00,265.15,266.16,-3.62,-1.34
09 Feb 2021,273.13,274.45,268.01,269.78,-3.21,-1.18
08 Feb 2021,278.11,278.49,271.61,272.99,-3.84,-1.39
04 Feb 2021,284.90,288.49,275.00,276.83,-5.28,-1.87
