date,open,high,low,close,change,volume
23 Jun 2021,129.69,129.69,126.90,127.58,-0.45,-0.35
22 Jun 2021,127.30,128.99,126.80,128.03,0.59,0.46
21 Jun 2021,128.00,129.50,127.00,127.44,-0.52,-0.41
18 Jun 2021,128.11,129.99,127.71,127.96,-1.00,-0.78
17 Jun 2021,130.00,130.00,128.66,128.96,-1.18,-0.91
16 Jun 2021,131.12,131.51,128.00,130.14,-1.19,-0.91
15 Jun 2021,131.71,132.87,131.00,131.33,-0.93,-0.70
14 Jun 2021,131.02,133.00,131.00,132.26,0.83,0.63
11 Jun 2021,131.01,132.49,131.01,131.43,-0.06,-0.05
10 Jun 2021,129.00,132.59,128.51,131.49,2.15,1.66
09 Jun 2021,131.50,131.50,129.00,129.34,-1.14,-0.87
08 Jun 2021,131.00,131.00,130.00,130.48,-0.51,-0.39
07 Jun 2021,130.01,132.00,130.01,130.99,0.39,0.30
04 Jun 2021,129.92,131.00,129.00,130.60,1.43,1.11
03 Jun 2021,129.88,130.00,128.50,129.17,-0.37,-0.29
02 Jun 2021,130.50,130.50,129.00,129.54,0.20,0.15
01 Jun 2021,129.85,131.30,129.20,129.34,0.07,0.05
31 May 2021,129.98,132.90,128.51,129.27,0.05,0.04
28 May 2021,129.50,130.10,127.00,129.22,0.34,0.26
27 May 2021,129.80,132.00,128.00,128.88,0.32,0.25
26 May 2021,128.00,129.50,127.50,128.56,1.37,1.08
25 May 2021,124.49,129.11,124.00,127.19,2.74,2.20
24 May 2021,123.99,125.00,123.75,124.45,0.61,0.49
21 May 2021,121.99,124.44,121.99,123.84,2.18,1.79
20 May 2021,122.90,122.90,120.18,121.66,-0.85,-0.69
19 May 2021,122.75,123.00,121.26,122.51,0.51,0.42
18 May 2021,123.50,123.50,121.75,122.00,-0.63,-0.51
17 May 2021,123.05,125.00,122.25,122.63,-0.29,-0.24
06 May 2021,123.25,125.00,122.50,122.92,-1.78,-1.43
05 May 2021,125.80,125.80,123.02,124.70,1.68,1.37
04 May 2021,127.49,127.49,126.02,127.02,1.22,0.97
03 May 2021,127.90,127.90,124.26,125.80,-0.41,-0.32
