date,open,high,low,close,change,volume
23 Jun 2021,48016.64,48134.94,47873.14,47900.7,-86.44,237206903
22 Jun 2021,48030.28,48154.56,47931.78,47987.14,-25.38,209250013
21 Jun 2021,48252.41,48370.42,47963.97,48012.52,-226.15,227403647
18 Jun 2021,48156.71,48411.87,48022.72,48238.67,81.04,304366997
17 Jun 2021,48478.62,48544.65,48115.84,48157.63,-323.27,290742124
16 Jun 2021,48636.31,48878.2,48431.96,48480.9,-151.66,409175859
15 Jun 2021,48758.17,48841.47,48511.58,48632.56,-93.52,699381522
14 Jun 2021,48374.78,48981.82,48304.72,48726.08,421.36,507488762
11 Jun 2021,48261.48,48531.4,48245.4,48304.72,53.23,373933118
10 Jun 2021,47783.17,48287.52,47777.62,48251.49,473.87,296571812
09 Jun 2021,48161.22,48311.92,47725.94,47777.62,-370.36,296727403
08 Jun 2021,48305.58,48409.88,48000.26,48147.98,-154.68,265113800
07 Jun 2021,48241.79,48632.95,48211.7,48302.66,90.96,320037887
04 Jun 2021,48137.6,48426.53,48093.53,48211.7,118.17,317434552
03 Jun 2021,48144.09,48434.4,48010.32,48093.53,-33.37,253507625
02 Jun 2021,48240.76,48286.46,47960.46,48126.9,-64.36,361191723
01 Jun 2021,47910.65,48237.61,47896.34,48191.26,294.92,456371011
31 May 2021,47150.49,47979.68,47126.29,47896.34,770.05,409980135
28 May 2021,46789.55,47246.5,46698.23,47126.29,335.54,223696244
27 May 2021,46822.42,47204.13,46675.69,46790.75,-21.56,512472483
26 May 2021,46329.76,46856.27,46300.66,46812.31,511.65,306272522
25 May 2021,46121.47,46369.19,46048.84,46300.66,203.55,224827398
24 May 2021,45961.7,46314.83,45914.98,46097.11,182.13,191697769
21 May 2021,45574.46,45948.11,45560.13,45914.98,340.91,294853032
20 May 2021,45683.86,45831.12,45518.74,45574.07,-108.04,376148630
19 May 2021,45949.63,45981.82,45612.88,45682.11,-299.71,297556614
18 May 2021,45835.13,46033.92,45618.78,45981.82,185.51,216311577
17 May 2021,45341.46,45806.98,45174.67,45796.31,621.64,201903651
06 May 2021,45098.81,45245.37,44889.59,45174.67,231.06,78642212
05 May 2021,44649.16,45173.61,44563.59,44943.61,380.02,129445703
04 May 2021,44068.58,44620.41,44076.2,44563.59,487.39,108320905
03 May 2021,44239.54,44326.01,43630.07,44076.2,-186.15,125276315
30 Apr 2021,44958.72,45056.9,44151.69,44262.35,-600.76,153942599
29 Apr 2021,45088.55,45143.34,44781.3,44863.11,-196.01,138959463
28 Apr 2021,45309.85,45588.94,45020.83,45059.12,-233.75,140915480
27 Apr 2021,45688.92,45937.68,45169.8,45292.87,-389.9,172204555
26 Apr 2021,44668.23,45952.45,44389.68,45682.77,976.01,204065636
23 Apr 2021,44895.95,44929.61,44363.4,44706.76,-222.85,96999702
22 Apr 2021,45332.98,45496.82,44882.75,44929.61,-376.93,139538852
21 Apr 2021,45458.82,45626.88,45226.18,45306.54,-93.24,171317725
20 Apr 2021,44950,45558.13,44913.57,45399.78,486.21,128388089
19 Apr 2021,45201.19,45305.63,44611.83,44611.83,-392.06,131249513
16 Apr 2021,45289.61,45471.35,45230.18,45305.63,75.45,55283679
