date,open,high,low,close,change,volume
23 Jun 2021,"19,338.58","19,384.17","19,256.09","19,259.38",-65.68,"55,787,937"
22 Jun 2021,"19,352.18","19,429.08","19,312.30","19,325.06",-14.59,"40,208,135"
21 Jun 2021,"19,426.15","19,471.49","19,315.28","19,339.65",-86.00,"49,195,517"
18 Jun 2021,"19,422.34","19,520.22","19,359.55","19,425.65",4.56,"90,868,996"
17 Jun 2021,"19,546.40","19,575.61","19,387.07","19,421.09",-126.68,"70,152,264"
16 Jun 2021,"19,603.37","19,727.19","19,524.78","19,547.77",-77.25,"63,120,204"
15 Jun 2021,"19,656.40","19,726.75","19,569.59","19,625.02",-22.41,"112,609,776"
14 Jun 2021,"19,505.69","19,740.82","19,478.73","19,647.43",168.70,"182,648,716"
11 Jun 2021,"19,486.40","19,588.94","19,447.55","19,478.73",-58.87,"65,510,892"
10 Jun 2021,"19,318.43","19,563.13","19,317.32","19,537.60",155.79,"114,742,492"
09 Jun 2021,"19,560.95","19,639.95","19,362.91","19,381.81",-193.11,"102,554,877"
08 Jun 2021,"19,624.82","19,663.27","19,517.19","19,574.92",-83.19,"95,306,271"
07 Jun 2021,"19,669.25","19,833.46","19,611.54","19,658.11",3.46,"93,290,320"
04 Jun 2021,"19,658.44","19,737.94","19,621.54","19,654.65",19.04,"63,355,516"
03 Jun 2021,"19,667.16","19,789.53","19,590.28","19,635.61",-21.99,"101,349,209"
02 Jun 2021,"19,746.58","19,770.88","19,612.50","19,657.60",-73.83,"108,666,431"
01 Jun 2021,"19,604.78","19,757.44","19,602.38","19,731.43",129.05,"107,065,371"
31 May 2021,"19,296.36","19,659.93","19,299.48","19,602.38",302.90,"126,084,231"
28 May 2021,"19,144.13","19,365.85","19,093.47","19,299.48",162.00,"94,674,173"
27 May 2021,"19,131.01","19,293.10","19,083.75","19,137.48",10.63,"162,423,446"
26 May 2021,"18,903.89","19,157.23","18,898.19","19,126.85",228.66,"132,370,182"
25 May 2021,"18,805.65","18,932.75","18,759.68","18,898.19",117.68,"140,085,899"
24 May 2021,"18,735.63","18,906.86","18,719.15","18,780.51",61.36,"94,380,394"
21 May 2021,"18,575.00","18,746.33","18,565.07","18,719.15",144.22,"61,697,145"
20 May 2021,"18,673.77","18,731.29","18,552.01","18,574.93",-94.02,"72,779,565"
19 May 2021,"18,813.09","18,830.67","18,653.64","18,668.95",-157.06,"111,747,650"
18 May 2021,"18,741.07","18,857.84","18,649.85","18,826.01",94.18,"111,022,192"
17 May 2021,"18,558.37","18,746.98","18,469.87","18,731.83",261.96,"98,881,203"
06 May 2021,"18,469.40","18,501.96","18,355.49","18,469.87",86.89,"52,736,103"
05 May 2021,"18,224.16","18,496.99","18,179.32","18,382.98",122.64,"94,228,766"
04 May 2021,"18,019.59","18,275.86","18,027.27","18,260.34",233.07,"68,561,825"
03 May 2021,"18,096.17","18,153.48","17,832.77","18,027.27",-73.37,"81,152,817"
30 Apr 2021,"18,407.28","18,457.31","18,059.01","18,100.64",-250.66,"72,435,668"
29 Apr 2021,"18,475.50","18,485.16","18,308.52","18,351.30",-113.13,"50,285,251"
28 Apr 2021,"18,591.96","18,715.30","18,444.89","18,464.43",-115.86,"69,524,551"
27 Apr 2021,"18,795.22","18,903.81","18,516.98","18,580.29",-217.01,"103,555,368"
26 Apr 2021,"18,271.37","18,946.64","18,147.52","18,797.30",520.83,"129,623,770"
23 Apr 2021,"18,361.42","18,375.17","18,144.23","18,276.47",-98.70,"55,392,173"
